model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_affinity_corr,std_affinity_corr
Concrete,0.12,0.001,0.0,0.5414512513662049,0.1083231110201833
Concrete,0.12,0.001,0.05,0.7470938056969911,0.0718204709493824
Concrete,0.12,0.001,0.1,0.7275744480042105,0.0805942653035263
Concrete,0.12,0.001,0.15,0.6920166056198146,0.0780011745127482
Concrete,0.12,0.0012,0.0,0.7122414198913148,0.0751465543712096
Concrete,0.12,0.0012,0.05,0.6574926483203759,0.0747667767848331
Concrete,0.12,0.0012,0.1,0.5730284562376476,0.1197749193793149
Concrete,0.12,0.0012,0.15,0.7809094198319206,0.0470081591798567
Concrete,0.12,0.0014,0.0,0.6182242250894013,0.0962341335625483
Concrete,0.12,0.0014,0.05,0.7627893617608007,0.0747357072661042
Concrete,0.12,0.0014,0.1,0.6995863787150437,0.0610096387393401
Concrete,0.12,0.0014,0.15,0.7994837753753207,0.0659692050208852
Concrete,0.12,0.0017,0.0,0.7654273887108554,0.0242852703914179
Concrete,0.12,0.0017,0.05,0.6484750324892425,0.0654000845589338
Concrete,0.12,0.0017,0.1,0.8514946110369582,0.0199769389471027
Concrete,0.12,0.0017,0.15,0.7433281996334058,0.0260468763290296
Concrete,0.12,0.002,0.0,0.6642389101274092,0.1157567598263669
Concrete,0.12,0.002,0.05,0.7676185476792498,0.0749953278837884
Concrete,0.12,0.002,0.1,0.6727928706241046,0.0581105172309603
Concrete,0.12,0.002,0.15,0.7351842504666566,0.0252999363181785
Concrete,0.15,0.001,0.0,0.713307457207528,0.0603820040629815
Concrete,0.15,0.001,0.05,0.686093336910821,0.1409564991249707
Concrete,0.15,0.001,0.1,0.7378197594482813,0.0828513689038411
Concrete,0.15,0.001,0.15,0.7542848965400079,0.0284117554191121
Concrete,0.15,0.0012,0.0,0.6943757027019496,0.0178126334885052
Concrete,0.15,0.0012,0.05,0.6711533653888644,0.1216815241621767
Concrete,0.15,0.0012,0.1,0.7816875600535574,0.0287232876292874
Concrete,0.15,0.0012,0.15,0.7455526644258305,0.0728954233667743
Concrete,0.15,0.0014,0.0,0.6866580616516629,0.0667903316271063
Concrete,0.15,0.0014,0.05,0.6164510781405173,0.0304439109864559
Concrete,0.15,0.0014,0.1,0.7913725683398699,0.0301148390389482
Concrete,0.15,0.0014,0.15,0.7643362381894462,0.0927772337435102
Concrete,0.15,0.0017,0.0,0.6752496058389124,0.0579309755904499
Concrete,0.15,0.0017,0.05,0.7009635195687512,0.1013924885207159
Concrete,0.15,0.0017,0.1,0.6957307575228601,0.0499508623816585
Concrete,0.15,0.0017,0.15,0.714344873824428,0.0113388378632998
Concrete,0.15,0.002,0.0,0.6868329362044548,0.0202968345904183
Concrete,0.15,0.002,0.05,0.7606074754324034,0.099774064951502
Concrete,0.15,0.002,0.1,0.6753390715319888,0.0986175566009285
Concrete,0.15,0.002,0.15,0.7569310295309775,0.0263546678513327
L-Concrete,0.12,0.0012,0.0,0.673190552934893,0.0262685893403275
L-Concrete,0.12,0.0012,0.05,0.5595198360866925,0.0310539561247083
L-Concrete,0.12,0.0012,0.1,0.6994132319275371,0.0331084294729758
L-Concrete,0.12,0.0012,0.15,0.8605713229737467,0.0104566097055029
