model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,0.2,0.0012,0.15,0,1,0.3810548901993033,0.5239811422460635
LSPIN,lspin_tf,0.2,0.0012,0.15,0,2,0.5282299424812978,0.6198839271569538
LSPIN,lspin_tf,0.2,0.0012,0.15,1,2,0.4185925833313684,0.5142287047020344
LSPIN,lspin_tf,0.2,0.0009,0.15,0,1,0.2751967277574794,0.4720117813851713
LSPIN,lspin_tf,0.2,0.0009,0.15,0,2,0.4581483847088211,0.5150158742727297
LSPIN,lspin_tf,0.2,0.0009,0.15,1,2,0.3331245722374388,0.4589849912842446
LSPIN,lspin_tf,0.2,0.0007,0.15,0,1,0.3594163589480652,0.5129541757893689
LSPIN,lspin_tf,0.2,0.0007,0.15,0,2,0.5178580295705179,0.5847628791663545
LSPIN,lspin_tf,0.2,0.0007,0.15,1,2,0.5207362966582003,0.6624235814950264
LSPIN,lspin_tf,0.2,0.0006,0.15,0,1,0.5407783759042923,0.6726748899198247
LSPIN,lspin_tf,0.2,0.0006,0.15,0,2,0.4972707447138954,0.6231075970918838
LSPIN,lspin_tf,0.2,0.0006,0.15,1,2,0.4640296617117437,0.5815799403642777
LSPIN,lspin_tf,0.2,0.0005,0.15,0,1,0.5952158716147048,0.6553129686716036
LSPIN,lspin_tf,0.2,0.0005,0.15,0,2,0.3938378770172017,0.5302630638675861
LSPIN,lspin_tf,0.2,0.0005,0.15,1,2,0.4513083398615047,0.6305783569442849
LSPIN,lspin_tf,0.17,0.0012,0.15,0,1,0.3772634445070758,0.4928020358398264
LSPIN,lspin_tf,0.17,0.0012,0.15,0,2,0.595406771649263,0.5615074191566588
LSPIN,lspin_tf,0.17,0.0012,0.15,1,2,0.3278175801931299,0.4394480582360898
LSPIN,lspin_tf,0.17,0.0009,0.15,0,1,0.5574426575852438,0.6502666324568894
LSPIN,lspin_tf,0.17,0.0009,0.15,0,2,0.5102651141297058,0.6362509573142284
LSPIN,lspin_tf,0.17,0.0009,0.15,1,2,0.5051510137784356,0.5969115924013193
LSPIN,lspin_tf,0.17,0.0007,0.15,0,1,0.2796169893207818,0.4179711888547197
LSPIN,lspin_tf,0.17,0.0007,0.15,0,2,0.2434394552698797,0.4040628019528915
LSPIN,lspin_tf,0.17,0.0007,0.15,1,2,0.4012749234069817,0.5137764422218422
LSPIN,lspin_tf,0.17,0.0006,0.15,0,1,0.5674761964673414,0.6601500353673597
LSPIN,lspin_tf,0.17,0.0006,0.15,0,2,0.3956803344767605,0.523369407708033
LSPIN,lspin_tf,0.17,0.0006,0.15,1,2,0.4497916525409289,0.5761138682677027
LSPIN,lspin_tf,0.17,0.0005,0.15,0,1,0.5540067871365661,0.6424628357123605
LSPIN,lspin_tf,0.17,0.0005,0.15,0,2,0.6027214703157902,0.7086828110563195
LSPIN,lspin_tf,0.17,0.0005,0.15,1,2,0.7012931357531063,0.7339679589122364
L-LSPIN,lspin_tf,0.2,0.0025,0.15,0,1,0.2811555695409679,0.4155720621178386
L-LSPIN,lspin_tf,0.2,0.0025,0.15,0,2,0.37977211444331,0.5256438465020784
L-LSPIN,lspin_tf,0.2,0.0025,0.15,1,2,0.3504226349220592,0.4834640059140142
L-LSPIN,lspin_tf,0.2,0.0018,0.15,0,1,0.3759793051717237,0.5094987569426543
L-LSPIN,lspin_tf,0.2,0.0018,0.15,0,2,0.7288838607605848,0.7284855800297034
L-LSPIN,lspin_tf,0.2,0.0018,0.15,1,2,0.3939346613029774,0.5142393811348112
L-LSPIN,lspin_tf,0.2,0.0014,0.15,0,1,0.3669887224817625,0.4978650267419087
L-LSPIN,lspin_tf,0.2,0.0014,0.15,0,2,0.4148994524709025,0.4614257115284289
L-LSPIN,lspin_tf,0.2,0.0014,0.15,1,2,0.4648743058958263,0.5587240651059165
L-LSPIN,lspin_tf,0.2,0.0011,0.15,0,1,0.436618541038,0.586436297166489
L-LSPIN,lspin_tf,0.2,0.0011,0.15,0,2,0.5860526736099532,0.6586457401048691
L-LSPIN,lspin_tf,0.2,0.0011,0.15,1,2,0.4944895827555245,0.5680037059616949
L-LSPIN,lspin_tf,0.2,0.0009,0.15,0,1,0.3906680826634826,0.5314504336567167
L-LSPIN,lspin_tf,0.2,0.0009,0.15,0,2,0.4011629493458984,0.5183608602531043
L-LSPIN,lspin_tf,0.2,0.0009,0.15,1,2,0.5010120086144259,0.5897043345965666
L-LSPIN,lspin_tf,0.17,0.0025,0.15,0,1,0.519423482899063,0.5710997021205139
L-LSPIN,lspin_tf,0.17,0.0025,0.15,0,2,0.2946755023239202,0.4274067936958418
L-LSPIN,lspin_tf,0.17,0.0025,0.15,1,2,0.3860648726794926,0.5244210320500713
L-LSPIN,lspin_tf,0.17,0.0018,0.15,0,1,0.5522912232716971,0.6884656506827678
L-LSPIN,lspin_tf,0.17,0.0018,0.15,0,2,0.3969502956076625,0.5449970543074839
L-LSPIN,lspin_tf,0.17,0.0018,0.15,1,2,0.2762997430815505,0.5065280111761453
L-LSPIN,lspin_tf,0.17,0.0014,0.15,0,1,0.5841485167214152,0.6411872893998499
L-LSPIN,lspin_tf,0.17,0.0014,0.15,0,2,0.470399276260482,0.5846019588313438
L-LSPIN,lspin_tf,0.17,0.0014,0.15,1,2,0.5446591247644078,0.6613939655227996
L-LSPIN,lspin_tf,0.17,0.0011,0.15,0,1,0.4015955714627882,0.5484610550679111
L-LSPIN,lspin_tf,0.17,0.0011,0.15,0,2,0.4298829962961055,0.5560281723907566
L-LSPIN,lspin_tf,0.17,0.0011,0.15,1,2,0.4932235346137535,0.6153900715158725
L-LSPIN,lspin_tf,0.17,0.0009,0.15,0,1,0.5261660242118057,0.650524064452849
L-LSPIN,lspin_tf,0.17,0.0009,0.15,0,2,0.3881528311490971,0.5292910909195822
L-LSPIN,lspin_tf,0.17,0.0009,0.15,1,2,0.3992470863696805,0.5525684606116289
Concrete,concrete,0.15,0.002,0.15,0,1,0.3205246457754903,0.4697623171508593
Concrete,concrete,0.15,0.002,0.15,0,2,0.2890886170395561,0.4424824564190592
Concrete,concrete,0.15,0.002,0.15,1,2,0.5616663323982937,0.546726946752063
Concrete,concrete,0.15,0.0017,0.15,0,1,0.3187537163152204,0.475194977230759
Concrete,concrete,0.15,0.0017,0.15,0,2,0.4389728702399744,0.5525738963265618
Concrete,concrete,0.15,0.0017,0.15,1,2,0.4831379949247496,0.5245810465447244
Concrete,concrete,0.15,0.0014,0.15,0,1,0.3940267912873811,0.6107372949788232
Concrete,concrete,0.15,0.0014,0.15,0,2,0.1974074379274761,0.420677769250983
Concrete,concrete,0.15,0.0014,0.15,1,2,0.4077811832419865,0.5262694030561954
Concrete,concrete,0.15,0.0012,0.15,0,1,0.3282160684084704,0.4565895693777188
Concrete,concrete,0.15,0.0012,0.15,0,2,0.2297014080716653,0.3512984381537307
Concrete,concrete,0.15,0.0012,0.15,1,2,0.4217683113572488,0.5228472987560683
Concrete,concrete,0.15,0.001,0.15,0,1,0.377307286171853,0.4842386304961371
Concrete,concrete,0.15,0.001,0.15,0,2,0.3722892531515901,0.4948513492201065
Concrete,concrete,0.15,0.001,0.15,1,2,0.4015000231685599,0.4486052016029133
Concrete,concrete,0.12,0.002,0.15,0,1,0.4540598691113226,0.5404312870806941
Concrete,concrete,0.12,0.002,0.15,0,2,0.2741385710844953,0.406863595073314
Concrete,concrete,0.12,0.002,0.15,1,2,0.2403310769387141,0.3572417298181812
Concrete,concrete,0.12,0.0017,0.15,0,1,0.2674483891289174,0.3812614612945861
Concrete,concrete,0.12,0.0017,0.15,0,2,0.510380929789183,0.5651047471579042
Concrete,concrete,0.12,0.0017,0.15,1,2,0.4533493210245271,0.4742573058689046
Concrete,concrete,0.12,0.0014,0.15,0,1,0.5291119726848774,0.6056476410587784
Concrete,concrete,0.12,0.0014,0.15,0,2,0.4440001953597586,0.5586393551907637
Concrete,concrete,0.12,0.0014,0.15,1,2,0.3131442242371388,0.4556802437510044
Concrete,concrete,0.12,0.0012,0.15,0,1,0.3613047866505388,0.4871964918240839
Concrete,concrete,0.12,0.0012,0.15,0,2,0.3172324847104333,0.4909937287857168
Concrete,concrete,0.12,0.0012,0.15,1,2,0.3674846290978902,0.4972751312952203
Concrete,concrete,0.12,0.001,0.15,0,1,0.3789911271141327,0.4540218911774357
Concrete,concrete,0.12,0.001,0.15,0,2,0.3949521436745139,0.506603639164374
Concrete,concrete,0.12,0.001,0.15,1,2,0.3421861652091246,0.4775325796555957
L-Concrete,concrete,0.15,0.003,0.15,0,1,0.3217278499083124,0.4419373491048053
L-Concrete,concrete,0.15,0.003,0.15,0,2,0.357761906468865,0.4717950754647544
L-Concrete,concrete,0.15,0.003,0.15,1,2,0.3447283123025886,0.4424660030117199
L-Concrete,concrete,0.15,0.0023,0.15,0,1,0.2960154358519946,0.4601899308462918
L-Concrete,concrete,0.15,0.0023,0.15,0,2,0.4242100082319567,0.5320020750529119
L-Concrete,concrete,0.15,0.0023,0.15,1,2,0.370450021053519,0.4970584499196491
L-Concrete,concrete,0.15,0.0018,0.15,0,1,0.2927795516725987,0.4419566337817144
L-Concrete,concrete,0.15,0.0018,0.15,0,2,0.3127713124995016,0.4609496365322203
L-Concrete,concrete,0.15,0.0018,0.15,1,2,0.5469359140661723,0.5744704153665904
L-Concrete,concrete,0.15,0.0014,0.15,0,1,0.4491875765063242,0.5810871148022124
L-Concrete,concrete,0.15,0.0014,0.15,0,2,0.4134178112682632,0.5323982309278857
L-Concrete,concrete,0.15,0.0014,0.15,1,2,0.4477281976121289,0.5593978584580814
L-Concrete,concrete,0.15,0.0012,0.15,0,1,0.418184463136769,0.54679584329874
L-Concrete,concrete,0.15,0.0012,0.15,0,2,0.2862643648959493,0.4781422163172003
L-Concrete,concrete,0.15,0.0012,0.15,1,2,0.4487632647866087,0.5062711827501974
L-Concrete,concrete,0.12,0.003,0.15,0,1,0.5670703357864298,0.5989895321682979
L-Concrete,concrete,0.12,0.003,0.15,0,2,0.5006368382655474,0.6313440060036147
L-Concrete,concrete,0.12,0.003,0.15,1,2,0.3011638490150802,0.456111117360968
L-Concrete,concrete,0.12,0.0023,0.15,0,1,0.2239994524850475,0.3470017019544203
L-Concrete,concrete,0.12,0.0023,0.15,0,2,0.3042792845774743,0.4393448326211308
L-Concrete,concrete,0.12,0.0023,0.15,1,2,0.4112647047197547,0.4716174247618855
L-Concrete,concrete,0.12,0.0018,0.15,0,1,0.5170107787073521,0.5753259131300625
L-Concrete,concrete,0.12,0.0018,0.15,0,2,0.3312960978386866,0.4178972041829739
L-Concrete,concrete,0.12,0.0018,0.15,1,2,0.305937323835338,0.4362725182675479
L-Concrete,concrete,0.12,0.0014,0.15,0,1,0.4176301263959239,0.5153996251662581
L-Concrete,concrete,0.12,0.0014,0.15,0,2,0.3426633689877212,0.5319763917131264
L-Concrete,concrete,0.12,0.0014,0.15,1,2,0.3331301574334665,0.4778119098404482
L-Concrete,concrete,0.12,0.0012,0.15,0,1,0.5136926872023087,0.6257378248904075
L-Concrete,concrete,0.12,0.0012,0.15,0,2,0.482842486306706,0.5836983817944399
L-Concrete,concrete,0.12,0.0012,0.15,1,2,0.6187958535081102,0.6084596688551429
LSPIN,lspin_tf,0.2,0.0012,0.1,0,1,0.3501253899646762,0.5039185636709675
LSPIN,lspin_tf,0.2,0.0012,0.1,0,2,0.3450942573449355,0.460275168041555
LSPIN,lspin_tf,0.2,0.0012,0.1,1,2,0.292364856369151,0.4368478186987922
LSPIN,lspin_tf,0.2,0.0009,0.1,0,1,0.3319170277253294,0.4610089221565858
LSPIN,lspin_tf,0.2,0.0009,0.1,0,2,0.3573695454191332,0.4798986589639949
