model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_cluster_ari,mean_cluster_nmi
Concrete,0.12,0.001,0.0,0.3308391516982608,0.39479869718607
Concrete,0.12,0.001,0.05,0.4162905597443507,0.504227057950564
Concrete,0.12,0.001,0.1,0.3299630730438379,0.447968285164443
Concrete,0.12,0.001,0.15,0.3720431453325903,0.4793860366658018
Concrete,0.12,0.0012,0.0,0.2976961101059186,0.4331672361826597
Concrete,0.12,0.0012,0.05,0.3522302342208227,0.4455464745016775
Concrete,0.12,0.0012,0.1,0.2905412740148454,0.3830552050209693
Concrete,0.12,0.0012,0.15,0.3486739668196207,0.4918217839683403
Concrete,0.12,0.0014,0.0,0.378717647921803,0.4938771506012722
Concrete,0.12,0.0014,0.05,0.4481359442889645,0.5309389048268577
Concrete,0.12,0.0014,0.1,0.3633747262133214,0.4954879709236364
Concrete,0.12,0.0014,0.15,0.4287521307605916,0.5399890800001822
Concrete,0.12,0.0017,0.0,0.3230989467293651,0.4365917168136665
Concrete,0.12,0.0017,0.05,0.2919648172413792,0.4316103122910705
Concrete,0.12,0.0017,0.1,0.4669887528550169,0.5271957628350222
Concrete,0.12,0.0017,0.15,0.4103928799808758,0.4735411714404649
Concrete,0.12,0.002,0.0,0.3323424260044625,0.4377211983290811
Concrete,0.12,0.002,0.05,0.362133473763184,0.4683319107207151
Concrete,0.12,0.002,0.1,0.3928528216675785,0.4615357294478579
Concrete,0.12,0.002,0.15,0.3228431723781773,0.4348455373240631
Concrete,0.15,0.001,0.0,0.3792102403079887,0.4692014174931558
Concrete,0.15,0.001,0.05,0.4446868471130399,0.5265619785602725
Concrete,0.15,0.001,0.1,0.3197630470129812,0.42261662909767
Concrete,0.15,0.001,0.15,0.383698854164001,0.4758983937730523
Concrete,0.15,0.0012,0.0,0.3245347511354761,0.4426405381336577
Concrete,0.15,0.0012,0.05,0.2212867902005781,0.322461527068823
Concrete,0.15,0.0012,0.1,0.5073984037644843,0.6086035838854601
Concrete,0.15,0.0012,0.15,0.3265619292791281,0.4435784354291726
Concrete,0.15,0.0014,0.0,0.3005235871396025,0.4057443021193633
Concrete,0.15,0.0014,0.05,0.2360610417316726,0.329559838484095
Concrete,0.15,0.0014,0.1,0.3991387330545827,0.5045194467037127
Concrete,0.15,0.0014,0.15,0.3330718041522812,0.5192281557620005
