model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,0.2,0.0012,0.15,0,1,0.9059278405202926,3.812514377026202,0.6175637393767706,3.61139549933904,0.5665294924554184
LSPIN,lspin_tf,0.2,0.0012,0.15,0,2,0.9195153751413564,3.497719611950644,0.5390835579514824,4.1360534411316365,0.7070254110612855
LSPIN,lspin_tf,0.2,0.0012,0.15,1,2,0.8885559842427295,3.5152082100103974,0.5432432432432432,3.6813498915780527,0.5839112343966713
LSPIN,lspin_tf,0.2,0.0009,0.15,0,1,0.8277978021213583,3.2266463420244693,0.4773609314359637,3.908701666354845,0.6431654676258993
LSPIN,lspin_tf,0.2,0.0009,0.15,0,2,0.8288619308322446,3.1304590526958265,0.4566326530612244,3.899957367324968,0.6408045977011494
LSPIN,lspin_tf,0.2,0.0009,0.15,1,2,0.8467047709898168,3.4714867148610145,0.5328859060402684,4.1360534411316365,0.7070254110612855
LSPIN,lspin_tf,0.2,0.0007,0.15,0,1,0.8917585441168222,3.593906901279287,0.5622435020519836,3.8737244702353375,0.6337625178826896
LSPIN,lspin_tf,0.2,0.0007,0.15,0,2,0.8832513871682387,3.6813498915780527,0.5839112343966713,3.926190264414598,0.6479076479076479
LSPIN,lspin_tf,0.2,0.0007,0.15,1,2,0.8533800147888569,3.480231013890891,0.5349462365591398,3.602651200309164,0.5643835616438356
LSPIN,lspin_tf,0.2,0.0006,0.15,0,1,0.9042794471108556,3.357810827472618,0.5065963060686016,4.240985029490156,0.7382039573820396
LSPIN,lspin_tf,0.2,0.0006,0.15,0,2,0.8783138770604554,3.4714867148610145,0.5328859060402684,3.908701666354845,0.6431654676258993
LSPIN,lspin_tf,0.2,0.0006,0.15,1,2,0.889205555222572,3.707582788667682,0.5905292479108635,3.864980171205462,0.6314285714285715
LSPIN,lspin_tf,0.2,0.0005,0.15,0,1,0.8952618625716674,3.567674004189657,0.555858310626703,4.197263534340773,0.7250755287009063
LSPIN,lspin_tf,0.2,0.0005,0.15,0,2,0.9337322160420818,3.6638612935183,0.5795297372060858,4.380893813968182,0.781591263650546
LSPIN,lspin_tf,0.2,0.0005,0.15,1,2,0.912715065743702,3.375299425532372,0.5105820105820106,4.319683720759046,0.7623456790123457
LSPIN,lspin_tf,0.17,0.0012,0.15,0,1,0.8169666459119241,3.261623538143976,0.4850455136540962,3.506463910980521,0.5411605937921727
LSPIN,lspin_tf,0.17,0.0012,0.15,0,2,0.7595492740218432,2.876874380829405,0.4046740467404674,3.2703678371738523,0.4869791666666667
LSPIN,lspin_tf,0.17,0.0012,0.15,1,2,0.8128709785564442,3.051760361426937,0.4401008827238335,3.410276621651878,0.5186170212765957
LSPIN,lspin_tf,0.17,0.0009,0.15,0,1,0.9175390139979754,3.830002975085955,0.6221590909090909,4.109820544042007,0.6994047619047619
LSPIN,lspin_tf,0.17,0.0009,0.15,0,2,0.8976399428762524,3.3927880235921246,0.5145888594164456,4.188519235310896,0.722473604826546
LSPIN,lspin_tf,0.17,0.0009,0.15,1,2,0.898637180704261,3.384043724562248,0.5125827814569537,3.961167460534104,0.6574746008708273
LSPIN,lspin_tf,0.17,0.0007,0.15,0,1,0.8814768005384073,3.2703678371738523,0.4869791666666667,3.952423161504228,0.6550724637681159
LSPIN,lspin_tf,0.17,0.0007,0.15,0,2,0.9056941102759744,3.497719611950644,0.5390835579514824,4.197263534340773,0.7250755287009063
LSPIN,lspin_tf,0.17,0.0007,0.15,1,2,0.8849228562323198,3.4015323226220016,0.5166002656042497,3.952423161504228,0.6550724637681159
LSPIN,lspin_tf,0.17,0.0006,0.15,0,1,0.8703128848232712,3.261623538143976,0.4850455136540962,3.961167460534104,0.6574746008708273
LSPIN,lspin_tf,0.17,0.0006,0.15,0,2,0.8602984334681794,3.4015323226220016,0.5166002656042497,3.786281479936572,0.610719322990127
LSPIN,lspin_tf,0.17,0.0006,0.15,1,2,0.879252275582033,3.4015323226220016,0.5166002656042497,3.8912130682950914,0.6384505021520803
LSPIN,lspin_tf,0.17,0.0005,0.15,0,1,0.8521473877162238,3.628884097398793,0.5708390646492435,3.5764183032195334,0.557980900409277
LSPIN,lspin_tf,0.17,0.0005,0.15,0,2,0.8369958950592676,3.6813498915780527,0.5839112343966713,3.646372695458546,0.5751724137931035
LSPIN,lspin_tf,0.17,0.0005,0.15,1,2,0.8495400476876218,3.410276621651878,0.5186170212765957,3.7338156857573126,0.5972027972027972
L-LSPIN,lspin_tf,0.2,0.0025,0.15,0,1,0.6454087526816257,2.3697050370965616,0.3111366245694604,3.043016062397061,0.4382871536523929
L-LSPIN,lspin_tf,0.2,0.0025,0.15,0,2,0.7227905968853752,2.562079615753847,0.3451118963486455,3.453998116801261,0.5287817938420348
L-LSPIN,lspin_tf,0.2,0.0025,0.15,1,2,0.7095763826959429,2.6145454099331062,0.3546856465005931,3.357810827472618,0.5065963060686016
L-LSPIN,lspin_tf,0.2,0.0018,0.15,0,1,0.6266269486503473,2.465892326425204,0.327906976744186,2.7457098953812555,0.3792270531400966
