model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard
Concrete,0.12,0.001,0.0,0.8841266239140695,3.2966007342634818,0.49356096757562634,4.025292320086533,0.6763344136543091
Concrete,0.12,0.001,0.05,0.8556914659827793,3.2199199581553333,0.4764542481197735,3.8104964618654615,0.6185457540243775
Concrete,0.12,0.001,0.1,0.8753215030215594,3.0983966229196125,0.4509250091868522,3.972826525907273,0.6609262898801125
Concrete,0.12,0.001,0.15,0.8844979387658757,3.410276621651878,0.5188547131669538,4.12730914210176,0.7046361904307884
Concrete,0.12,0.0012,0.0,0.878114686269877,3.019697931650723,0.4338325860473391,4.016548021056656,0.672962952484539
Concrete,0.12,0.0012,0.05,0.8411079180190558,3.3199188650098197,0.4983087799179753,3.6696908262048846,0.5812795840193803
Concrete,0.12,0.0012,0.1,0.8591360631460233,2.911851576948911,0.41215211558323134,3.937849329787767,0.6515398568511488
Concrete,0.12,0.0012,0.15,0.8781346681782848,3.593906901279287,0.5625995718649892,3.9087016663548444,0.6461215684052337
Concrete,0.12,0.0014,0.0,0.8125661130692389,3.2761973698604367,0.4889795567607355,3.73090091941402,0.5970314043964012
Concrete,0.12,0.0014,0.05,0.9006234875563575,3.384043724562248,0.5126040664406947,4.071928581579209,0.6895493427218199
Concrete,0.12,0.0014,0.1,0.88143328276991,3.375299425532372,0.5107435334352178,3.940764096131059,0.652428124122514
Concrete,0.12,0.0014,0.15,0.8650227134301516,3.3636403601592026,0.508236524885399,4.051525217176163,0.6828527943205946
Concrete,0.12,0.0017,0.0,0.8553758917473205,3.2120725103080083,0.47426770478785324,3.879554002921923,0.6359665229287389
Concrete,0.12,0.0017,0.05,0.8511463275346255,3.080908024859859,0.4461942359825756,3.8066848443396175,0.6163089000514521
Concrete,0.12,0.0017,0.1,0.8483916697332557,3.354896061129326,0.5063602831120142,3.8212586760560785,0.6224806715243497
Concrete,0.12,0.0017,0.15,0.8796925709006976,3.197498678591547,0.47199075794479795,3.9757412922505657,0.6616571288964683
Concrete,0.12,0.002,0.0,0.8275767278596966,3.1275442863525345,0.4561152488396562,3.678435125234761,0.5833852548837267
Concrete,0.12,0.002,0.05,0.8345356378226959,3.2878564352336057,0.49119752548071566,3.61139549933904,0.5676417326792608
Concrete,0.12,0.002,0.1,0.8006191761690568,2.9584878384415867,0.4210832096345985,3.5618444715030724,0.555455004925225
Concrete,0.12,0.002,0.15,0.8449276455052807,3.200413444934839,0.4717194153160041,3.795025778966449,0.6133033530315821
Concrete,0.15,0.001,0.0,0.8756900796813178,3.342115931777968,0.5037403142991426,3.93538298903575,0.6514250718308359
Concrete,0.15,0.001,0.05,0.8075097234334964,3.4773162475475985,0.5342983722591463,3.5880773685927028,0.5650329049044911
Concrete,0.15,0.001,0.1,0.8681348766830007,3.2557940054573913,0.48407993687192796,3.9261902644145983,0.6480197504687301
Concrete,0.15,0.001,0.15,0.8807292378602846,3.46565718217443,0.5319572303543122,3.9145311990414293,0.6464108091909085
Concrete,0.15,0.0012,0.0,0.8804315941263434,3.24122017374093,0.48136978540535313,4.106905777698715,0.6985680621881185
Concrete,0.15,0.0012,0.05,0.860130584355356,3.4977196119506444,0.5393519930039212,3.83583250777254,0.6240459534986559
Concrete,0.15,0.0012,0.1,0.8758903078320807,3.217902042994593,0.47582812309496236,3.9291050307578903,0.6488587075395712
Concrete,0.15,0.0012,0.15,0.9061343440543007,3.6259693310555012,0.5709482621550571,4.141882973818221,0.7091141155440545
Concrete,0.15,0.0014,0.0,0.8335221356169177,3.282026902547021,0.48961626312264506,3.8620654048621694,0.6307102849868699
Concrete,0.15,0.0014,0.05,0.8636478166115013,3.354896061129326,0.5062148731264087,4.045695684489579,0.6812878790803284
Concrete,0.15,0.0014,0.1,0.8828731437624991,3.136288585382411,0.4582394642348377,4.098161478668838,0.696429333574179
Concrete,0.15,0.0014,0.15,0.8989703253398934,3.354896061129326,0.5071311693365762,3.923275498071306,0.6497511199796404
Concrete,0.15,0.0017,0.0,0.8986961023848928,3.273282603517145,0.48885863684991077,4.133138674788344,0.7067638017737569
Concrete,0.15,0.0017,0.05,0.8713781937159232,3.2732826035171443,0.4883757589057128,4.013633254713364,0.6721211688601657
Concrete,0.15,0.0017,0.1,0.8526041301273755,3.019697931650723,0.4335125485096963,3.917445965384722,0.6466216545778904
Concrete,0.15,0.0017,0.15,0.8574733896531384,3.1304590526958265,0.45666276257288524,3.9057869000115524,0.6427748777643917
Concrete,0.15,0.002,0.0,0.8704912693671568,3.083822791203151,0.44758513087887314,3.8300029750859554,0.6221678190221628
Concrete,0.15,0.002,0.05,0.88492984968812,3.2091577439647163,0.4737745491985022,3.9961446566536107,0.6679498611331126
Concrete,0.15,0.002,0.1,0.8829796564271547,3.2266463420244693,0.47742219103016925,3.9669969932206883,0.6594962795967049
Concrete,0.15,0.002,0.15,0.8709000262206502,3.1741805478452094,0.4661636294531646,3.8678949375487535,0.6322950028993047
L-Concrete,0.12,0.0012,0.0,0.602859814833382,2.363875504409977,0.3102174048400496,2.8564710164263594,0.4007280137210321
L-Concrete,0.12,0.0012,0.05,0.5945284867672368,2.2735177477679187,0.29530908530908534,2.675755503142243,0.3681776602531634
L-Concrete,0.12,0.0012,0.1,0.6280311165492596,2.3988527005294835,0.3162137993007353,2.8593857827696514,0.4013409243645439
L-Concrete,0.12,0.0012,0.15,0.6618023178600306,2.323068775603886,0.30324142424228334,3.354896061129326,0.5096148299169632
L-Concrete,0.12,0.0014,0.0,0.6389416845865076,2.4804661581416654,0.3306102861390791,2.865215315456236,0.4027622310532755
L-Concrete,0.12,0.0014,0.05,0.6017877500537673,2.2647734487380418,0.2939568281240606,2.771942792470885,0.3851524043766384
L-Concrete,0.12,0.0014,0.1,0.6778867811908654,2.5533353167239703,0.343700910323685,3.077993258516567,0.44572406145190957
L-Concrete,0.12,0.0014,0.15,0.6505226325061005,2.4746366254550805,0.3295882064185935,2.911851576948911,0.4122557049199063
L-Concrete,0.12,0.0018,0.0,0.6697817257521325,2.6874145685154116,0.3684444066465411,2.9409992403818332,0.41834407668288404
L-Concrete,0.12,0.0018,0.05,0.7190943187397559,2.7631984934410085,0.38279566590821473,3.282026902547021,0.48978898905454216
L-Concrete,0.12,0.0018,0.1,0.7288434442769668,2.6611816714257817,0.3633641133170839,3.453998116801261,0.5294373706722145
L-Concrete,0.12,0.0018,0.15,0.7072169919546112,2.6757555031422426,0.3665609161486672,3.206242977621424,0.4734173002538857
L-Concrete,0.12,0.0023,0.0,0.744156625451078,2.6291192416495672,0.35739016049238864,3.468571948517722,0.5325226652419998
L-Concrete,0.12,0.0023,0.05,0.7339823409741769,2.6582669050824896,0.3628711987836139,3.445253817771384,0.5270981517008445
L-Concrete,0.12,0.0023,0.1,0.7625477589510141,2.7896556033262763,0.38801532713930126,3.523055657857722,0.545753820801342
L-Concrete,0.12,0.0023,0.15,0.7583881483918246,2.696158867545288,0.3701154640524576,3.41319138799517,0.5196679139464864
L-Concrete,0.12,0.003,0.0,0.7815316787352766,2.9089368106056193,0.4114921318877039,3.6376283964286693,0.5730087318656099
L-Concrete,0.12,0.003,0.05,0.8094302614917422,2.9614026047848783,0.4215948647240341,3.739645218443897,0.5987149538778472
L-Concrete,0.12,0.003,0.1,0.7795634059921692,2.8010904559038075,0.3899161502993571,3.5560149388164883,0.5531705956757206
L-Concrete,0.12,0.003,0.15,0.8007770628154081,2.8040052222470995,0.3904335520849735,3.6755203588914687,0.5826748652633503
L-Concrete,0.15,0.0012,0.0,0.6093320781806324,2.194819056499029,0.28225113285953957,2.789431390530639,0.38788310981514873
L-Concrete,0.15,0.0012,0.05,0.6532849863167933,2.495039989858126,0.33389596380796954,2.9672321374714627,0.4234056436001791
L-Concrete,0.15,0.0012,0.1,0.58464199480221,2.2939211121709637,0.29831615192293165,2.687414568515411,0.36962514439384436
L-Concrete,0.15,0.0012,0.15,0.6213787430282925,2.393023167842899,0.31635430988809515,2.8623005491129434,0.40314588215967606
L-Concrete,0.15,0.0014,0.0,0.6281866437015502,2.3988527005294835,0.31700363025942907,2.792346156873931,0.3898243863506834
L-Concrete,0.15,0.0014,0.05,0.7234543877149386,2.5679091484404313,0.34625618207443437,3.506463910980521,0.5411849654248434
L-Concrete,0.15,0.0014,0.1,0.6648691765616147,2.349301672693516,0.30772749156378376,3.2033282112781314,0.4726173952896355
L-Concrete,0.15,0.0014,0.15,0.5734829399443502,2.325983541947178,0.30386062967515115,2.6028863445599377,0.35350677284374243
L-Concrete,0.15,0.0018,0.0,0.7047136577065851,2.43382989664899,0.322318056313826,3.3053450332933587,0.4948725087910182
L-Concrete,0.15,0.0018,0.05,0.6451952320049575,2.535846718664217,0.3404234464930585,3.101311389262904,0.45078141055070936
L-Concrete,0.15,0.0018,0.1,0.640629550586412,2.4163412985892365,0.3192736854446006,3.0750784921732746,0.4451337400535089
L-Concrete,0.15,0.0018,0.15,0.7218003703050004,2.5737386811270153,0.34832797911248603,3.4394242850847996,0.5254369372860427
L-Concrete,0.15,0.0023,0.0,0.7396949337900236,2.708490571305371,0.37250306547451556,3.424402027777063,0.5227878013857096
L-Concrete,0.15,0.0023,0.05,0.736100353927581,2.6291192416495677,0.35756827001328956,3.395702789935417,0.5162400119392269
L-Concrete,0.15,0.0023,0.1,0.725511005597852,2.6116306435898147,0.3545903796371401,3.3636403601592026,0.5080746101019143
L-Concrete,0.15,0.0023,0.15,0.7490802121293861,2.6786702694855347,0.36695076181355674,3.494804845607352,0.5394556061222727
L-Concrete,0.15,0.003,0.0,0.7723207074870441,2.9439140067251253,0.418081708319115,3.430679986054923,0.5234113474383549
L-Concrete,0.15,0.003,0.05,0.7735130495031878,2.8564710164263594,0.40128472432539003,3.5793330695628263,0.5587019862172506
L-Concrete,0.15,0.003,0.1,0.7957551009617148,2.888533446202574,0.407016281981649,3.6317988637420853,0.5722521956485798
L-Concrete,0.15,0.003,0.15,0.7783503536580799,2.865215315456236,0.4026101479341088,3.5035491446372284,0.5406782741673156
L-LSPIN,0.17,0.0009,0.0,0.6583240978620499,2.3988527005294835,0.3174321096412247,3.0109536326208457,0.43176659478274027
L-LSPIN,0.17,0.0009,0.05,0.4943046470749127,2.159841860379523,0.2763395726308893,2.2851768131410872,0.29872535325853744
L-LSPIN,0.17,0.0009,0.1,0.537722137466373,2.03742167396125,0.25770277005773956,2.655352138739197,0.3635249970538377
L-LSPIN,0.17,0.0009,0.15,0.4394715175026718,2.0578250383642955,0.2622982172065909,2.221051953588659,0.2886424676447008
L-LSPIN,0.17,0.0011,0.0,0.554389058031787,2.159841860379523,0.2760158856965032,2.693244101201996,0.3694589017042575
L-LSPIN,0.17,0.0011,0.05,0.5845232797835332,2.395937934186191,0.3157959606062506,2.754454194411132,0.3819003917311796
L-LSPIN,0.17,0.0011,0.1,0.444022411906809,2.0053592441850356,0.25162660242649554,2.1132055988868474,0.2697762004564616
L-LSPIN,0.17,0.0011,0.15,0.5395460429926225,2.2706029814246267,0.2943446989329342,2.2297962526185358,0.2903862447855737
L-LSPIN,0.17,0.0014,0.0,0.5533312184909108,2.145268028663062,0.27369309421374105,2.5912272791867688,0.3506629406059865
L-LSPIN,0.17,0.0014,0.05,0.5967672640042307,2.203563355528906,0.2836806855130834,2.9672321374714627,0.4229418137711131
L-LSPIN,0.17,0.0014,0.1,0.6043425606998014,2.465892326425204,0.3279514418480983,2.448403728365451,0.32541465779357454
L-LSPIN,0.17,0.0014,0.15,0.6213845169664379,2.218137187245367,0.28601276903131345,2.891448212545866,0.4089803667649608
L-LSPIN,0.17,0.0018,0.0,0.5784388991994982,2.413426532245944,0.31873942428702706,2.6145454099331062,0.3555066269979778
L-LSPIN,0.17,0.0018,0.05,0.6124120797425455,2.2706029814246267,0.2944486853854386,2.8652153154562363,0.40365151930404536
L-LSPIN,0.17,0.0018,0.1,0.6249068069412034,2.451318494708743,0.325681770665569,2.6844998021721196,0.3713701584016416
L-LSPIN,0.17,0.0018,0.15,0.6731210104506591,2.4833809244849574,0.33106139705787857,3.142118118068995,0.45933896943507757
L-LSPIN,0.17,0.0025,0.0,0.671387247712255,2.5306898243645466,0.3399677543025056,3.100862963671629,0.4517330639558818
L-LSPIN,0.17,0.0025,0.05,0.6916835921671792,2.75153942806784,0.3808323288381703,3.1158852209793655,0.4540901362699466
L-LSPIN,0.17,0.0025,0.1,0.6251679525434249,2.401767466872776,0.3167753420793696,2.9001925115757423,0.40993606597050986
L-LSPIN,0.17,0.0025,0.15,0.6744174062394857,2.5524384655414187,0.3438160413512036,3.066334193143398,0.44437423746494037
