model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,global_cfg_idx,affinity_corr
LSPIN,lspin_tf,mlp,0.0035,0.0,0,1,1,0.9239470747863257
LSPIN,lspin_tf,mlp,0.0035,0.0,0,2,1,0.9380837182862218
LSPIN,lspin_tf,mlp,0.0035,0.0,0,3,1,0.9462337261624448
LSPIN,lspin_tf,mlp,0.0035,0.0,0,4,1,0.951407417507506
LSPIN,lspin_tf,mlp,0.0035,0.0,0,5,1,0.927789585009771
LSPIN,lspin_tf,mlp,0.0035,0.0,0,6,1,0.9161439137977424
LSPIN,lspin_tf,mlp,0.0035,0.0,0,7,1,0.9105927775215412
LSPIN,lspin_tf,mlp,0.0035,0.0,1,2,1,0.919722222470596
LSPIN,lspin_tf,mlp,0.0035,0.0,1,3,1,0.9223247683695844
LSPIN,lspin_tf,mlp,0.0035,0.0,1,4,1,0.8970577907583019
LSPIN,lspin_tf,mlp,0.0035,0.0,1,5,1,0.8904302063412339
LSPIN,lspin_tf,mlp,0.0035,0.0,1,6,1,0.9107374638422662
LSPIN,lspin_tf,mlp,0.0035,0.0,1,7,1,0.8572675723492262
LSPIN,lspin_tf,mlp,0.0035,0.0,2,3,1,0.9473188822720792
LSPIN,lspin_tf,mlp,0.0035,0.0,2,4,1,0.941148971028071
LSPIN,lspin_tf,mlp,0.0035,0.0,2,5,1,0.9374717970181734
LSPIN,lspin_tf,mlp,0.0035,0.0,2,6,1,0.9122609999030152
LSPIN,lspin_tf,mlp,0.0035,0.0,2,7,1,0.893780416461664
LSPIN,lspin_tf,mlp,0.0035,0.0,3,4,1,0.9293159510597908
LSPIN,lspin_tf,mlp,0.0035,0.0,3,5,1,0.9404549253157684
LSPIN,lspin_tf,mlp,0.0035,0.0,3,6,1,0.8896912997504409
LSPIN,lspin_tf,mlp,0.0035,0.0,3,7,1,0.903340933543753
LSPIN,lspin_tf,mlp,0.0035,0.0,4,5,1,0.930204983448002
LSPIN,lspin_tf,mlp,0.0035,0.0,4,6,1,0.9240599632233863
LSPIN,lspin_tf,mlp,0.0035,0.0,4,7,1,0.9065179349960636
LSPIN,lspin_tf,mlp,0.0035,0.0,5,6,1,0.8834992712027286
LSPIN,lspin_tf,mlp,0.0035,0.0,5,7,1,0.9028004277471212
LSPIN,lspin_tf,mlp,0.0035,0.0,6,7,1,0.8427843091978728
LSPIN,lspin_tf,mlp,0.0105,0.0,0,1,5,0.8442233499799203
LSPIN,lspin_tf,mlp,0.0105,0.0,0,2,5,0.9016112838278711
LSPIN,lspin_tf,mlp,0.0105,0.0,0,3,5,0.8847881566967547
LSPIN,lspin_tf,mlp,0.0105,0.0,0,4,5,0.8829012171615613
LSPIN,lspin_tf,mlp,0.0105,0.0,0,5,5,0.9030274327507796
LSPIN,lspin_tf,mlp,0.0105,0.0,0,6,5,0.8613383008525067
LSPIN,lspin_tf,mlp,0.0105,0.0,0,7,5,0.8558703565139869
LSPIN,lspin_tf,mlp,0.0105,0.0,1,2,5,0.8753441955672223
LSPIN,lspin_tf,mlp,0.0105,0.0,1,3,5,0.8810599719722849
LSPIN,lspin_tf,mlp,0.0105,0.0,1,4,5,0.8906835026771677
LSPIN,lspin_tf,mlp,0.0105,0.0,1,5,5,0.8305269057473099
LSPIN,lspin_tf,mlp,0.0105,0.0,1,6,5,0.8062530984058011
LSPIN,lspin_tf,mlp,0.0105,0.0,1,7,5,0.8838921723121985
LSPIN,lspin_tf,mlp,0.0105,0.0,2,3,5,0.9148021208347276
LSPIN,lspin_tf,mlp,0.0105,0.0,2,4,5,0.8980357414182446
LSPIN,lspin_tf,mlp,0.0105,0.0,2,5,5,0.861483016178061
LSPIN,lspin_tf,mlp,0.0105,0.0,2,6,5,0.8653623252609716
LSPIN,lspin_tf,mlp,0.0105,0.0,2,7,5,0.8766656177125297
LSPIN,lspin_tf,mlp,0.0105,0.0,3,4,5,0.9011529618673412
LSPIN,lspin_tf,mlp,0.0105,0.0,3,5,5,0.8402300485308686
LSPIN,lspin_tf,mlp,0.0105,0.0,3,6,5,0.7946211933680914
LSPIN,lspin_tf,mlp,0.0105,0.0,3,7,5,0.9209659648010476
LSPIN,lspin_tf,mlp,0.0105,0.0,4,5,5,0.850670420944506
LSPIN,lspin_tf,mlp,0.0105,0.0,4,6,5,0.7927709758392439
LSPIN,lspin_tf,mlp,0.0105,0.0,4,7,5,0.8594697366080362
LSPIN,lspin_tf,mlp,0.0105,0.0,5,6,5,0.8165883036253142
LSPIN,lspin_tf,mlp,0.0105,0.0,5,7,5,0.8009645535680263
LSPIN,lspin_tf,mlp,0.0105,0.0,6,7,5,0.7908337490422321
LSPIN,lspin_tf,mlp,0.0035,0.1,0,1,9,0.9369841827145984
LSPIN,lspin_tf,mlp,0.0035,0.1,0,2,9,0.9797040227227
LSPIN,lspin_tf,mlp,0.0035,0.1,0,3,9,0.9448733462407576
LSPIN,lspin_tf,mlp,0.0035,0.1,0,4,9,0.9705963780847676
LSPIN,lspin_tf,mlp,0.0035,0.1,0,5,9,0.9596908568461336
LSPIN,lspin_tf,mlp,0.0035,0.1,0,6,9,0.9553296162860002
LSPIN,lspin_tf,mlp,0.0035,0.1,0,7,9,0.9445616461745688
LSPIN,lspin_tf,mlp,0.0035,0.1,1,2,9,0.9527950008475206
LSPIN,lspin_tf,mlp,0.0035,0.1,1,3,9,0.9373474161350552
LSPIN,lspin_tf,mlp,0.0035,0.1,1,4,9,0.9457454261751987
LSPIN,lspin_tf,mlp,0.0035,0.1,1,5,9,0.8968683921385927
LSPIN,lspin_tf,mlp,0.0035,0.1,1,6,9,0.9269908675187356
LSPIN,lspin_tf,mlp,0.0035,0.1,1,7,9,0.9217142555758238
LSPIN,lspin_tf,mlp,0.0035,0.1,2,3,9,0.927061168638892
LSPIN,lspin_tf,mlp,0.0035,0.1,2,4,9,0.9562526823766412
LSPIN,lspin_tf,mlp,0.0035,0.1,2,5,9,0.9407270122000536
LSPIN,lspin_tf,mlp,0.0035,0.1,2,6,9,0.9339041344362862
LSPIN,lspin_tf,mlp,0.0035,0.1,2,7,9,0.9503958859691892
LSPIN,lspin_tf,mlp,0.0035,0.1,3,4,9,0.9656934650643734
LSPIN,lspin_tf,mlp,0.0035,0.1,3,5,9,0.9280385379909116
LSPIN,lspin_tf,mlp,0.0035,0.1,3,6,9,0.9753488478224708
LSPIN,lspin_tf,mlp,0.0035,0.1,3,7,9,0.8815286404611281
LSPIN,lspin_tf,mlp,0.0035,0.1,4,5,9,0.9760276747179332
LSPIN,lspin_tf,mlp,0.0035,0.1,4,6,9,0.9814453110116976
LSPIN,lspin_tf,mlp,0.0035,0.1,4,7,9,0.9284283613432844
LSPIN,lspin_tf,mlp,0.0035,0.1,5,6,9,0.968190022064253
LSPIN,lspin_tf,mlp,0.0035,0.1,5,7,9,0.9031097675356666
LSPIN,lspin_tf,mlp,0.0035,0.1,6,7,9,0.8952636133448822
LSPIN,lspin_tf,mlp,0.0105,0.1,0,1,13,0.8760958726691388
LSPIN,lspin_tf,mlp,0.0105,0.1,0,2,13,0.9321962660298796
LSPIN,lspin_tf,mlp,0.0105,0.1,0,3,13,0.940891574862471
LSPIN,lspin_tf,mlp,0.0105,0.1,0,4,13,0.8904122761977784
LSPIN,lspin_tf,mlp,0.0105,0.1,0,5,13,0.837932582881211
LSPIN,lspin_tf,mlp,0.0105,0.1,0,6,13,0.8675296192114891
LSPIN,lspin_tf,mlp,0.0105,0.1,0,7,13,0.8653098828869936
LSPIN,lspin_tf,mlp,0.0105,0.1,1,2,13,0.823575596833446
LSPIN,lspin_tf,mlp,0.0105,0.1,1,3,13,0.8295359920560743
LSPIN,lspin_tf,mlp,0.0105,0.1,1,4,13,0.94549845306546
LSPIN,lspin_tf,mlp,0.0105,0.1,1,5,13,0.8380682207979983
LSPIN,lspin_tf,mlp,0.0105,0.1,1,6,13,0.92504123599154
LSPIN,lspin_tf,mlp,0.0105,0.1,1,7,13,0.8400448460052939
LSPIN,lspin_tf,mlp,0.0105,0.1,2,3,13,0.9440060837253555
LSPIN,lspin_tf,mlp,0.0105,0.1,2,4,13,0.8575083017385771
LSPIN,lspin_tf,mlp,0.0105,0.1,2,5,13,0.8253564239218308
LSPIN,lspin_tf,mlp,0.0105,0.1,2,6,13,0.8327958956164169
LSPIN,lspin_tf,mlp,0.0105,0.1,2,7,13,0.8182031426978355
LSPIN,lspin_tf,mlp,0.0105,0.1,3,4,13,0.8781547318332188
LSPIN,lspin_tf,mlp,0.0105,0.1,3,5,13,0.8628767123518551
LSPIN,lspin_tf,mlp,0.0105,0.1,3,6,13,0.859600972731813
LSPIN,lspin_tf,mlp,0.0105,0.1,3,7,13,0.8598031560357433
LSPIN,lspin_tf,mlp,0.0105,0.1,4,5,13,0.9034858351466104
LSPIN,lspin_tf,mlp,0.0105,0.1,4,6,13,0.943026974131598
LSPIN,lspin_tf,mlp,0.0105,0.1,4,7,13,0.8926753249412227
LSPIN,lspin_tf,mlp,0.0105,0.1,5,6,13,0.8304880733094068
LSPIN,lspin_tf,mlp,0.0105,0.1,5,7,13,0.9038240896976548
LSPIN,lspin_tf,mlp,0.0105,0.1,6,7,13,0.8598051522155116
LSPIN,lspin_tf,mlp,0.0035,0.2,0,1,17,0.96450009412821
LSPIN,lspin_tf,mlp,0.0035,0.2,0,2,17,0.9572066661646936
LSPIN,lspin_tf,mlp,0.0035,0.2,0,3,17,0.9274207556320176
LSPIN,lspin_tf,mlp,0.0035,0.2,0,4,17,0.9034279722863549
LSPIN,lspin_tf,mlp,0.0035,0.2,0,5,17,0.8327978388276025
LSPIN,lspin_tf,mlp,0.0035,0.2,0,6,17,0.899264965407084
LSPIN,lspin_tf,mlp,0.0035,0.2,0,7,17,0.963285204090925
LSPIN,lspin_tf,mlp,0.0035,0.2,1,2,17,0.9477326090149378
LSPIN,lspin_tf,mlp,0.0035,0.2,1,3,17,0.921864638885108
LSPIN,lspin_tf,mlp,0.0035,0.2,1,4,17,0.879440828226368
LSPIN,lspin_tf,mlp,0.0035,0.2,1,5,17,0.8119851178715254
LSPIN,lspin_tf,mlp,0.0035,0.2,1,6,17,0.8871230122832596
LSPIN,lspin_tf,mlp,0.0035,0.2,1,7,17,0.9771753021995376
LSPIN,lspin_tf,mlp,0.0035,0.2,2,3,17,0.9282261727506632
LSPIN,lspin_tf,mlp,0.0035,0.2,2,4,17,0.899307809415091
LSPIN,lspin_tf,mlp,0.0035,0.2,2,5,17,0.8621389769676965
LSPIN,lspin_tf,mlp,0.0035,0.2,2,6,17,0.9013009880180692
LSPIN,lspin_tf,mlp,0.0035,0.2,2,7,17,0.9476885330438756
LSPIN,lspin_tf,mlp,0.0035,0.2,3,4,17,0.9568457925364224
LSPIN,lspin_tf,mlp,0.0035,0.2,3,5,17,0.9323908634320024
LSPIN,lspin_tf,mlp,0.0035,0.2,3,6,17,0.9602914251491526
LSPIN,lspin_tf,mlp,0.0035,0.2,3,7,17,0.9479231912597548
LSPIN,lspin_tf,mlp,0.0035,0.2,4,5,17,0.9395127776489304
LSPIN,lspin_tf,mlp,0.0035,0.2,4,6,17,0.9464162041427228
LSPIN,lspin_tf,mlp,0.0035,0.2,4,7,17,0.9091929780719252
LSPIN,lspin_tf,mlp,0.0035,0.2,5,6,17,0.9361709858498016
LSPIN,lspin_tf,mlp,0.0035,0.2,5,7,17,0.8669496822252649
LSPIN,lspin_tf,mlp,0.0035,0.2,6,7,17,0.930210339172745
LSPIN,lspin_tf,mlp,0.0105,0.2,0,1,21,0.8362309969365097
LSPIN,lspin_tf,mlp,0.0105,0.2,0,2,21,0.8760246613454312
LSPIN,lspin_tf,mlp,0.0105,0.2,0,3,21,0.9273360883984446
LSPIN,lspin_tf,mlp,0.0105,0.2,0,4,21,0.8581484741309471
LSPIN,lspin_tf,mlp,0.0105,0.2,0,5,21,0.8398710160887165
LSPIN,lspin_tf,mlp,0.0105,0.2,0,6,21,0.8421850185953206
LSPIN,lspin_tf,mlp,0.0105,0.2,0,7,21,0.8678165106675025
LSPIN,lspin_tf,mlp,0.0105,0.2,1,2,21,0.8998212282564011
LSPIN,lspin_tf,mlp,0.0105,0.2,1,3,21,0.9046517320367684
LSPIN,lspin_tf,mlp,0.0105,0.2,1,4,21,0.9223570763144392
LSPIN,lspin_tf,mlp,0.0105,0.2,1,5,21,0.9099364950415716
LSPIN,lspin_tf,mlp,0.0105,0.2,1,6,21,0.9508049973017382
LSPIN,lspin_tf,mlp,0.0105,0.2,1,7,21,0.9083346245971192
LSPIN,lspin_tf,mlp,0.0105,0.2,2,3,21,0.9579693894440168
LSPIN,lspin_tf,mlp,0.0105,0.2,2,4,21,0.8866162295707444
LSPIN,lspin_tf,mlp,0.0105,0.2,2,5,21,0.9568278857977088
LSPIN,lspin_tf,mlp,0.0105,0.2,2,6,21,0.9259867305317172
LSPIN,lspin_tf,mlp,0.0105,0.2,2,7,21,0.9472474226182248
LSPIN,lspin_tf,mlp,0.0105,0.2,3,4,21,0.9022763831843988
LSPIN,lspin_tf,mlp,0.0105,0.2,3,5,21,0.9538998821314836
LSPIN,lspin_tf,mlp,0.0105,0.2,3,6,21,0.9144904871464428
LSPIN,lspin_tf,mlp,0.0105,0.2,3,7,21,0.9374216990715531
LSPIN,lspin_tf,mlp,0.0105,0.2,4,5,21,0.909417259696622
LSPIN,lspin_tf,mlp,0.0105,0.2,4,6,21,0.9100309873916096
LSPIN,lspin_tf,mlp,0.0105,0.2,4,7,21,0.9074447433069388
LSPIN,lspin_tf,mlp,0.0105,0.2,5,6,21,0.9214060069445256
LSPIN,lspin_tf,mlp,0.0105,0.2,5,7,21,0.9474643760463628
LSPIN,lspin_tf,mlp,0.0105,0.2,6,7,21,0.9221910605330496
LSPIN,lspin_tf,mlp,0.0035,0.4,0,1,25,0.9295262546512826
LSPIN,lspin_tf,mlp,0.0035,0.4,0,2,25,0.9587813112881268
LSPIN,lspin_tf,mlp,0.0035,0.4,0,3,25,0.9680497816952002
LSPIN,lspin_tf,mlp,0.0035,0.4,0,4,25,0.9387417452778768
LSPIN,lspin_tf,mlp,0.0035,0.4,0,5,25,0.9484824308154368
LSPIN,lspin_tf,mlp,0.0035,0.4,0,6,25,0.9450657376577573
LSPIN,lspin_tf,mlp,0.0035,0.4,0,7,25,0.9361558924022072
LSPIN,lspin_tf,mlp,0.0035,0.4,1,2,25,0.8903241545797584
LSPIN,lspin_tf,mlp,0.0035,0.4,1,3,25,0.9164654636390492
LSPIN,lspin_tf,mlp,0.0035,0.4,1,4,25,0.8964847607120477
LSPIN,lspin_tf,mlp,0.0035,0.4,1,5,25,0.9261807241102342
LSPIN,lspin_tf,mlp,0.0035,0.4,1,6,25,0.8823605569535857
LSPIN,lspin_tf,mlp,0.0035,0.4,1,7,25,0.8760254999544627
LSPIN,lspin_tf,mlp,0.0035,0.4,2,3,25,0.953103947430188
LSPIN,lspin_tf,mlp,0.0035,0.4,2,4,25,0.9167958803164656
LSPIN,lspin_tf,mlp,0.0035,0.4,2,5,25,0.9485533007223552
LSPIN,lspin_tf,mlp,0.0035,0.4,2,6,25,0.9385088122159124
LSPIN,lspin_tf,mlp,0.0035,0.4,2,7,25,0.9316679969730074
LSPIN,lspin_tf,mlp,0.0035,0.4,3,4,25,0.9338276661667576
LSPIN,lspin_tf,mlp,0.0035,0.4,3,5,25,0.9135008763506566
LSPIN,lspin_tf,mlp,0.0035,0.4,3,6,25,0.9006123864045306
LSPIN,lspin_tf,mlp,0.0035,0.4,3,7,25,0.8877897981157831
LSPIN,lspin_tf,mlp,0.0035,0.4,4,5,25,0.8766285793417814
LSPIN,lspin_tf,mlp,0.0035,0.4,4,6,25,0.8718390923474526
LSPIN,lspin_tf,mlp,0.0035,0.4,4,7,25,0.8329953763058534
LSPIN,lspin_tf,mlp,0.0035,0.4,5,6,25,0.9624052480514848
LSPIN,lspin_tf,mlp,0.0035,0.4,5,7,25,0.959876307624479
LSPIN,lspin_tf,mlp,0.0035,0.4,6,7,25,0.9812765480162768
LSPIN,lspin_tf,mlp,0.0105,0.4,0,1,29,0.9312771954417064
LSPIN,lspin_tf,mlp,0.0105,0.4,0,2,29,0.9108063110287024
LSPIN,lspin_tf,mlp,0.0105,0.4,0,3,29,0.9476392194446058
LSPIN,lspin_tf,mlp,0.0105,0.4,0,4,29,0.9316418597815894
LSPIN,lspin_tf,mlp,0.0105,0.4,0,5,29,0.917236829359572
LSPIN,lspin_tf,mlp,0.0105,0.4,0,6,29,0.9337870377489396
LSPIN,lspin_tf,mlp,0.0105,0.4,0,7,29,0.916191040862678
LSPIN,lspin_tf,mlp,0.0105,0.4,1,2,29,0.916640096122224
LSPIN,lspin_tf,mlp,0.0105,0.4,1,3,29,0.9296849067422304
LSPIN,lspin_tf,mlp,0.0105,0.4,1,4,29,0.8939546289652651
LSPIN,lspin_tf,mlp,0.0105,0.4,1,5,29,0.8943130790052737
LSPIN,lspin_tf,mlp,0.0105,0.4,1,6,29,0.9245519234445284
LSPIN,lspin_tf,mlp,0.0105,0.4,1,7,29,0.9244682318588068
LSPIN,lspin_tf,mlp,0.0105,0.4,2,3,29,0.9248789923025336
LSPIN,lspin_tf,mlp,0.0105,0.4,2,4,29,0.942011214324687
LSPIN,lspin_tf,mlp,0.0105,0.4,2,5,29,0.8544553085512794
LSPIN,lspin_tf,mlp,0.0105,0.4,2,6,29,0.9160448916765244
LSPIN,lspin_tf,mlp,0.0105,0.4,2,7,29,0.912962282636118
LSPIN,lspin_tf,mlp,0.0105,0.4,3,4,29,0.9322326381612458
LSPIN,lspin_tf,mlp,0.0105,0.4,3,5,29,0.9342813223140656
LSPIN,lspin_tf,mlp,0.0105,0.4,3,6,29,0.9185382208117884
LSPIN,lspin_tf,mlp,0.0105,0.4,3,7,29,0.9143558225697572
LSPIN,lspin_tf,mlp,0.0105,0.4,4,5,29,0.8611286637646292
LSPIN,lspin_tf,mlp,0.0105,0.4,4,6,29,0.8893399757075487
