model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,global_cfg_idx,cluster_ari,cluster_nmi
LSPIN,lspin_tf,mlp,0.0035,0.0,0,1,1,0.5424360751041288,0.5102767712354039
LSPIN,lspin_tf,mlp,0.0035,0.0,0,2,1,0.4322499766137366,0.4559735863061641
LSPIN,lspin_tf,mlp,0.0035,0.0,0,3,1,0.5537760886372369,0.5098728179615004
LSPIN,lspin_tf,mlp,0.0035,0.0,0,4,1,0.521351542076399,0.5283813783248752
LSPIN,lspin_tf,mlp,0.0035,0.0,0,5,1,0.3729800945652146,0.4129748679978406
LSPIN,lspin_tf,mlp,0.0035,0.0,0,6,1,0.5415069533293865,0.4996445596187452
LSPIN,lspin_tf,mlp,0.0035,0.0,0,7,1,0.40712265466771,0.4679075516285977
LSPIN,lspin_tf,mlp,0.0035,0.0,1,2,1,0.5282773919857079,0.5283897698678269
LSPIN,lspin_tf,mlp,0.0035,0.0,1,3,1,0.6844531602742994,0.6061691617348052
LSPIN,lspin_tf,mlp,0.0035,0.0,1,4,1,0.548253378041886,0.5700688190301968
LSPIN,lspin_tf,mlp,0.0035,0.0,1,5,1,0.4490121044349324,0.4766164347362148
LSPIN,lspin_tf,mlp,0.0035,0.0,1,6,1,0.4528779040386964,0.4512049552024368
LSPIN,lspin_tf,mlp,0.0035,0.0,1,7,1,0.3475813680104709,0.4361880699436042
LSPIN,lspin_tf,mlp,0.0035,0.0,2,3,1,0.4704683071215805,0.5018933872654978
LSPIN,lspin_tf,mlp,0.0035,0.0,2,4,1,0.4368013889423419,0.4355022399743036
LSPIN,lspin_tf,mlp,0.0035,0.0,2,5,1,0.3377253478907416,0.4234152478469928
LSPIN,lspin_tf,mlp,0.0035,0.0,2,6,1,0.440641983890006,0.4774140950510979
LSPIN,lspin_tf,mlp,0.0035,0.0,2,7,1,0.2666252959377427,0.3492760730152011
LSPIN,lspin_tf,mlp,0.0035,0.0,3,4,1,0.4656935036848908,0.4545916830258536
LSPIN,lspin_tf,mlp,0.0035,0.0,3,5,1,0.5212366907848062,0.5515634453518403
LSPIN,lspin_tf,mlp,0.0035,0.0,3,6,1,0.3376927664424061,0.3459711433229935
