model_family,lambda_sample_smooth,lambda_sparse,mean_cluster_ari,mean_cluster_nmi,n_pairs,mean_Khard
Concrete,0.0,0.0066,0.5723552954652105,0.5513030205117366,56,78.83520889282227
Concrete,0.0,0.0055,0.45546750462845803,0.49735057575355707,56,98.1430869102478
Concrete,0.0,0.0044,0.5092851527235752,0.5465120045130749,56,126.00623035430908
Concrete,0.0,0.0033,0.46584255266213204,0.49789057715641444,56,190.42725086212158
Concrete,0.0,0.00275,0.5407887642467075,0.5528190735679416,56,233.16338443756104
Concrete,0.0,0.0022,0.5345855900603625,0.5497882718708395,56,311.8420400619507
Concrete,0.0,0.00165,0.5740450981437294,0.5776842006200161,56,447.5184860229492
Concrete,0.0,0.0011,0.5796587742074967,0.5609151921983835,56,641.5948505401611
Concrete,0.1,0.0066,0.7952142920352816,0.7058515592288784,56,95.46623706817627
Concrete,0.1,0.0055,0.6304976422579011,0.6047470161359055,56,114.40273332595825
Concrete,0.1,0.0044,0.649017893111071,0.6298093149689119,56,164.44353008270264
Concrete,0.1,0.0033,0.6971699355118807,0.6623524366254081,56,240.6376609802246
Concrete,0.1,0.00275,0.6607029705435553,0.6198547926395973,56,304.30707359313965
Concrete,0.1,0.0022,0.6457406484069868,0.59932857717763,56,415.44192123413086
Concrete,0.1,0.00165,0.7117761048943473,0.6566500185772112,56,582.3484687805176
Concrete,0.1,0.0011,0.661849911030794,0.6425071933507446,56,1002.6463088989258
Concrete,0.2,0.0066,0.6847375314184976,0.6405436988480453,56,106.3374195098877
Concrete,0.2,0.0055,0.6954337387004869,0.6419173646172425,56,121.90815877914429
Concrete,0.2,0.0044,0.7407271925498241,0.6761755977044911,56,166.18509006500244
Concrete,0.2,0.0033,0.6871947042867277,0.6462994477614161,56,242.43971347808838
Concrete,0.2,0.00275,0.6859636505056866,0.6362144406426491,56,318.36937522888184
Concrete,0.2,0.0022,0.7127517379478611,0.66385741765828,56,423.00764083862305
Concrete,0.2,0.00165,0.6943531026390237,0.6542687432267045,56,594.6953392028809
Concrete,0.2,0.0011,0.7299000891093168,0.6969366798405885,56,1013.543212890625
Concrete,0.4,0.0066,0.6886939523973973,0.6461356357319177,56,96.36133527755737
Concrete,0.4,0.0055,0.7351087291410641,0.7029008285347124,56,135.35088396072388
Concrete,0.4,0.0044,0.7844379155149853,0.7135467506844247,56,174.38203477859497
Concrete,0.4,0.0033,0.7387875217312002,0.682406814150469,56,251.04743194580078
Concrete,0.4,0.00275,0.67845243906908,0.6305671063202521,56,330.74437141418457
