histology,n_test,cindex,global_cfg_idx,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
infiltratingductalcarcinoma,220,0.6307692307692307,1,LSPIN,mlp,0.0035,0.0,10123
infiltratinglobularcarcinoma,60,0.5767195767195767,1,LSPIN,mlp,0.0035,0.0,10123
other,23,0.5675675675675675,1,LSPIN,mlp,0.0035,0.0,10123
infiltratingductalcarcinoma,220,0.6333878887070377,1,LSPIN,mlp,0.0035,0.0,10124
infiltratinglobularcarcinoma,60,0.5714285714285714,1,LSPIN,mlp,0.0035,0.0,10124
other,23,0.5945945945945946,1,LSPIN,mlp,0.0035,0.0,10124
infiltratingductalcarcinoma,220,0.5875613747954174,1,LSPIN,mlp,0.0035,0.0,10125
infiltratinglobularcarcinoma,60,0.6084656084656085,1,LSPIN,mlp,0.0035,0.0,10125
other,23,0.5405405405405406,1,LSPIN,mlp,0.0035,0.0,10125
infiltratingductalcarcinoma,220,0.7309328968903437,1,LSPIN,mlp,0.0035,0.0,10126
infiltratinglobularcarcinoma,60,0.5343915343915344,1,LSPIN,mlp,0.0035,0.0,10126
other,23,0.6486486486486487,1,LSPIN,mlp,0.0035,0.0,10126
infiltratingductalcarcinoma,220,0.5806873977086743,1,LSPIN,mlp,0.0035,0.0,10127
infiltratinglobularcarcinoma,60,0.5925925925925926,1,LSPIN,mlp,0.0035,0.0,10127
other,23,0.5135135135135135,1,LSPIN,mlp,0.0035,0.0,10127
infiltratingductalcarcinoma,220,0.6242225859247136,1,LSPIN,mlp,0.0035,0.0,10128
infiltratinglobularcarcinoma,60,0.5555555555555556,1,LSPIN,mlp,0.0035,0.0,10128
other,23,0.5675675675675675,1,LSPIN,mlp,0.0035,0.0,10128
infiltratingductalcarcinoma,220,0.6422258592471358,1,LSPIN,mlp,0.0035,0.0,10129
infiltratinglobularcarcinoma,60,0.582010582010582,1,LSPIN,mlp,0.0035,0.0,10129
other,23,0.4864864864864865,1,LSPIN,mlp,0.0035,0.0,10129
