model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,global_cfg_idx,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,mlp,0.0035,0.0,0,1,1,0.6564826164956378,2.742504409171076,0.3846153846153846,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,mlp,0.0035,0.0,0,2,1,0.7154666471249088,2.742504409171076,0.3846153846153846,2.977576215671454,0.4318181818181818
LSPIN,lspin_tf,mlp,0.0035,0.0,0,3,1,0.6690025344215329,2.429075333837239,0.3263157894736842,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,mlp,0.0035,0.0,0,4,1,0.6482091005530567,2.507432602670698,0.3404255319148936,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,mlp,0.0035,0.0,0,5,1,0.511511292326853,2.1940035273368608,0.2857142857142857,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,mlp,0.0035,0.0,0,6,1,0.6610022345791333,2.742504409171076,0.3846153846153846,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,mlp,0.0035,0.0,0,7,1,0.7288409235010868,3.055933484504913,0.4482758620689655,2.8992189468379945,0.4157303370786517
LSPIN,lspin_tf,mlp,0.0035,0.0,1,2,1,0.6811050540491881,2.8208616780045355,0.4,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,mlp,0.0035,0.0,1,3,1,0.6678406325801003,2.8992189468379945,0.4157303370786517,2.8208616780045355,0.4
LSPIN,lspin_tf,mlp,0.0035,0.0,1,4,1,0.6866435027873469,2.977576215671454,0.4318181818181818,3.4477198286722097,0.5365853658536586
LSPIN,lspin_tf,mlp,0.0035,0.0,1,5,1,0.5962940417823381,2.3507180650037798,0.3125,2.977576215671454,0.4318181818181818
LSPIN,lspin_tf,mlp,0.0035,0.0,1,6,1,0.622838445976866,2.2723607961703203,0.2989690721649484,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,mlp,0.0035,0.0,1,7,1,0.6710612079867728,2.742504409171076,0.3846153846153846,2.8208616780045355,0.4
LSPIN,lspin_tf,mlp,0.0035,0.0,2,3,1,0.6966707008283931,3.1342907533383726,0.4651162790697674,3.055933484504913,0.4482758620689655
LSPIN,lspin_tf,mlp,0.0035,0.0,2,4,1,0.6645526849616785,2.429075333837239,0.3263157894736842,2.977576215671454,0.4318181818181818
LSPIN,lspin_tf,mlp,0.0035,0.0,2,5,1,0.5807017477082015,2.3507180650037798,0.3125,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,mlp,0.0035,0.0,2,6,1,0.6889204986435771,2.507432602670698,0.3404255319148936,3.212648022171832,0.4823529411764706
LSPIN,lspin_tf,mlp,0.0035,0.0,2,7,1,0.7424506765076737,2.977576215671454,0.4318181818181818,3.212648022171832,0.4823529411764706
LSPIN,lspin_tf,mlp,0.0035,0.0,3,4,1,0.6652083958648931,3.055933484504913,0.4482758620689655,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,mlp,0.0035,0.0,3,5,1,0.6088813096312403,2.507432602670698,0.3404255319148936,2.3507180650037798,0.3125
LSPIN,lspin_tf,mlp,0.0035,0.0,3,6,1,0.6757584291431226,2.742504409171076,0.3846153846153846,2.977576215671454,0.4318181818181818
LSPIN,lspin_tf,mlp,0.0035,0.0,3,7,1,0.7052180297071996,2.977576215671454,0.4318181818181818,3.212648022171832,0.4823529411764706
LSPIN,lspin_tf,mlp,0.0035,0.0,4,5,1,0.6865541248354562,2.3507180650037798,0.3125,2.8992189468379945,0.4157303370786517
LSPIN,lspin_tf,mlp,0.0035,0.0,4,6,1,0.6234227758748297,2.3507180650037798,0.3125,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,mlp,0.0035,0.0,4,7,1,0.6578809187841026,2.8992189468379945,0.4157303370786517,2.8208616780045355,0.4
LSPIN,lspin_tf,mlp,0.0035,0.0,5,6,1,0.5629461400803243,2.507432602670698,0.3404255319148936,1.958931720836483,0.2475247524752475
LSPIN,lspin_tf,mlp,0.0035,0.0,5,7,1,0.570097628032959,2.429075333837239,0.3263157894736842,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,mlp,0.0035,0.0,6,7,1,0.687849003448121,2.8992189468379945,0.4157303370786517,2.977576215671454,0.4318181818181818
LSPIN,lspin_tf,mlp,0.0105,0.0,0,1,5,0.5735185126583822,2.5857898715041574,0.3548387096774194,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,mlp,0.0105,0.0,0,2,5,0.5243362456111863,2.1940035273368608,0.2857142857142857,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,mlp,0.0105,0.0,0,3,5,0.5097741862314572,2.3507180650037798,0.3125,1.880574452003024,0.2352941176470588
LSPIN,lspin_tf,mlp,0.0105,0.0,0,4,5,0.5539906130289478,2.1156462585034013,0.2727272727272727,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,mlp,0.0105,0.0,0,5,5,0.4645825133703429,2.1156462585034013,0.2727272727272727,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,mlp,0.0105,0.0,0,6,5,0.4625510714806623,2.3507180650037798,0.3125,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,mlp,0.0105,0.0,0,7,5,0.5670263683205448,2.429075333837239,0.3263157894736842,2.3507180650037798,0.3125
LSPIN,lspin_tf,mlp,0.0105,0.0,1,2,5,0.538247376022192,2.507432602670698,0.3404255319148936,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,mlp,0.0105,0.0,1,3,5,0.5325184684804398,2.429075333837239,0.3263157894736842,2.3507180650037798,0.3125
LSPIN,lspin_tf,mlp,0.0105,0.0,1,4,5,0.4566498615049357,2.037288989669942,0.26,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,mlp,0.0105,0.0,1,5,5,0.5743877088800823,2.1156462585034013,0.2727272727272727,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,mlp,0.0105,0.0,1,6,5,0.5115338447127837,2.2723607961703203,0.2989690721649484,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,mlp,0.0105,0.0,1,7,5,0.5225718666181878,2.2723607961703203,0.2989690721649484,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,mlp,0.0105,0.0,2,3,5,0.5453937255404429,2.5857898715041574,0.3548387096774194,2.3507180650037798,0.3125
LSPIN,lspin_tf,mlp,0.0105,0.0,2,4,5,0.5061974271384425,2.1156462585034013,0.2727272727272727,2.037288989669942,0.26
LSPIN,lspin_tf,mlp,0.0105,0.0,2,5,5,0.5109068997461395,2.3507180650037798,0.3125,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,mlp,0.0105,0.0,2,6,5,0.5360155102292571,1.802217183169564,0.2233009708737864,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,mlp,0.0105,0.0,2,7,5,0.4945721558518899,1.958931720836483,0.2475247524752475,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,mlp,0.0105,0.0,3,4,5,0.596566480051897,2.1156462585034013,0.2727272727272727,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,mlp,0.0105,0.0,3,5,5,0.5796672607834604,2.429075333837239,0.3263157894736842,1.958931720836483,0.2475247524752475
LSPIN,lspin_tf,mlp,0.0105,0.0,3,6,5,0.6348063491520634,2.1940035273368608,0.2857142857142857,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,mlp,0.0105,0.0,3,7,5,0.5670173645694484,2.037288989669942,0.26,2.8992189468379945,0.4157303370786517
LSPIN,lspin_tf,mlp,0.0105,0.0,4,5,5,0.4680698226559738,1.958931720836483,0.2475247524752475,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,mlp,0.0105,0.0,4,6,5,0.5112672150907311,2.2723607961703203,0.2989690721649484,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,mlp,0.0105,0.0,4,7,5,0.5112887458297825,1.958931720836483,0.2475247524752475,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,mlp,0.0105,0.0,5,6,5,0.5676508916353198,2.3507180650037798,0.3125,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,mlp,0.0105,0.0,5,7,5,0.4734143491021315,1.802217183169564,0.2233009708737864,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,mlp,0.0105,0.0,6,7,5,0.5034164869068416,1.802217183169564,0.2233009708737864,3.055933484504913,0.4482758620689655
LSPIN,lspin_tf,mlp,0.0035,0.1,0,1,9,0.7003411571575334,2.6641471403376165,0.3695652173913043,2.8208616780045355,0.4
LSPIN,lspin_tf,mlp,0.0035,0.1,0,2,9,0.6936827576797063,2.429075333837239,0.3263157894736842,3.212648022171832,0.4823529411764706
LSPIN,lspin_tf,mlp,0.0035,0.1,0,3,9,0.7158984044369303,2.742504409171076,0.3846153846153846,3.212648022171832,0.4823529411764706
LSPIN,lspin_tf,mlp,0.0035,0.1,0,4,9,0.7192365322908805,2.507432602670698,0.3404255319148936,3.055933484504913,0.4482758620689655
