global_cfg_idx,model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
1,LSPIN,lspin_tf,mlp,0.15,0.0035,0.0,10123,0,0.6191646191646192,0.8388157894736842,9,383.2733154296875,0.9799220024708872,4585.0,1407.0,1418.7968152765604
1,LSPIN,lspin_tf,mlp,0.15,0.0035,0.0,10124,1,0.6270270270270271,0.8914473684210527,10,310.47265625,0.9764641716402772,4903.0,1117.0,1281.200716302293
1,LSPIN,lspin_tf,mlp,0.15,0.0035,0.0,10125,2,0.5944307944307944,0.8256578947368421,13,269.60772705078125,0.9743261311381852,3695.0,1079.0,1137.93999587313
1,LSPIN,lspin_tf,mlp,0.15,0.0035,0.0,10126,3,0.6976248976248977,0.8207236842105263,9,401.414794921875,0.9841783922870888,4768.0,1630.0,1678.8494929751346
1,LSPIN,lspin_tf,mlp,0.15,0.0035,0.0,10127,4,0.5816543816543817,0.8240131578947368,9,329.7652587890625,0.9799953410036149,4566.0,1331.0,1375.1768246396755
1,LSPIN,lspin_tf,mlp,0.15,0.0035,0.0,10128,5,0.6145782145782146,0.8618421052631579,10,335.2926025390625,0.9791175422852564,4637.0,1304.0,1422.7412731109555
1,LSPIN,lspin_tf,mlp,0.15,0.0035,0.0,10129,6,0.6217854217854217,0.8486842105263158,7,475.9742736816406,0.9863891829168971,5887.0,1828.0,1908.3792831293567
1,LSPIN,lspin_tf,mlp,0.15,0.0035,0.0,10130,7,0.6229320229320229,0.850328947368421,10,367.8585205078125,0.9772322687142018,4885.0,1383.0,1456.6922778729602
5,LSPIN,lspin_tf,mlp,0.15,0.0105,0.0,50123,0,0.5459459459459459,0.8799342105263158,8,176.8810272216797,0.9503540382766263,3215.0,520.0,619.4115544511384
5,LSPIN,lspin_tf,mlp,0.15,0.0105,0.0,50124,1,0.6024570024570025,0.8486842105263158,8,136.1446990966797,0.951279034076346,2642.0,481.0,582.7241347194871
5,LSPIN,lspin_tf,mlp,0.15,0.0105,0.0,50125,2,0.6072072072072072,0.8486842105263158,9,131.019287109375,0.9438440384635342,1966.0,436.0,451.9540208511509
5,LSPIN,lspin_tf,mlp,0.15,0.0105,0.0,50126,3,0.5814905814905815,0.8404605263157895,9,146.19935607910156,0.945186669878145,2529.0,483.0,525.4913745929504
5,LSPIN,lspin_tf,mlp,0.15,0.0105,0.0,50127,4,0.5733005733005733,0.8305921052631579,8,161.92926025390625,0.9573229577323076,2863.0,526.0,630.4395090853326
5,LSPIN,lspin_tf,mlp,0.15,0.0105,0.0,50128,5,0.6103194103194103,0.8141447368421053,10,180.453369140625,0.948499450539941,2335.0,517.0,520.0437129038578
5,LSPIN,lspin_tf,mlp,0.15,0.0105,0.0,50129,6,0.6286650286650287,0.7483552631578947,10,132.5434112548828,0.9390931072497042,2222.0,414.0,447.9643503751368
5,LSPIN,lspin_tf,mlp,0.15,0.0105,0.0,50130,7,0.6173628173628174,0.8388157894736842,12,126.52411651611328,0.935779730061931,2743.0,405.0,488.7133803517495
9,LSPIN,lspin_tf,mlp,0.15,0.0035,0.1,90123,0,0.5787059787059787,0.8322368421052632,17,746.1607666015625,0.9847602629091512,3036.0,1437.0,1247.7328822488216
9,LSPIN,lspin_tf,mlp,0.15,0.0035,0.1,90124,1,0.6375102375102375,0.8388157894736842,12,746.3280029296875,0.9856979783920656,3184.0,1648.0,1378.950927952225
9,LSPIN,lspin_tf,mlp,0.15,0.0035,0.1,90125,2,0.6262080262080262,0.8618421052631579,14,767.1640014648438,0.9831738218203514,3344.0,1500.0,1287.5178872789872
9,LSPIN,lspin_tf,mlp,0.15,0.0035,0.1,90126,3,0.6013104013104014,0.8355263157894737,10,936.2347412109376,0.9884150290705718,5111.0,1915.0,1735.1496861438557
9,LSPIN,lspin_tf,mlp,0.15,0.0035,0.1,90127,4,0.64995904995905,0.8601973684210527,13,795.9453125,0.9854311029542384,3393.0,1576.0,1354.718789592638
9,LSPIN,lspin_tf,mlp,0.15,0.0035,0.1,90128,5,0.6022932022932023,0.8914473684210527,15,741.4180297851562,0.9853894876745268,3015.0,1477.0,1265.2574850645808
9,LSPIN,lspin_tf,mlp,0.15,0.0035,0.1,90129,6,0.6668304668304669,0.8980263157894737,12,809.7041625976562,0.9840056686984896,3715.0,1722.0,1509.0766614030567
9,LSPIN,lspin_tf,mlp,0.15,0.0035,0.1,90130,7,0.6221130221130221,0.8338815789473685,13,727.96142578125,0.9840237588045851,3221.0,1500.0,1252.6535261877575
13,LSPIN,lspin_tf,mlp,0.15,0.0105,0.1,130123,0,0.6198198198198198,0.8881578947368421,9,330.3890686035156,0.9696377078455984,1947.0,650.0,575.3920514299988
13,LSPIN,lspin_tf,mlp,0.15,0.0105,0.1,130124,1,0.534971334971335,0.8026315789473685,15,262.2379455566406,0.9587612295692418,1752.0,481.0,423.4813750204693
13,LSPIN,lspin_tf,mlp,0.15,0.0105,0.1,130125,2,0.5860769860769861,0.8536184210526315,10,262.7652587890625,0.95507437971794,1974.0,494.0,461.9328935334039
13,LSPIN,lspin_tf,mlp,0.15,0.0105,0.1,130126,3,0.6422604422604422,0.8421052631578947,8,319.69451904296875,0.9678297981345604,2006.0,666.0,602.2450763956477
13,LSPIN,lspin_tf,mlp,0.15,0.0105,0.1,130127,4,0.5931203931203931,0.8865131578947368,9,288.2283020019531,0.9670716279367392,1988.0,646.0,554.8852123259082
13,LSPIN,lspin_tf,mlp,0.15,0.0105,0.1,130128,5,0.5808353808353809,0.8388157894736842,10,322.3376159667969,0.9628354827821036,2073.0,612.0,547.1128883861127
13,LSPIN,lspin_tf,mlp,0.15,0.0105,0.1,130129,6,0.6088452088452089,0.8733552631578947,9,329.2186584472656,0.9577256831744184,2673.0,675.0,625.6053489026369
13,LSPIN,lspin_tf,mlp,0.15,0.0105,0.1,130130,7,0.5662571662571663,0.84375,8,292.5594787597656,0.9697115757589738,2200.0,716.0,617.0319575809255
17,LSPIN,lspin_tf,mlp,0.15,0.0035,0.2,170123,0,0.5980343980343981,0.8585526315789473,15,812.0225219726562,0.981425514786579,3114.0,1549.0,1345.0214054027992
17,LSPIN,lspin_tf,mlp,0.15,0.0035,0.2,170124,1,0.628992628992629,0.84375,14,884.6366577148438,0.9870053314798048,4070.0,1698.0,1505.4927847173508
17,LSPIN,lspin_tf,mlp,0.15,0.0035,0.2,170125,2,0.6165438165438165,0.8667763157894737,15,794.228271484375,0.984140872896838,3696.0,1474.0,1329.3395074489067
17,LSPIN,lspin_tf,mlp,0.15,0.0035,0.2,170126,3,0.618018018018018,0.8125,9,777.8939208984375,0.989310088942645,3622.0,1870.0,1567.0805458371487
17,LSPIN,lspin_tf,mlp,0.15,0.0035,0.2,170127,4,0.5864045864045864,0.8355263157894737,9,794.0643310546875,0.9860739645547748,3727.0,1890.0,1581.2109384153828
17,LSPIN,lspin_tf,mlp,0.15,0.0035,0.2,170128,5,0.6281736281736282,0.8355263157894737,9,830.7652587890625,0.9886635736885516,3980.0,1912.0,1639.9570570094272
17,LSPIN,lspin_tf,mlp,0.15,0.0035,0.2,170129,6,0.6316134316134316,0.8651315789473685,9,877.82958984375,0.9881332360530604,3870.0,2137.0,1768.002082670477
17,LSPIN,lspin_tf,mlp,0.15,0.0035,0.2,170130,7,0.6437346437346437,0.9013157894736842,12,835.6719970703125,0.9864467819292952,3399.0,1706.0,1465.922051924336
21,LSPIN,lspin_tf,mlp,0.15,0.0105,0.2,210123,0,0.5667485667485668,0.8486842105263158,10,306.39227294921875,0.9598325595275604,2507.0,584.0,560.338791246917
