model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs,mean_affinity_corr,mean_risk_corr,mean_top_risk_overlap_ratio,mean_cluster_ari,mean_cluster_nmi,rank_cindex,rank_affinity,rank_risk,rank_cluster,rank_parsimony,joint_score
Concrete,0.2,0.0011,1013.543212890625,83.04792446011366,0.6244369369369369,0.020079363089992218,0.9824463763299665,0.0037502915556099346,5584.25,1700.0,1566.7500492880786,16,0.9541707768683148,0.8124461081658868,3.2686174999100173,0.7299000891093168,0.6969366798405885,0.90625,1.0,1.0,0.8125,0.25,0.79375
Concrete,0.2,0.00165,594.6953392028809,57.818765458726695,0.6269963144963145,0.021888116747800158,0.9691132547991552,0.0054635407294545465,4830.5,909.8125,922.8351265747924,16,0.9246804850155703,0.7368464789247977,2.97337850484109,0.6943531026390237,0.6542687432267045,0.96875,0.90625,0.84375,0.625,0.53125,0.775
Concrete,0.4,0.0011,958.1868934631348,71.92985375434577,0.6228603603603604,0.0230033576155068,0.9801925024758638,0.00331707650646828,5112.5,1535.9375,1436.0360518956954,16,0.906547706617647,0.7958113807746773,3.1846632833027395,0.7595827124303511,0.7007330620692954,0.875,0.5625,0.9375,0.9375,0.375,0.7375
Concrete,0.1,0.00165,582.3484687805176,43.60995201949136,0.6186015561015561,0.020438424844211985,0.9696162981052491,0.005046174167514945,4963.25,905.625,928.9099621086632,16,0.9094182977294951,0.7294173014114745,2.932800633480906,0.7117761048943473,0.6566500185772112,0.78125,0.6875,0.8125,0.71875,0.40625,0.68125
Concrete,0.4,0.0022,416.13464736938477,41.27126711330455,0.6292690417690417,0.02863788543678886,0.9571096872789113,0.009932343296197238,4693.0,635.9375,710.9198248552626,16,0.8808861544036072,0.703573007859937,2.8348540474390815,0.7270168288878944,0.6572575675579987,1.0,0.25,0.71875,0.78125,0.59375,0.66875
Concrete,0.2,0.0022,423.00764083862305,47.0412992429177,0.607022932022932,0.02858857242546624,0.9595111127608666,0.010411101323901401,4364.375,689.75,737.6151848050929,16,0.9083679547142376,0.7026564535026459,2.9635838462369075,0.7127517379478611,0.66385741765828,0.5,0.625,0.6875,0.75,0.78125,0.66875
Concrete,0.4,0.0044,174.38203477859497,21.127627556307427,0.5993959868959868,0.03963588147735749,0.912677488494633,0.018320434265133422,4196.9375,259.25,415.9487489191131,16,0.9220136211184989,0.5917515908192984,2.658550192563798,0.7844379155149853,0.7135467506844247,0.34375,0.875,0.3125,0.96875,0.84375,0.66875
Concrete,0.4,0.00165,629.8084831237793,48.54975924248963,0.6161855036855037,0.020581212473483934,0.9733057336809625,0.005344697173008323,4842.0,1030.75,1008.2018392271846,16,0.9290147569174503,0.7113188264677556,2.82226091494799,0.6597176157724005,0.6448084734134117,0.6875,0.9375,0.75,0.375,0.5,0.65
Concrete,0.2,0.00275,318.36937522888184,32.027340248529164,0.6152231777231777,0.028559626426096805,0.9484282002166805,0.011532605327896522,4184.375,492.75,572.3478075068754,16,0.9072580957442872,0.653621171944305,2.7634929633228955,0.6859636505056866,0.6362144406426491,0.65625,0.59375,0.5,0.53125,0.90625,0.6375
Concrete,0.2,0.0033,242.43971347808838,24.635357653434145,0.6079954954954955,0.027141195753223123,0.9349919727847772,0.011216511808045159,4405.1875,369.5625,490.21354105569293,16,0.9092093697632082,0.6604461630339967,2.7005273008674373,0.6871947042867277,0.6462994477614161,0.5625,0.65625,0.53125,0.5625,0.75,0.6125
