model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,mlp,0.0035,0.0,0,1,0.9290190793180904
LSPIN,lspin_tf,mlp,0.0035,0.0,0,2,0.876932420727473
LSPIN,lspin_tf,mlp,0.0035,0.0,0,3,0.9112208970308692
LSPIN,lspin_tf,mlp,0.0035,0.0,0,4,0.9278596125526348
LSPIN,lspin_tf,mlp,0.0035,0.0,1,2,0.8888182991633148
LSPIN,lspin_tf,mlp,0.0035,0.0,1,3,0.935586373274348
LSPIN,lspin_tf,mlp,0.0035,0.0,1,4,0.9040565892373268
LSPIN,lspin_tf,mlp,0.0035,0.0,2,3,0.9328166101706604
LSPIN,lspin_tf,mlp,0.0035,0.0,2,4,0.8986954679581177
LSPIN,lspin_tf,mlp,0.0035,0.0,3,4,0.927199546613003
LSPIN,lspin_tf,mlp,0.00525,0.0,0,1,0.8734080955920126
LSPIN,lspin_tf,mlp,0.00525,0.0,0,2,0.8951881095701145
LSPIN,lspin_tf,mlp,0.00525,0.0,0,3,0.7876011508282342
LSPIN,lspin_tf,mlp,0.00525,0.0,0,4,0.8180308262341198
LSPIN,lspin_tf,mlp,0.00525,0.0,1,2,0.9111112281732202
LSPIN,lspin_tf,mlp,0.00525,0.0,1,3,0.8394230929953894
LSPIN,lspin_tf,mlp,0.00525,0.0,1,4,0.8893186540383798
LSPIN,lspin_tf,mlp,0.00525,0.0,2,3,0.850651357294727
LSPIN,lspin_tf,mlp,0.00525,0.0,2,4,0.909797534703643
LSPIN,lspin_tf,mlp,0.00525,0.0,3,4,0.9156032097967284
LSPIN,lspin_tf,mlp,0.007,0.0,0,1,0.8919144985157805
LSPIN,lspin_tf,mlp,0.007,0.0,0,2,0.8970242064204287
LSPIN,lspin_tf,mlp,0.007,0.0,0,3,0.867803364633049
LSPIN,lspin_tf,mlp,0.007,0.0,0,4,0.8349738624897511
LSPIN,lspin_tf,mlp,0.007,0.0,1,2,0.9254445829231333
LSPIN,lspin_tf,mlp,0.007,0.0,1,3,0.9128813753361152
LSPIN,lspin_tf,mlp,0.007,0.0,1,4,0.8874188771121563
LSPIN,lspin_tf,mlp,0.007,0.0,2,3,0.9488876982265004
LSPIN,lspin_tf,mlp,0.007,0.0,2,4,0.9275032387275052
LSPIN,lspin_tf,mlp,0.007,0.0,3,4,0.9303843676793774
LSPIN,lspin_tf,mlp,0.00875,0.0,0,1,0.857510834950987
LSPIN,lspin_tf,mlp,0.00875,0.0,0,2,0.8209338046702394
LSPIN,lspin_tf,mlp,0.00875,0.0,0,3,0.9043330810423836
LSPIN,lspin_tf,mlp,0.00875,0.0,0,4,0.9024734787335296
LSPIN,lspin_tf,mlp,0.00875,0.0,1,2,0.7978426574129509
LSPIN,lspin_tf,mlp,0.00875,0.0,1,3,0.907159120637415
LSPIN,lspin_tf,mlp,0.00875,0.0,1,4,0.8748137344016934
LSPIN,lspin_tf,mlp,0.00875,0.0,2,3,0.8204392850370126
LSPIN,lspin_tf,mlp,0.00875,0.0,2,4,0.8818775949377823
LSPIN,lspin_tf,mlp,0.00875,0.0,3,4,0.902904113382742
LSPIN,lspin_tf,mlp,0.0105,0.0,0,1,0.8426296638754267
LSPIN,lspin_tf,mlp,0.0105,0.0,0,2,0.904489278674357
LSPIN,lspin_tf,mlp,0.0105,0.0,0,3,0.9045417408485924
