model_family,lambda_sample_smooth,lambda_sparse,mean_affinity_corr,median_affinity_corr,n_pairs,mean_Khard
Concrete,0.0,0.0066,0.8580752379940284,0.857043337761135,20,81.42797355651855
Concrete,0.0,0.0055,0.8406387751590394,0.8619723987896692,20,96.7096450805664
Concrete,0.0,0.0044,0.878751024755642,0.8857143703202496,20,123.98970947265624
Concrete,0.0,0.0033,0.8818767399188785,0.8846816966436378,20,196.24919586181642
Concrete,0.0,0.00275,0.8967099978682255,0.901789233138994,20,228.4000015258789
Concrete,0.0,0.0022,0.8699461709710979,0.8722747380922526,20,288.08617401123047
Concrete,0.0,0.00165,0.9015381270680887,0.9069527658677798,20,464.62926330566404
Concrete,0.0,0.0011,0.9043419102203574,0.9094727347011657,20,642.2334411621093
Concrete,0.1,0.0066,0.8497465910859022,0.8646980608635684,20,94.16977615356446
Concrete,0.1,0.0055,0.8799815864554971,0.9191686292490372,20,122.67459869384766
Concrete,0.1,0.0044,0.874211888160706,0.875604396029927,20,168.01993560791016
Concrete,0.1,0.0033,0.9072286788730827,0.9315103614137481,20,243.27813415527345
Concrete,0.1,0.00275,0.9348110099977408,0.9433163903263468,20,294.6456573486328
Concrete,0.1,0.0022,0.8800423147226576,0.9440395843533522,20,422.1530517578125
Concrete,0.1,0.00165,0.8868378280606409,0.9129435837807449,20,607.9270111083985
Concrete,0.1,0.0011,0.8963446014574517,0.9300973496706947,20,996.3328002929687
Concrete,0.2,0.0066,0.9246328226176942,0.9397886611317998,20,109.33890686035156
Concrete,0.2,0.0055,0.8583066257634941,0.873405307841584,20,123.156591796875
Concrete,0.2,0.0044,0.8633200661854182,0.8904687206061199,20,167.86431121826172
Concrete,0.2,0.0033,0.8737613121068017,0.8938476284614107,20,243.8437286376953
Concrete,0.2,0.00275,0.8929594697466247,0.9137916976252042,20,305.5704147338867
Concrete,0.2,0.0022,0.9062918632749094,0.9264279962464524,20,408.7212219238281
Concrete,0.2,0.00165,0.9206201031612092,0.9260306518560143,20,606.5138305664062
Concrete,0.2,0.0011,0.9412888530989217,0.9565832352382058,20,992.6572326660156
Concrete,0.4,0.0066,0.8978675717604949,0.8885968744108645,20,101.24951705932617
Concrete,0.4,0.0055,0.9363161196414527,0.9367158069328483,20,132.29999771118165
Concrete,0.4,0.0044,0.9104647903404681,0.9426597122873364,20,167.52315216064454
Concrete,0.4,0.0033,0.9118374684638149,0.9145934707380345,20,250.85787506103514
Concrete,0.4,0.00275,0.8839473465618518,0.9145434324970463,20,333.730224609375
