model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,mlp,0.0035,0.0,0,1,0.4586076977495019,0.483897928015369
LSPIN,lspin_tf,mlp,0.0035,0.0,0,2,0.333232255374264,0.3994622195396458
LSPIN,lspin_tf,mlp,0.0035,0.0,0,3,0.4540454759874163,0.4984741135960602
LSPIN,lspin_tf,mlp,0.0035,0.0,0,4,0.343215739489271,0.4496338330586234
LSPIN,lspin_tf,mlp,0.0035,0.0,1,2,0.4791777563472197,0.4973660076214767
LSPIN,lspin_tf,mlp,0.0035,0.0,1,3,0.6871094696424621,0.6138598554356599
LSPIN,lspin_tf,mlp,0.0035,0.0,1,4,0.4883299302159637,0.5213319917412785
LSPIN,lspin_tf,mlp,0.0035,0.0,2,3,0.4381924092268129,0.4363754353070918
LSPIN,lspin_tf,mlp,0.0035,0.0,2,4,0.4252269074712294,0.5047635034173261
LSPIN,lspin_tf,mlp,0.0035,0.0,3,4,0.5416200319214914,0.5516308099871416
LSPIN,lspin_tf,mlp,0.00525,0.0,0,1,0.3281298996389057,0.3881734610052893
LSPIN,lspin_tf,mlp,0.00525,0.0,0,2,0.470290448508194,0.4818131883770535
LSPIN,lspin_tf,mlp,0.00525,0.0,0,3,0.2900451949190332,0.3095731568951761
LSPIN,lspin_tf,mlp,0.00525,0.0,0,4,0.3097058706324389,0.352102499519006
LSPIN,lspin_tf,mlp,0.00525,0.0,1,2,0.4595322234359201,0.4227303677222216
LSPIN,lspin_tf,mlp,0.00525,0.0,1,3,0.4800795706421711,0.4017295744513525
LSPIN,lspin_tf,mlp,0.00525,0.0,1,4,0.5032751585857498,0.4327469220748938
LSPIN,lspin_tf,mlp,0.00525,0.0,2,3,0.4593491384377766,0.3760469495970988
LSPIN,lspin_tf,mlp,0.00525,0.0,2,4,0.6056711402974554,0.515286620003002
LSPIN,lspin_tf,mlp,0.00525,0.0,3,4,0.5105250542518538,0.4439254258228375
LSPIN,lspin_tf,mlp,0.007,0.0,0,1,0.4707083952294261,0.5289111968927853
LSPIN,lspin_tf,mlp,0.007,0.0,0,2,0.5235836081190443,0.4764467732266902
LSPIN,lspin_tf,mlp,0.007,0.0,0,3,0.564373435376203,0.5194337715198445
LSPIN,lspin_tf,mlp,0.007,0.0,0,4,0.4566382562401727,0.4268751462006686
LSPIN,lspin_tf,mlp,0.007,0.0,1,2,0.4820009548661897,0.4492602630310933
LSPIN,lspin_tf,mlp,0.007,0.0,1,3,0.5355042968558327,0.4838786555484564
LSPIN,lspin_tf,mlp,0.007,0.0,1,4,0.423595565407067,0.3668909489073476
LSPIN,lspin_tf,mlp,0.007,0.0,2,3,0.6799079237151382,0.5965343848591098
LSPIN,lspin_tf,mlp,0.007,0.0,2,4,0.6687791507994573,0.6202354581819062
LSPIN,lspin_tf,mlp,0.007,0.0,3,4,0.670025117273452,0.6138201207571218
LSPIN,lspin_tf,mlp,0.00875,0.0,0,1,0.492075882031222,0.4582423577093363
LSPIN,lspin_tf,mlp,0.00875,0.0,0,2,0.3923059717915648,0.4268591759877469
LSPIN,lspin_tf,mlp,0.00875,0.0,0,3,0.521605498697929,0.5295291700410294
LSPIN,lspin_tf,mlp,0.00875,0.0,0,4,0.4732415448617537,0.548128051233325
LSPIN,lspin_tf,mlp,0.00875,0.0,1,2,0.4139603021644391,0.4446018056867966
LSPIN,lspin_tf,mlp,0.00875,0.0,1,3,0.4139044710228441,0.4272592294308002
LSPIN,lspin_tf,mlp,0.00875,0.0,1,4,0.4561946817531749,0.4852888810345476
LSPIN,lspin_tf,mlp,0.00875,0.0,2,3,0.2977806873453832,0.3816042936982229
LSPIN,lspin_tf,mlp,0.00875,0.0,2,4,0.6054739633589622,0.5649010051812927
LSPIN,lspin_tf,mlp,0.00875,0.0,3,4,0.3427789341335231,0.443243875309307
LSPIN,lspin_tf,mlp,0.0105,0.0,0,1,0.5766073061082817,0.5063374872794697
LSPIN,lspin_tf,mlp,0.0105,0.0,0,2,0.7109648349667153,0.6460781198303639
LSPIN,lspin_tf,mlp,0.0105,0.0,0,3,0.7406873342527175,0.7228793219662628
LSPIN,lspin_tf,mlp,0.0105,0.0,0,4,0.595735255757935,0.6118164091727134
LSPIN,lspin_tf,mlp,0.0105,0.0,1,2,0.6079371630159266,0.5288127005399861
LSPIN,lspin_tf,mlp,0.0105,0.0,1,3,0.4332092016808957,0.4262029120067813
LSPIN,lspin_tf,mlp,0.0105,0.0,1,4,0.5837075584462684,0.5324929832799858
LSPIN,lspin_tf,mlp,0.0105,0.0,2,3,0.6411992676466705,0.5989778577370326
LSPIN,lspin_tf,mlp,0.0105,0.0,2,4,0.6445192391687371,0.60716418203819
LSPIN,lspin_tf,mlp,0.0105,0.0,3,4,0.4975366325281349,0.5396972186789618
LSPIN,lspin_tf,mlp,0.014,0.0,0,1,0.5629398865657932,0.5393416557550968
LSPIN,lspin_tf,mlp,0.014,0.0,0,2,0.3100485950657031,0.4082596094563921
LSPIN,lspin_tf,mlp,0.014,0.0,0,3,0.5022599972462519,0.5332680667015434
LSPIN,lspin_tf,mlp,0.014,0.0,0,4,0.4924933115170782,0.4765034895553048
LSPIN,lspin_tf,mlp,0.014,0.0,1,2,0.2508929285763299,0.3168522045866172
LSPIN,lspin_tf,mlp,0.014,0.0,1,3,0.461655053875511,0.474057108669661
LSPIN,lspin_tf,mlp,0.014,0.0,1,4,0.5817622508051121,0.6274632666106443
LSPIN,lspin_tf,mlp,0.014,0.0,2,3,0.1942172332116588,0.2666810101107444
LSPIN,lspin_tf,mlp,0.014,0.0,2,4,0.2879973043295776,0.373054882193284
LSPIN,lspin_tf,mlp,0.014,0.0,3,4,0.4023654038266086,0.4818324147069529
LSPIN,lspin_tf,mlp,0.021,0.0,0,1,0.6011067443217443,0.5641359813923529
LSPIN,lspin_tf,mlp,0.021,0.0,0,2,0.5291551392073619,0.4832473436677059
LSPIN,lspin_tf,mlp,0.021,0.0,0,3,0.2545558044163108,0.3524687730574107
LSPIN,lspin_tf,mlp,0.021,0.0,0,4,0.7033635849481912,0.6266312937653348
LSPIN,lspin_tf,mlp,0.021,0.0,1,2,0.4136577006031504,0.3535251799092309
LSPIN,lspin_tf,mlp,0.021,0.0,1,3,0.318199362184134,0.3997902683481281
LSPIN,lspin_tf,mlp,0.021,0.0,1,4,0.8010809632120645,0.7462189667777122
LSPIN,lspin_tf,mlp,0.021,0.0,2,3,0.2316252799421284,0.315942289753392
LSPIN,lspin_tf,mlp,0.021,0.0,2,4,0.4788903358688324,0.4217964927623058
