histology,n_test,cindex,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
infiltratingductalcarcinoma,220,0.6415711947626841,LSPIN,mlp,0.0035,0.0,10123
infiltratinglobularcarcinoma,60,0.6349206349206349,LSPIN,mlp,0.0035,0.0,10123
other,23,0.6216216216216216,LSPIN,mlp,0.0035,0.0,10123
infiltratingductalcarcinoma,220,0.6749590834697218,LSPIN,mlp,0.0035,0.0,10124
infiltratinglobularcarcinoma,60,0.6402116402116402,LSPIN,mlp,0.0035,0.0,10124
other,23,0.5675675675675675,LSPIN,mlp,0.0035,0.0,10124
infiltratingductalcarcinoma,220,0.5898527004909984,LSPIN,mlp,0.0035,0.0,10125
infiltratinglobularcarcinoma,60,0.6931216931216931,LSPIN,mlp,0.0035,0.0,10125
other,23,0.5135135135135135,LSPIN,mlp,0.0035,0.0,10125
infiltratingductalcarcinoma,220,0.6821603927986907,LSPIN,mlp,0.0035,0.0,10126
infiltratinglobularcarcinoma,60,0.5767195767195767,LSPIN,mlp,0.0035,0.0,10126
other,23,0.7297297297297297,LSPIN,mlp,0.0035,0.0,10126
infiltratingductalcarcinoma,220,0.6543371522094926,LSPIN,mlp,0.0035,0.0,10127
infiltratinglobularcarcinoma,60,0.6402116402116402,LSPIN,mlp,0.0035,0.0,10127
other,23,0.4864864864864865,LSPIN,mlp,0.0035,0.0,10127
infiltratingductalcarcinoma,220,0.6058919803600654,LSPIN,mlp,0.00525,0.0,20123
infiltratinglobularcarcinoma,60,0.5873015873015873,LSPIN,mlp,0.00525,0.0,20123
other,23,0.5405405405405406,LSPIN,mlp,0.00525,0.0,20123
infiltratingductalcarcinoma,220,0.6824877250409165,LSPIN,mlp,0.00525,0.0,20124
infiltratinglobularcarcinoma,60,0.656084656084656,LSPIN,mlp,0.00525,0.0,20124
other,23,0.4594594594594595,LSPIN,mlp,0.00525,0.0,20124
infiltratingductalcarcinoma,220,0.67430441898527,LSPIN,mlp,0.00525,0.0,20125
infiltratinglobularcarcinoma,60,0.5555555555555556,LSPIN,mlp,0.00525,0.0,20125
