model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,mlp,0.0035,0.0,0,1,0.6909762924589229,3.055933484504913,0.4482758620689655,2.977576215671454,0.4318181818181818
LSPIN,lspin_tf,mlp,0.0035,0.0,0,2,0.609048093793865,2.429075333837239,0.3263157894736842,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,mlp,0.0035,0.0,0,3,0.6153959339841025,2.6641471403376165,0.3695652173913043,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,mlp,0.0035,0.0,0,4,0.6318783005722213,2.8992189468379945,0.4157303370786517,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,mlp,0.0035,0.0,1,2,0.6754709898454424,2.977576215671454,0.4318181818181818,2.8208616780045355,0.4
LSPIN,lspin_tf,mlp,0.0035,0.0,1,3,0.7116589710180556,3.1342907533383726,0.4651162790697674,2.977576215671454,0.4318181818181818
LSPIN,lspin_tf,mlp,0.0035,0.0,1,4,0.7268080044526091,3.1342907533383726,0.4651162790697674,3.055933484504913,0.4482758620689655
LSPIN,lspin_tf,mlp,0.0035,0.0,2,3,0.6359125323668472,2.8208616780045355,0.4,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,mlp,0.0035,0.0,2,4,0.635564355387961,2.8992189468379945,0.4157303370786517,2.8992189468379945,0.4157303370786517
LSPIN,lspin_tf,mlp,0.0035,0.0,3,4,0.7108151413407734,2.977576215671454,0.4318181818181818,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,mlp,0.00525,0.0,0,1,0.6151462940455744,2.6641471403376165,0.3695652173913043,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,mlp,0.00525,0.0,0,2,0.7197905690580406,2.977576215671454,0.4318181818181818,2.8992189468379945,0.4157303370786517
LSPIN,lspin_tf,mlp,0.00525,0.0,0,3,0.6648513359421488,2.6641471403376165,0.3695652173913043,2.8208616780045355,0.4
LSPIN,lspin_tf,mlp,0.00525,0.0,0,4,0.664030147359195,2.507432602670698,0.3404255319148936,2.8992189468379945,0.4157303370786517
LSPIN,lspin_tf,mlp,0.00525,0.0,1,2,0.6138728278546911,2.507432602670698,0.3404255319148936,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,mlp,0.00525,0.0,1,3,0.5637116319829467,2.3507180650037798,0.3125,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,mlp,0.00525,0.0,1,4,0.5297742379680711,2.1940035273368608,0.2857142857142857,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,mlp,0.00525,0.0,2,3,0.6483267857973634,2.5857898715041574,0.3548387096774194,2.8992189468379945,0.4157303370786517
LSPIN,lspin_tf,mlp,0.00525,0.0,2,4,0.6721920814366968,2.742504409171076,0.3846153846153846,3.1342907533383726,0.4651162790697674
LSPIN,lspin_tf,mlp,0.00525,0.0,3,4,0.6917928601595694,2.6641471403376165,0.3695652173913043,3.055933484504913,0.4482758620689655
LSPIN,lspin_tf,mlp,0.007,0.0,0,1,0.5316424235035337,2.037288989669942,0.26,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,mlp,0.007,0.0,0,2,0.5582620271284439,2.2723607961703203,0.2989690721649484,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,mlp,0.007,0.0,0,3,0.5781080785942156,2.1156462585034013,0.2727272727272727,3.1342907533383726,0.4651162790697674
LSPIN,lspin_tf,mlp,0.007,0.0,0,4,0.54949976057019,2.2723607961703203,0.2989690721649484,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,mlp,0.007,0.0,1,2,0.6124464409208045,2.429075333837239,0.3263157894736842,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,mlp,0.007,0.0,1,3,0.5843900204593286,2.5857898715041574,0.3548387096774194,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,mlp,0.007,0.0,1,4,0.5056195237235679,2.2723607961703203,0.2989690721649484,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,mlp,0.007,0.0,2,3,0.6196635618727068,2.8208616780045355,0.4,2.507432602670698,0.3404255319148936
