model_family,lambda_sample_smooth,lambda_sparse,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard,n_pairs,mean_Khard
Concrete,0.0,0.0066,0.590735086262534,2.389896699420509,0.32192878733241864,2.6445578231292517,0.36812391293624164,20,81.42797355651855
Concrete,0.0,0.0055,0.5711807597857883,2.429075333837239,0.32710745065687613,2.4525825144872764,0.332249035413055,20,96.7096450805664
Concrete,0.0,0.0044,0.581048572953881,2.432993197278912,0.3281121081195467,2.4447467876039304,0.3312154060093132,20,123.98970947265624
Concrete,0.0,0.0033,0.6606305674500165,2.6249685059208874,0.3634415617531983,2.9109725371630133,0.42034898657689246,20,196.24919586181642
Concrete,0.0,0.00275,0.7077220734135297,2.8012723607961703,0.3972514564692131,2.9540690350214165,0.42808111063792004,20,228.4000015258789
Concrete,0.0,0.0022,0.6974548647232577,2.7816830435878055,0.3949811654196708,2.875711766187957,0.4124616329507121,20,288.08617401123047
Concrete,0.0,0.00165,0.7527248375358283,2.9423154446963973,0.4258839853105628,3.0324263038548755,0.44562237154127454,20,464.62926330566404
Concrete,0.0,0.0011,0.7557553968939474,3.2126480221718317,0.4842456740346627,3.0206727135298563,0.444468492889355,20,642.2334411621093
Concrete,0.1,0.0066,0.5058362906904761,2.2527714789619555,0.2976012739372601,2.3585537918871253,0.31510646362549555,20,94.16977615356446
Concrete,0.1,0.0055,0.5252051961319679,2.3311287477954146,0.31024837624099416,2.3389644746787606,0.3122561380002036,20,122.67459869384766
Concrete,0.1,0.0044,0.5593554046330802,2.4839254220206604,0.3391416523465511,2.3389644746787606,0.3128268259078591,20,168.01993560791016
Concrete,0.1,0.0033,0.6587191339868641,2.7542579994960947,0.387778639515332,2.5936255983875034,0.3588553381719407,20,243.27813415527345
Concrete,0.1,0.00275,0.6889963188237026,2.715079365079365,0.3820193543011009,2.8835474930713025,0.41380005877012227,20,294.6456573486328
Concrete,0.1,0.0022,0.7020500226681123,2.836533131771227,0.40427322601905785,2.7856009070294787,0.3944150029740945,20,422.1530517578125
Concrete,0.1,0.00165,0.754461412740931,3.0402620307382215,0.4466583710749754,2.9344797178130513,0.42507142941702974,20,607.9270111083985
Concrete,0.1,0.0011,0.7847869751886638,3.1342907533383726,0.4670605974123407,3.2126480221718317,0.48453594414712364,20,996.3328002929687
