model_family,gate_type,predictor,gate_sigma,temperature,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,mlp,0.1,0.5,0.0035,0.0,10123,0,0.6511056511056511,0.8322368421052632,10,477.6623840332031,0.9826019519296224,6397.0,1784.0,1884.9301324300125
LSPIN,lspin_tf,mlp,0.1,0.5,0.0035,0.0,10124,1,0.6745290745290745,0.8618421052631579,10,420.1543273925781,0.982463310876892,6351.0,1517.0,1706.930337593798
LSPIN,lspin_tf,mlp,0.1,0.5,0.0035,0.0,10125,2,0.6140868140868141,0.8486842105263158,24,308.151123046875,0.973617548455984,5132.0,1141.0,1347.3536127388318
LSPIN,lspin_tf,mlp,0.1,0.5,0.0035,0.0,10126,3,0.6643734643734643,0.8256578947368421,10,478.7073974609375,0.9839275864113176,5838.0,1817.0,1880.2150000906104
LSPIN,lspin_tf,mlp,0.1,0.5,0.0035,0.0,10127,4,0.6453726453726454,0.8470394736842105,9,438.321533203125,0.9862545078059856,5269.0,1664.0,1689.4278647652905
LSPIN,lspin_tf,mlp,0.1,0.5,0.00525,0.0,20123,0,0.6045864045864046,0.8108552631578947,9,374.6398620605469,0.9793601800389168,4091.0,1360.0,1321.3189179068536
LSPIN,lspin_tf,mlp,0.1,0.5,0.00525,0.0,20124,1,0.6642096642096642,0.8536184210526315,14,249.1093292236328,0.973543062318762,4035.0,912.0,1041.5038710642268
LSPIN,lspin_tf,mlp,0.1,0.5,0.00525,0.0,20125,2,0.625061425061425,0.868421052631579,10,357.1414794921875,0.979687736120488,4429.0,1240.0,1248.155467717508
LSPIN,lspin_tf,mlp,0.1,0.5,0.00525,0.0,20126,3,0.6727272727272727,0.8157894736842105,21,244.53054809570312,0.9711126986197084,4084.0,842.0,984.6415179977243
LSPIN,lspin_tf,mlp,0.1,0.5,0.00525,0.0,20127,4,0.6321048321048321,0.8256578947368421,14,291.60772705078125,0.970196325567394,4808.0,1023.0,1145.3144605916327
LSPIN,lspin_tf,mlp,0.1,0.5,0.007,0.0,30123,0,0.5516789516789516,0.8141447368421053,10,296.8456726074219,0.9730362665659256,3788.0,868.0,871.4503899283803
LSPIN,lspin_tf,mlp,0.1,0.5,0.007,0.0,30124,1,0.6307944307944308,0.8338815789473685,10,275.7716979980469,0.9696719744078314,4409.0,988.0,1074.7586241864974
LSPIN,lspin_tf,mlp,0.1,0.5,0.007,0.0,30125,2,0.6144144144144145,0.8157894736842105,10,268.89068603515625,0.9748014634503024,3896.0,938.0,992.4061007376588
LSPIN,lspin_tf,mlp,0.1,0.5,0.007,0.0,30126,3,0.6216216216216216,0.8486842105263158,11,258.0321655273437,0.9675052520201288,3789.0,862.0,912.960575576292
LSPIN,lspin_tf,mlp,0.1,0.5,0.007,0.0,30127,4,0.6242424242424243,0.8601973684210527,9,310.09967041015625,0.9739214267464604,4442.0,962.0,993.0794455927156
LSPIN,lspin_tf,mlp,0.1,0.5,0.00875,0.0,40123,0,0.5575757575757576,0.8634868421052632,13,202.4019317626953,0.9568020664879172,3984.0,594.0,731.08924628806
LSPIN,lspin_tf,mlp,0.1,0.5,0.00875,0.0,40124,1,0.5952497952497953,0.8421052631578947,23,184.90353393554688,0.9547303562561964,3093.0,530.0,590.6637146651428
LSPIN,lspin_tf,mlp,0.1,0.5,0.00875,0.0,40125,2,0.6052416052416052,0.8832236842105263,19,183.20257568359372,0.9574464525944943,3291.0,554.0,625.7862275900405
LSPIN,lspin_tf,mlp,0.1,0.5,0.00875,0.0,40126,3,0.6204750204750205,0.8338815789473685,10,216.0032196044922,0.9638749393649648,3688.0,724.0,817.3450742819451
LSPIN,lspin_tf,mlp,0.1,0.5,0.00875,0.0,40127,4,0.6607698607698608,0.8552631578947368,8,285.7620544433594,0.9748329300106652,4749.0,1010.0,1148.662214244584
LSPIN,lspin_tf,mlp,0.1,0.5,0.0105,0.0,50123,0,0.5605241605241605,0.912828947368421,20,174.79742431640625,0.9458316921275846,3830.0,452.0,594.018399393313
LSPIN,lspin_tf,mlp,0.1,0.5,0.0105,0.0,50124,1,0.6237510237510238,0.8585526315789473,8,230.69775390625,0.966220529082441,3982.0,821.0,944.6681402825036
LSPIN,lspin_tf,mlp,0.1,0.5,0.0105,0.0,50125,2,0.5628173628173628,0.8585526315789473,9,195.5948486328125,0.9622068034907484,3077.0,607.0,659.7845976910589
LSPIN,lspin_tf,mlp,0.1,0.5,0.0105,0.0,50126,3,0.5818181818181818,0.8338815789473685,19,157.50482177734375,0.9327083384071714,3530.0,441.0,565.4497570075179
LSPIN,lspin_tf,mlp,0.1,0.5,0.0105,0.0,50127,4,0.6068796068796068,0.8026315789473685,12,199.66558837890625,0.965443463773767,3593.0,601.0,720.0239873343257
LSPIN,lspin_tf,mlp,0.1,0.5,0.014,0.0,60123,0,0.5662571662571663,0.868421052631579,30,123.76527404785156,0.9396290205606672,2890.0,319.0,408.23903504683983
LSPIN,lspin_tf,mlp,0.1,0.5,0.014,0.0,60124,1,0.6003276003276004,0.8700657894736842,22,143.64630126953125,0.9389463028470711,3154.0,394.0,508.9099249900079
LSPIN,lspin_tf,mlp,0.1,0.5,0.014,0.0,60125,2,0.6696150696150697,0.8700657894736842,13,164.8681640625,0.9462177217008226,2597.0,382.0,421.3031509344461
LSPIN,lspin_tf,mlp,0.1,0.5,0.014,0.0,60126,3,0.5975429975429976,0.8881578947368421,13,150.453369140625,0.940403217692304,2711.0,473.0,521.193881531721
