model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.02,0.0,0,1,0.7832230193740175
LSPIN,lspin_tf,0.02,0.0,0,2,0.6963499700957415
LSPIN,lspin_tf,0.02,0.0,0,3,0.7595215872316287
LSPIN,lspin_tf,0.02,0.0,0,4,0.7296384740281523
LSPIN,lspin_tf,0.02,0.0,0,5,0.671080568333639
LSPIN,lspin_tf,0.02,0.0,0,6,0.7758891059847584
LSPIN,lspin_tf,0.02,0.0,0,7,0.7440192638541627
LSPIN,lspin_tf,0.02,0.0,0,8,0.8012021989594069
LSPIN,lspin_tf,0.02,0.0,0,9,0.7251071348211153
LSPIN,lspin_tf,0.02,0.0,1,2,0.6734361839182601
LSPIN,lspin_tf,0.02,0.0,1,3,0.6602455595318802
LSPIN,lspin_tf,0.02,0.0,1,4,0.6805797256254554
LSPIN,lspin_tf,0.02,0.0,1,5,0.6486523073173006
LSPIN,lspin_tf,0.02,0.0,1,6,0.7947495607200866
LSPIN,lspin_tf,0.02,0.0,1,7,0.7633255774342432
LSPIN,lspin_tf,0.02,0.0,1,8,0.741362401612051
LSPIN,lspin_tf,0.02,0.0,1,9,0.6633956739115716
LSPIN,lspin_tf,0.02,0.0,2,3,0.7400763400476589
LSPIN,lspin_tf,0.02,0.0,2,4,0.7091416455138713
LSPIN,lspin_tf,0.02,0.0,2,5,0.6631467347131861
LSPIN,lspin_tf,0.02,0.0,2,6,0.813115099741851
LSPIN,lspin_tf,0.02,0.0,2,7,0.7823014009821145
LSPIN,lspin_tf,0.02,0.0,2,8,0.7327178264032053
LSPIN,lspin_tf,0.02,0.0,2,9,0.6291463949659392
LSPIN,lspin_tf,0.02,0.0,3,4,0.729082593742883
LSPIN,lspin_tf,0.02,0.0,3,5,0.7172901623029512
LSPIN,lspin_tf,0.02,0.0,3,6,0.7450529666576567
LSPIN,lspin_tf,0.02,0.0,3,7,0.7721807367365332
LSPIN,lspin_tf,0.02,0.0,3,8,0.7582139205689276
LSPIN,lspin_tf,0.02,0.0,3,9,0.661082995725987
LSPIN,lspin_tf,0.02,0.0,4,5,0.6680493918918017
LSPIN,lspin_tf,0.02,0.0,4,6,0.7691970647862729
LSPIN,lspin_tf,0.02,0.0,4,7,0.7165971906863278
LSPIN,lspin_tf,0.02,0.0,4,8,0.6885905865401447
LSPIN,lspin_tf,0.02,0.0,4,9,0.6951171786320725
LSPIN,lspin_tf,0.02,0.0,5,6,0.7505766923267304
LSPIN,lspin_tf,0.02,0.0,5,7,0.7210794041971295
LSPIN,lspin_tf,0.02,0.0,5,8,0.738498576270206
LSPIN,lspin_tf,0.02,0.0,5,9,0.5851144774380802
LSPIN,lspin_tf,0.02,0.0,6,7,0.8129236080684175
LSPIN,lspin_tf,0.02,0.0,6,8,0.8164953482548679
LSPIN,lspin_tf,0.02,0.0,6,9,0.7160506322124043
LSPIN,lspin_tf,0.02,0.0,7,8,0.7498172735624155
LSPIN,lspin_tf,0.02,0.0,7,9,0.7047179125861464
LSPIN,lspin_tf,0.02,0.0,8,9,0.6584502725437247
LSPIN,lspin_tf,0.015,0.0,0,1,0.5953773871445076
LSPIN,lspin_tf,0.015,0.0,0,2,0.5176948028141849
LSPIN,lspin_tf,0.015,0.0,0,3,0.6199475002597229
LSPIN,lspin_tf,0.015,0.0,0,4,0.47913500564287487
LSPIN,lspin_tf,0.015,0.0,0,5,0.6889220642348565
LSPIN,lspin_tf,0.015,0.0,0,6,0.5877844088316319
LSPIN,lspin_tf,0.015,0.0,0,7,0.8071864809548325
LSPIN,lspin_tf,0.015,0.0,0,8,0.6205178709238415
LSPIN,lspin_tf,0.015,0.0,0,9,0.6848761567087756
LSPIN,lspin_tf,0.015,0.0,1,2,0.6768788765810236
LSPIN,lspin_tf,0.015,0.0,1,3,0.7551493477081802
LSPIN,lspin_tf,0.015,0.0,1,4,0.7595912323864848
LSPIN,lspin_tf,0.015,0.0,1,5,0.7212379657012961
LSPIN,lspin_tf,0.015,0.0,1,6,0.7831998546916972
LSPIN,lspin_tf,0.015,0.0,1,7,0.7336253669934722
LSPIN,lspin_tf,0.015,0.0,1,8,0.8197251658110026
LSPIN,lspin_tf,0.015,0.0,1,9,0.6376973740918894
LSPIN,lspin_tf,0.015,0.0,2,3,0.7619302171173611
LSPIN,lspin_tf,0.015,0.0,2,4,0.7774083061947415
LSPIN,lspin_tf,0.015,0.0,2,5,0.7436864527865873
LSPIN,lspin_tf,0.015,0.0,2,6,0.7548890164848209
LSPIN,lspin_tf,0.015,0.0,2,7,0.5369507048331521
LSPIN,lspin_tf,0.015,0.0,2,8,0.6953994262058836
LSPIN,lspin_tf,0.015,0.0,2,9,0.460875260407114
LSPIN,lspin_tf,0.015,0.0,3,4,0.6646618790922428
