model_family,lambda_sample_smooth,lambda_sparse,mean_affinity_corr,median_affinity_corr,n_pairs,mean_Khard
Concrete,0.0,0.008,0.7886081097558899,0.7877753304193862,45,61.697106552124026
Concrete,0.0,0.006,0.8066689132499621,0.8183514268622808,45,126.32347183227539
Concrete,0.0,0.005,0.8035431847820659,0.8046506144270801,45,145.40289382934571
Concrete,0.0,0.004,0.806192590807846,0.8087532635925629,45,172.5096450805664
Concrete,0.0,0.0033,0.765458615519514,0.7886316372955797,45,265.70032196044923
Concrete,0.0,0.0027,0.7901023911238211,0.8096482970171458,45,302.93504791259767
Concrete,0.0,0.0022,0.7676343058836633,0.7913226948984214,45,435.81447143554686
Concrete,0.0,0.0018,0.7837589036760357,0.797575473973119,45,573.6694519042969
Concrete,0.0,0.0015,0.7642002152840779,0.76940082529372,45,659.7694564819336
Concrete,0.0,0.0012,0.6978209983630075,0.7297825082361388,45,875.3250854492187
Concrete,0.0,0.001,0.7431869122613999,0.7667546929689654,45,910.5286071777343
Concrete,0.0,0.0007,0.6956160256738678,0.7049193609785414,45,1311.6067337036134
Concrete,0.0,0.00085,0.6931001192923414,0.7340966334125917,45,1327.882635498047
Concrete,0.0,0.0005,0.7146020976659487,0.7571862827446499,45,1572.101611328125
Concrete,0.0,0.0006,0.7809565375670704,0.7880646803756681,45,2098.741131591797
Concrete,0.0,0.00035,0.7389134325665585,0.7587943281187062,45,2288.0144653320312
Concrete,0.0,0.00042,0.7930316603719796,0.8006446796876583,45,2311.4135009765623
Concrete,0.0,0.0003,0.6762112448459525,0.7028313367092991,45,2554.8845458984374
Concrete,0.0,0.0002,0.6927706109141222,0.6914802705831663,45,2967.602258300781
Concrete,0.0,0.00025,0.762759996919508,0.7621805119953093,45,2993.669470214844
Concrete,0.1,0.003,0.8812691171483616,0.8793939429425962,45,314.56109313964845
Concrete,0.1,0.0022,0.9054799138573134,0.9095693247364578,45,528.8746002197265
Concrete,0.1,0.0018,0.8796399353132657,0.8863509497514853,45,753.2067626953125
Concrete,0.1,0.0014,0.9115338493539389,0.9217405167627601,45,1098.8617431640625
Concrete,0.1,0.0012,0.832787303119482,0.8734853913826927,45,1118.5746154785156
Concrete,0.2,0.003,0.8764236698096525,0.8814165840988255,45,309.93730010986326
Concrete,0.2,0.0022,0.8725498258788226,0.8731216154421438,45,557.4938934326171
Concrete,0.2,0.0018,0.8811580055413205,0.8919574810204373,45,741.248876953125
Concrete,0.2,0.0014,0.8759933057680931,0.876334657958515,45,1080.9131774902344
Concrete,0.2,0.0012,0.8439730755595161,0.8748845898460594,45,1332.760107421875
Concrete,0.4,0.003,0.8792391882558159,0.8871373463624066,45,343.99774780273435
Concrete,0.4,0.0022,0.8947685354269814,0.9010751921986327,45,577.3678405761718
Concrete,0.4,0.0018,0.8595877904001334,0.8514403202096069,45,664.3340728759765
Concrete,0.4,0.0014,0.857851352417224,0.9080064944940635,45,954.1372863769532
Concrete,0.4,0.0012,0.8465976044399816,0.8700620973724541,45,1204.6492004394531
Concrete,0.7,0.003,0.8843304383494741,0.891450451290995,45,346.94823150634767
Concrete,0.7,0.0022,0.8369896633888032,0.8486574971616458,45,532.6353729248046
Concrete,0.7,0.0018,0.8645874637641253,0.897141153273083,45,739.5546661376953
Concrete,0.7,0.0014,0.8668606244977883,0.8791911740436695,45,1013.4485595703125
