model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,0.02,0.0,0,1,0.49617950941097866,0.45737622212757967
LSPIN,lspin_tf,0.02,0.0,0,2,0.1792303016495381,0.2240813717102192
LSPIN,lspin_tf,0.02,0.0,0,3,0.41073995244971584,0.41441498071193883
LSPIN,lspin_tf,0.02,0.0,0,4,0.25125246477248087,0.2876622063844159
LSPIN,lspin_tf,0.02,0.0,0,5,0.6227808116732477,0.5331253313416571
LSPIN,lspin_tf,0.02,0.0,0,6,0.3110742435305604,0.3548840134243281
LSPIN,lspin_tf,0.02,0.0,0,7,0.2773078080850675,0.3322436177312305
LSPIN,lspin_tf,0.02,0.0,0,8,0.6188262691712049,0.5677615654657203
LSPIN,lspin_tf,0.02,0.0,0,9,0.2534817093457769,0.3122472758683715
LSPIN,lspin_tf,0.02,0.0,1,2,0.278253338230569,0.3182730077098724
LSPIN,lspin_tf,0.02,0.0,1,3,0.25695439990044633,0.2938702017268908
LSPIN,lspin_tf,0.02,0.0,1,4,0.25919451249626446,0.2564586303605997
LSPIN,lspin_tf,0.02,0.0,1,5,0.5287379173023063,0.48105835172052896
LSPIN,lspin_tf,0.02,0.0,1,6,0.39428350885116265,0.3859023146230892
LSPIN,lspin_tf,0.02,0.0,1,7,0.19214314179690434,0.26979186377289904
LSPIN,lspin_tf,0.02,0.0,1,8,0.6312977336197998,0.5599622067967264
LSPIN,lspin_tf,0.02,0.0,1,9,0.18494706603315145,0.2690047592096719
LSPIN,lspin_tf,0.02,0.0,2,3,0.290969866752393,0.3343232725942697
LSPIN,lspin_tf,0.02,0.0,2,4,0.3081297060975907,0.3221623344855849
LSPIN,lspin_tf,0.02,0.0,2,5,0.2039215057072723,0.2511094164006353
LSPIN,lspin_tf,0.02,0.0,2,6,0.3591958385581302,0.40406044471499625
LSPIN,lspin_tf,0.02,0.0,2,7,0.3120411421537182,0.37055968048937676
LSPIN,lspin_tf,0.02,0.0,2,8,0.3065901985769578,0.3509167053389547
LSPIN,lspin_tf,0.02,0.0,2,9,0.15521298089109875,0.20322743936246557
LSPIN,lspin_tf,0.02,0.0,3,4,0.26010966551806197,0.3251301092853548
LSPIN,lspin_tf,0.02,0.0,3,5,0.3865871361843048,0.371011800540398
LSPIN,lspin_tf,0.02,0.0,3,6,0.2450151705942484,0.3096827197144434
LSPIN,lspin_tf,0.02,0.0,3,7,0.5610770584971256,0.6000406507034572
LSPIN,lspin_tf,0.02,0.0,3,8,0.4106723466961478,0.46110534942402415
LSPIN,lspin_tf,0.02,0.0,3,9,0.329052928314967,0.3588754807063985
LSPIN,lspin_tf,0.02,0.0,4,5,0.19241130540847678,0.22341137734554875
LSPIN,lspin_tf,0.02,0.0,4,6,0.43211891514577677,0.4507176789512018
LSPIN,lspin_tf,0.02,0.0,4,7,0.23084435132561723,0.28154024694436675
LSPIN,lspin_tf,0.02,0.0,4,8,0.30807349741559936,0.31525716155202066
LSPIN,lspin_tf,0.02,0.0,4,9,0.21464519662350454,0.26618580549130927
LSPIN,lspin_tf,0.02,0.0,5,6,0.29859708381541905,0.31813783130593754
LSPIN,lspin_tf,0.02,0.0,5,7,0.2945393876424146,0.3318309123790582
LSPIN,lspin_tf,0.02,0.0,5,8,0.6211132211491679,0.5394415477131117
LSPIN,lspin_tf,0.02,0.0,5,9,0.24806986599364556,0.3127522478912277
LSPIN,lspin_tf,0.02,0.0,6,7,0.26370275940735766,0.31728654901292697
LSPIN,lspin_tf,0.02,0.0,6,8,0.43519666771457777,0.46002421724626824
LSPIN,lspin_tf,0.02,0.0,6,9,0.28189532754814517,0.3646271972705831
LSPIN,lspin_tf,0.02,0.0,7,8,0.3036965390175455,0.38677754901138756
LSPIN,lspin_tf,0.02,0.0,7,9,0.4672271650616696,0.43757923412309335
LSPIN,lspin_tf,0.02,0.0,8,9,0.24352752006082443,0.30906826816704985
LSPIN,lspin_tf,0.015,0.0,0,1,0.19113212446865102,0.21593538506955096
LSPIN,lspin_tf,0.015,0.0,0,2,0.21938570331637544,0.251532478590888
LSPIN,lspin_tf,0.015,0.0,0,3,0.5151219290230762,0.4712195724346906
LSPIN,lspin_tf,0.015,0.0,0,4,0.5341200105884921,0.5035742749085436
LSPIN,lspin_tf,0.015,0.0,0,5,0.40547993108544406,0.41856876248309327
LSPIN,lspin_tf,0.015,0.0,0,6,0.4804970221164835,0.4499657265355837
LSPIN,lspin_tf,0.015,0.0,0,7,0.4969465003849891,0.47632492026276535
LSPIN,lspin_tf,0.015,0.0,0,8,0.4357511658854973,0.40161197110648755
LSPIN,lspin_tf,0.015,0.0,0,9,0.2999623931339504,0.32525229941292216
LSPIN,lspin_tf,0.015,0.0,1,2,0.25082038395061046,0.30712900579013125
LSPIN,lspin_tf,0.015,0.0,1,3,0.4113222761510258,0.43756961008034473
LSPIN,lspin_tf,0.015,0.0,1,4,0.24751169456343788,0.3260912518272972
LSPIN,lspin_tf,0.015,0.0,1,5,0.322918201778772,0.35361716010648786
LSPIN,lspin_tf,0.015,0.0,1,6,0.40242206479590475,0.4106951320919054
LSPIN,lspin_tf,0.015,0.0,1,7,0.3560036905617341,0.322242370134442
LSPIN,lspin_tf,0.015,0.0,1,8,0.48171698695512344,0.4455533839555129
LSPIN,lspin_tf,0.015,0.0,1,9,0.34233731798662453,0.34416154960995615
LSPIN,lspin_tf,0.015,0.0,2,3,0.25416026595142677,0.36356737193423183
LSPIN,lspin_tf,0.015,0.0,2,4,0.3847914700114291,0.46005312770798046
LSPIN,lspin_tf,0.015,0.0,2,5,0.24258436812006756,0.3223599306936264
LSPIN,lspin_tf,0.015,0.0,2,6,0.2493257472823496,0.320927802864927
LSPIN,lspin_tf,0.015,0.0,2,7,0.1746719816048694,0.21281671739412406
LSPIN,lspin_tf,0.015,0.0,2,8,0.1693395171354812,0.23283359857496294
LSPIN,lspin_tf,0.015,0.0,2,9,0.2196942633195115,0.2863421029644071
LSPIN,lspin_tf,0.015,0.0,3,4,0.5117668732856414,0.5319650447784142
LSPIN,lspin_tf,0.015,0.0,3,5,0.4796350212153012,0.4688809239331278
LSPIN,lspin_tf,0.015,0.0,3,6,0.6382235284199831,0.6083549645527766
LSPIN,lspin_tf,0.015,0.0,3,7,0.5082608617803264,0.46842491491824784
LSPIN,lspin_tf,0.015,0.0,3,8,0.5079614129961417,0.44972662199260627
LSPIN,lspin_tf,0.015,0.0,3,9,0.47133787332045757,0.4515304255379096
LSPIN,lspin_tf,0.015,0.0,4,5,0.3899512043359889,0.4109963371268095
LSPIN,lspin_tf,0.015,0.0,4,6,0.5690259795721074,0.5449151753646618
LSPIN,lspin_tf,0.015,0.0,4,7,0.43325705054660585,0.3877125004122762
