histology,n_test,cindex,model_family,lambda_sparse,lambda_sample_smooth,seed
infiltratingductalcarcinoma,220,0.5911620294599018,LSPIN,0.02,0.0,10123
infiltratinglobularcarcinoma,60,0.26455026455026454,LSPIN,0.02,0.0,10123
other,23,0.4864864864864865,LSPIN,0.02,0.0,10123
infiltratingductalcarcinoma,220,0.6153846153846154,LSPIN,0.02,0.0,10124
infiltratinglobularcarcinoma,60,0.582010582010582,LSPIN,0.02,0.0,10124
other,23,0.2972972972972973,LSPIN,0.02,0.0,10124
infiltratingductalcarcinoma,220,0.47495908346972177,LSPIN,0.02,0.0,10125
infiltratinglobularcarcinoma,60,0.32275132275132273,LSPIN,0.02,0.0,10125
other,23,0.21621621621621623,LSPIN,0.02,0.0,10125
infiltratingductalcarcinoma,220,0.6003273322422259,LSPIN,0.02,0.0,10126
infiltratinglobularcarcinoma,60,0.4973544973544973,LSPIN,0.02,0.0,10126
other,23,0.5945945945945946,LSPIN,0.02,0.0,10126
infiltratingductalcarcinoma,220,0.6009819967266776,LSPIN,0.02,0.0,10127
infiltratinglobularcarcinoma,60,0.3915343915343915,LSPIN,0.02,0.0,10127
other,23,0.7837837837837838,LSPIN,0.02,0.0,10127
infiltratingductalcarcinoma,220,0.6507364975450082,LSPIN,0.02,0.0,10128
infiltratinglobularcarcinoma,60,0.6349206349206349,LSPIN,0.02,0.0,10128
other,23,0.1891891891891892,LSPIN,0.02,0.0,10128
infiltratingductalcarcinoma,220,0.46382978723404256,LSPIN,0.02,0.0,10129
infiltratinglobularcarcinoma,60,0.6296296296296297,LSPIN,0.02,0.0,10129
other,23,0.5135135135135135,LSPIN,0.02,0.0,10129
infiltratingductalcarcinoma,220,0.5584288052373159,LSPIN,0.02,0.0,10130
infiltratinglobularcarcinoma,60,0.7407407407407407,LSPIN,0.02,0.0,10130
other,23,0.2972972972972973,LSPIN,0.02,0.0,10130
infiltratingductalcarcinoma,220,0.563011456628478,LSPIN,0.02,0.0,10131
infiltratinglobularcarcinoma,60,0.6031746031746031,LSPIN,0.02,0.0,10131
other,23,0.4864864864864865,LSPIN,0.02,0.0,10131
infiltratingductalcarcinoma,220,0.492962356792144,LSPIN,0.02,0.0,10132
infiltratinglobularcarcinoma,60,0.6666666666666666,LSPIN,0.02,0.0,10132
other,23,0.6216216216216216,LSPIN,0.02,0.0,10132
infiltratingductalcarcinoma,220,0.5983633387888707,LSPIN,0.015,0.0,20123
infiltratinglobularcarcinoma,60,0.7301587301587301,LSPIN,0.015,0.0,20123
other,23,0.6486486486486487,LSPIN,0.015,0.0,20123
infiltratingductalcarcinoma,220,0.6134206219312602,LSPIN,0.015,0.0,20124
infiltratinglobularcarcinoma,60,0.3968253968253968,LSPIN,0.015,0.0,20124
other,23,0.4594594594594595,LSPIN,0.015,0.0,20124
infiltratingductalcarcinoma,220,0.6343698854337152,LSPIN,0.015,0.0,20125
infiltratinglobularcarcinoma,60,0.4444444444444444,LSPIN,0.015,0.0,20125
other,23,0.5405405405405406,LSPIN,0.015,0.0,20125
infiltratingductalcarcinoma,220,0.5266775777414076,LSPIN,0.015,0.0,20126
infiltratinglobularcarcinoma,60,0.6296296296296297,LSPIN,0.015,0.0,20126
other,23,0.5675675675675675,LSPIN,0.015,0.0,20126
infiltratingductalcarcinoma,220,0.4612111292962357,LSPIN,0.015,0.0,20127
infiltratinglobularcarcinoma,60,0.42328042328042326,LSPIN,0.015,0.0,20127
other,23,0.4864864864864865,LSPIN,0.015,0.0,20127
infiltratingductalcarcinoma,220,0.6314238952536825,LSPIN,0.015,0.0,20128
infiltratinglobularcarcinoma,60,0.43915343915343913,LSPIN,0.015,0.0,20128
other,23,0.6216216216216216,LSPIN,0.015,0.0,20128
infiltratingductalcarcinoma,220,0.5721767594108019,LSPIN,0.015,0.0,20129
infiltratinglobularcarcinoma,60,0.49206349206349204,LSPIN,0.015,0.0,20129
other,23,0.40540540540540543,LSPIN,0.015,0.0,20129
infiltratingductalcarcinoma,220,0.5224222585924714,LSPIN,0.015,0.0,20130
infiltratinglobularcarcinoma,60,0.5132275132275133,LSPIN,0.015,0.0,20130
other,23,0.5135135135135135,LSPIN,0.015,0.0,20130
infiltratingductalcarcinoma,220,0.5957446808510638,LSPIN,0.015,0.0,20131
infiltratinglobularcarcinoma,60,0.5185185185185185,LSPIN,0.015,0.0,20131
other,23,0.6756756756756757,LSPIN,0.015,0.0,20131
infiltratingductalcarcinoma,220,0.6962356792144027,LSPIN,0.015,0.0,20132
infiltratinglobularcarcinoma,60,0.47619047619047616,LSPIN,0.015,0.0,20132
other,23,0.4864864864864865,LSPIN,0.015,0.0,20132
infiltratingductalcarcinoma,220,0.527986906710311,LSPIN,0.012,0.0,30123
infiltratinglobularcarcinoma,60,0.5714285714285714,LSPIN,0.012,0.0,30123
