model_family,lambda_sample_smooth,lambda_sparse,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard,n_pairs,mean_Khard
Concrete,0.0,0.008,0.34044370417459213,1.8300775454214608,0.22890373003989442,1.8004759105288208,0.2241072404351617,45,61.697106552124026
Concrete,0.0,0.006,0.4629653156012972,2.087785896251505,0.2710455618021709,2.1731082556479384,0.2837431721329994,45,126.32347183227539
Concrete,0.0,0.005,0.4279686603794602,2.002463536855071,0.256066553255317,1.981568265166149,0.2536540115381634,45,145.40289382934571
Concrete,0.0,0.004,0.4459087488891302,1.9850508104476359,0.2531980856095257,2.0895271688922485,0.2707183744798689,45,172.5096450805664
Concrete,0.0,0.0033,0.481501599377696,1.9954984462920973,0.255345266887666,2.2479829791999104,0.2962951933576051,45,265.70032196044923
Concrete,0.0,0.0027,0.4837584886295169,2.0825620783292744,0.2697737106956208,2.2253464348702447,0.2940752489233404,45,302.93504791259767
Concrete,0.0,0.0022,0.5419598369964777,2.234052798073962,0.294355367348937,2.3629069734889843,0.31732483498360325,45,435.81447143554686
Concrete,0.0,0.0018,0.5594327043104139,2.291514795218499,0.30415085320342966,2.5091738753114416,0.3428885987328348,45,573.6694519042969
Concrete,0.0,0.0015,0.5114314240197704,2.261913160325859,0.29875811362510357,2.443005514963187,0.33419123761823794,45,659.7694564819336
Concrete,0.0,0.0012,0.49868497903301434,2.106939895299684,0.27484391037082906,2.3907673357408807,0.3212914344121864,45,875.3250854492187
Concrete,0.0,0.001,0.37884006957112476,2.1574368018812464,0.2915688229727215,2.1504717113182723,0.2815999659046811,45,910.5286071777343
Concrete,0.0,0.0007,0.41479587059825973,1.9554491755549959,0.2610316236927972,2.21315752638504,0.29198955443834096,45,1311.6067337036134
Concrete,0.0,0.00085,0.4083103189683306,1.9293300859438425,0.25868035731796657,2.204451163181322,0.2918892726602806,45,1327.882635498047
Concrete,0.0,0.0005,0.36456489254019053,2.333305338596344,0.32853976025852344,2.0843033509700177,0.2711131884147121,45,1572.101611328125
Concrete,0.0,0.0006,0.44374870339899103,2.449970605526161,0.35724027033926525,2.4081800621483165,0.32589547369466254,45,2098.741131591797
Concrete,0.0,0.00035,0.43911430952031544,3.609658184261359,0.5850253338351811,2.291514795218499,0.30772179043192743,45,2288.0144653320312
Concrete,0.0,0.00042,0.4651686794968595,3.4755801909241066,0.5548017044586229,2.375095881974189,0.32075861855564813,45,2311.4135009765623
Concrete,0.0,0.0003,0.3936856199553005,3.026331849612273,0.45495914107822066,2.1731082556479384,0.2868806560211977,45,2554.8845458984374
Concrete,0.0,0.0002,0.38574516577757334,3.76289017664679,0.6283206545438,2.443005514963187,0.340277714024441,45,2967.602258300781
Concrete,0.0,0.00025,0.33739144833478224,3.7507012681615857,0.6186441802246672,2.1313177122700933,0.27933606956986,45,2993.669470214844
Concrete,0.1,0.003,0.4045652722039188,2.000722264214328,0.2572852598643046,2.026841353825481,0.2653710852632736,45,314.56109313964845
Concrete,0.1,0.0022,0.5237753569344182,2.1765908009294255,0.28452350853452557,2.507432602670698,0.34221102090978833,45,528.8746002197265
Concrete,0.1,0.0018,0.4975399731666933,2.037288989669942,0.26429702079798445,2.533551692281851,0.3528692264336172,45,753.2067626953125
Concrete,0.1,0.0014,0.5220732746007364,2.019876263262507,0.2613694018635803,2.5439993281263122,0.35267545214625096,45,1098.8617431640625
Concrete,0.1,0.0012,0.40151848169703686,1.5445088323395204,0.1883280483900175,2.1417653481145544,0.2820664864621422,45,1118.5746154785156
Concrete,0.2,0.003,0.5330433015945425,2.0059460821365587,0.2561913071119311,2.568377145096722,0.35344067382045097,45,309.93730010986326
Concrete,0.2,0.0022,0.5525391086467472,2.1905209820553737,0.2876240872677737,2.6119089611153106,0.36263584082857037,45,557.4938934326171
Concrete,0.2,0.0018,0.5048109134137867,1.9902746283698665,0.25549324330118245,2.446488060244674,0.33527881665627624,45,741.248876953125
Concrete,0.2,0.0014,0.45511336807568714,2.0581842613588646,0.26770020212390344,2.348976792363036,0.3179854808466158,45,1080.9131774902344
Concrete,0.2,0.0012,0.5445367648546511,2.0790795330477874,0.27134456588220646,2.610167688474567,0.36623574362382416,45,1332.760107421875
Concrete,0.4,0.003,0.5231763342311128,2.0581842613588646,0.2646021582952867,2.4795722404188014,0.3397243726720764,45,343.99774780273435
Concrete,0.4,0.0022,0.49431261808618854,2.133058984910837,0.2781979444392696,2.2810671593740377,0.306099231097796,45,577.3678405761718
Concrete,0.4,0.0018,0.464940985592267,1.8997284510512025,0.24098649489668209,2.2601718876851153,0.3011255861721918,45,664.3340728759765
Concrete,0.4,0.0014,0.4727482878958215,1.9345539038660733,0.24799167299633143,2.3472355197222923,0.31660468180173595,45,954.1372863769532
Concrete,0.4,0.0012,0.3941862506111127,1.9258475406623556,0.24926270631092123,2.1870384367738867,0.29030800497661113,45,1204.6492004394531
Concrete,0.7,0.003,0.5280567176621251,2.140024075473811,0.27820945201141434,2.4569356960891353,0.333210761113744,45,346.94823150634767
