model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,0.1,0.02,0.0,10123,0,0.518918918918919,0.868421052631579,4,123.17041778564453,0.9368808395021986,508.0,303.0,237.42766692235662
LSPIN,lspin_tf,0.1,0.02,0.0,10124,1,0.5975429975429976,0.7697368421052632,7,135.40835571289062,0.9262098814541557,531.0,316.0,246.42396164266054
LSPIN,lspin_tf,0.1,0.02,0.0,10125,2,0.43374283374283373,0.8519736842105263,12,68.38906860351562,0.851805432550786,207.0,129.0,109.54113745500835
LSPIN,lspin_tf,0.1,0.02,0.0,10126,3,0.5924651924651925,0.6990131578947368,7,67.04501342773438,0.8739716394623781,255.0,154.0,121.83767561552261
LSPIN,lspin_tf,0.1,0.02,0.0,10127,4,0.5605241605241605,0.774671052631579,12,116.94855499267578,0.8863927289802418,286.0,193.0,161.42718234423458
LSPIN,lspin_tf,0.1,0.02,0.0,10128,5,0.6034398034398034,0.8223684210526315,4,110.24436950683594,0.9248538121380216,465.0,280.0,224.5616177109487
LSPIN,lspin_tf,0.1,0.02,0.0,10129,6,0.49451269451269453,0.8733552631578947,3,153.2700958251953,0.9527245797639545,587.0,388.0,307.6742096671008
LSPIN,lspin_tf,0.1,0.02,0.0,10130,7,0.5742833742833743,0.7976973684210527,11,107.62700653076172,0.9194146426770222,360.0,231.0,186.64762726739622
LSPIN,lspin_tf,0.1,0.02,0.0,10131,8,0.579033579033579,0.8963815789473685,6,80.7813491821289,0.9015533192983404,342.0,211.0,166.46067058124234
LSPIN,lspin_tf,0.1,0.02,0.0,10132,9,0.5184275184275184,0.8174342105263158,26,82.99678802490234,0.852716275857857,207.0,139.0,116.47649842215502
LSPIN,lspin_tf,0.1,0.015,0.0,20123,0,0.6301392301392301,0.8273026315789473,36,113.52732849121094,0.8920802670149537,249.0,174.0,148.1660890679197
LSPIN,lspin_tf,0.1,0.015,0.0,20124,1,0.5824733824733824,0.8421052631578947,6,132.980712890625,0.9372635511777853,461.0,300.0,242.71861201981736
LSPIN,lspin_tf,0.1,0.015,0.0,20125,2,0.6183456183456183,0.8174342105263158,14,118.66880798339844,0.898738068271033,301.0,195.0,166.82626918540691
LSPIN,lspin_tf,0.1,0.015,0.0,20126,3,0.5562653562653562,0.8782894736842105,15,132.08038330078125,0.9092575278430854,331.0,224.0,188.3794156310717
LSPIN,lspin_tf,0.1,0.015,0.0,20127,4,0.45634725634725637,0.7763157894736842,3,168.89710998535156,0.9503327304308159,826.0,413.0,329.45662982460664
LSPIN,lspin_tf,0.1,0.015,0.0,20128,5,0.6081900081900082,0.8470394736842105,4,133.36656188964844,0.9385816857953312,556.0,329.0,266.0993552284002
LSPIN,lspin_tf,0.1,0.015,0.0,20129,6,0.5277641277641277,0.756578947368421,3,160.26687622070312,0.9453200155094571,764.0,399.0,321.8736967705287
LSPIN,lspin_tf,0.1,0.015,0.0,20130,7,0.5074529074529075,0.8569078947368421,8,191.91961669921875,0.9462764834633626,571.0,360.0,297.61475700373853
LSPIN,lspin_tf,0.1,0.015,0.0,20131,8,0.5693693693693693,0.837171052631579,5,159.08682250976562,0.9437650488647459,558.0,376.0,288.09597553272243
LSPIN,lspin_tf,0.1,0.015,0.0,20132,9,0.6602784602784603,0.774671052631579,3,179.48553466796875,0.9524884076411279,810.0,405.0,332.6387943061877
LSPIN,lspin_tf,0.1,0.012,0.0,30123,0,0.5331695331695332,0.84375,6,202.61737060546875,0.9534069021290089,616.0,422.0,334.3489306542992
LSPIN,lspin_tf,0.1,0.012,0.0,30124,1,0.6363636363636364,0.8634868421052632,14,213.93890380859375,0.9483265345669052,502.0,374.0,300.5841637942636
LSPIN,lspin_tf,0.1,0.012,0.0,30125,2,0.628992628992629,0.8388157894736842,3,185.2411651611328,0.948417327647166,709.0,430.0,351.32977760418146
LSPIN,lspin_tf,0.1,0.012,0.0,30126,3,0.533005733005733,0.78125,3,211.06752014160156,0.96318268789844,890.0,527.0,423.94794493575625
LSPIN,lspin_tf,0.1,0.012,0.0,30127,4,0.5945945945945946,0.8585526315789473,54,128.1382598876953,0.8689430145152259,265.0,179.0,155.90115173941814
LSPIN,lspin_tf,0.1,0.012,0.0,30128,5,0.5315315315315315,0.8108552631578947,19,151.43408203125,0.9230926320056727,350.0,245.0,205.33232517916358
LSPIN,lspin_tf,0.1,0.012,0.0,30129,6,0.6104832104832105,0.7220394736842105,6,171.67845153808594,0.9492495124498505,532.0,360.0,293.27630003182577
LSPIN,lspin_tf,0.1,0.012,0.0,30130,7,0.6794430794430795,0.84375,3,251.0064239501953,0.964351320628525,1027.0,594.0,486.2307756251258
LSPIN,lspin_tf,0.1,0.012,0.0,30131,8,0.5472563472563473,0.7976973684210527,6,186.81993103027344,0.9495247995470516,689.0,422.0,344.6961762450764
LSPIN,lspin_tf,0.1,0.012,0.0,30132,9,0.6044226044226044,0.787828947368421,13,176.1093292236328,0.9293112331032042,431.0,303.0,248.76855471493056
LSPIN,lspin_tf,0.1,0.01,0.0,40123,0,0.5433251433251434,0.7927631578947368,4,312.83599853515625,0.9687408984967355,1023.0,669.0,540.5648389930641
LSPIN,lspin_tf,0.1,0.01,0.0,40124,1,0.5207207207207207,0.7467105263157895,6,227.54019165039062,0.9517283364323434,703.0,459.0,367.72005111719835
LSPIN,lspin_tf,0.1,0.01,0.0,40125,2,0.5397215397215397,0.743421052631579,4,265.8970947265625,0.9671733448009974,935.0,608.0,492.67103066573446
LSPIN,lspin_tf,0.1,0.01,0.0,40126,3,0.4773136773136773,0.8018092105263158,62,130.51126098632812,0.9026047247311727,234.0,158.0,145.1181074577864
LSPIN,lspin_tf,0.1,0.01,0.0,40127,4,0.589025389025389,0.7944078947368421,3,284.83599853515625,0.9616586981419765,1058.0,644.0,521.2490734234959
LSPIN,lspin_tf,0.1,0.01,0.0,40128,5,0.5526617526617527,0.8486842105263158,75,157.05787658691406,0.9091515561235552,263.0,208.0,187.03207202927422
LSPIN,lspin_tf,0.1,0.01,0.0,40129,6,0.6275184275184276,0.8569078947368421,3,237.36012268066406,0.9604220542301084,879.0,546.0,440.22036862010253
LSPIN,lspin_tf,0.1,0.01,0.0,40130,7,0.5818181818181818,0.7763157894736842,18,180.70095825195312,0.9271577834571487,450.0,292.0,253.68278686355956
LSPIN,lspin_tf,0.1,0.01,0.0,40131,8,0.6093366093366094,0.7796052631578947,3,332.19293212890625,0.9665092703543837,1095.0,717.0,578.4596591062178
LSPIN,lspin_tf,0.1,0.01,0.0,40132,9,0.678951678951679,0.8832236842105263,4,221.88424682617188,0.9571726856153501,897.0,489.0,401.27232230105693
LSPIN,lspin_tf,0.1,0.008,0.0,50123,0,0.5651105651105651,0.7648026315789473,32,196.1414794921875,0.9211598608893218,414.0,289.0,247.9961518988698
LSPIN,lspin_tf,0.1,0.008,0.0,50124,1,0.5791973791973792,0.819078947368421,32,170.77169799804688,0.9217082870702381,346.0,245.0,209.67227107972704
LSPIN,lspin_tf,0.1,0.008,0.0,50125,2,0.5800982800982801,0.8256578947368421,48,233.5626983642578,0.9314930751889962,384.0,296.0,269.2927079255175
LSPIN,lspin_tf,0.1,0.008,0.0,50126,3,0.6932022932022932,0.868421052631579,14,285.1446838378906,0.9500729527469057,642.0,463.0,387.4951635696549
LSPIN,lspin_tf,0.1,0.008,0.0,50127,4,0.5726453726453726,0.7845394736842105,12,284.8681640625,0.9535102364557158,600.0,436.0,367.58703431774944
LSPIN,lspin_tf,0.1,0.008,0.0,50128,5,0.5041769041769042,0.84375,19,252.65274047851562,0.9487635178214431,578.0,394.0,335.72874245447775
LSPIN,lspin_tf,0.1,0.008,0.0,50129,6,0.6314496314496314,0.837171052631579,6,261.2283020019531,0.9577644394482177,936.0,559.0,461.2136845504538
LSPIN,lspin_tf,0.1,0.008,0.0,50130,7,0.5613431613431613,0.8552631578947368,3,316.44696044921875,0.9735154393225955,1272.0,755.0,627.5040030286518
LSPIN,lspin_tf,0.1,0.008,0.0,50131,8,0.6705978705978706,0.8470394736842105,16,231.50804138183594,0.9440795658978729,559.0,392.0,326.9509185013133
LSPIN,lspin_tf,0.1,0.008,0.0,50132,9,0.6024570024570025,0.8355263157894737,6,318.0128479003906,0.9686491802206049,1031.0,674.0,540.4843439077071
LSPIN,lspin_tf,0.1,0.0065,0.0,60123,0,0.5904995904995906,0.8256578947368421,2,533.1929321289062,0.9805466750400819,1860.0,1087.0,891.5313130532811
LSPIN,lspin_tf,0.1,0.0065,0.0,60124,1,0.6568386568386568,0.8207236842105263,17,314.5691223144531,0.9555465090955033,640.0,484.0,411.6597521042543
LSPIN,lspin_tf,0.1,0.0065,0.0,60125,2,0.5921375921375921,0.7944078947368421,23,277.17364501953125,0.9527932841793844,616.0,433.0,369.8596216762039
LSPIN,lspin_tf,0.1,0.0065,0.0,60126,3,0.6253890253890254,0.7845394736842105,3,387.5176696777344,0.9757114504531242,1544.0,934.0,753.5196360797285
LSPIN,lspin_tf,0.1,0.0065,0.0,60127,4,0.6072072072072072,0.8470394736842105,4,341.4276428222656,0.9664683360931001,1154.0,745.0,611.7478867492746
LSPIN,lspin_tf,0.1,0.0065,0.0,60128,5,0.616052416052416,0.837171052631579,26,275.9421081542969,0.951816718757716,575.0,424.0,367.7765953644792
LSPIN,lspin_tf,0.1,0.0065,0.0,60129,6,0.5823095823095823,0.8585526315789473,23,216.5530548095703,0.949552739027745,549.0,398.0,321.24986270211247
LSPIN,lspin_tf,0.1,0.0065,0.0,60130,7,0.612940212940213,0.7911184210526315,5,393.02252197265625,0.9700895259077289,1187.0,795.0,648.8803004866461
LSPIN,lspin_tf,0.1,0.0065,0.0,60131,8,0.5579033579033579,0.7927631578947368,2,591.0836181640625,0.9847816267200378,1961.0,1316.0,1095.9662061280978
LSPIN,lspin_tf,0.1,0.0065,0.0,60132,9,0.5813267813267813,0.8651315789473685,4,360.0353698730469,0.9720661860135883,1208.0,795.0,644.7474557703733
LSPIN,lspin_tf,0.1,0.005,0.0,70123,0,0.6055692055692056,0.8404605263157895,14,373.25079345703125,0.9639771406622685,885.0,602.0,510.3575772698389
LSPIN,lspin_tf,0.1,0.005,0.0,70124,1,0.6013104013104014,0.8092105263157895,15,490.8327941894531,0.967033080771521,1050.0,773.0,655.1907284424268
LSPIN,lspin_tf,0.1,0.005,0.0,70125,2,0.6113022113022113,0.7763157894736842,3,430.8681640625,0.9792703696862576,1611.0,1040.0,835.3633439941465
LSPIN,lspin_tf,0.1,0.005,0.0,70126,3,0.5711711711711712,0.8092105263157895,26,351.4437255859375,0.9610694131340738,692.0,514.0,440.77689198781314
LSPIN,lspin_tf,0.1,0.005,0.0,70127,4,0.6076986076986077,0.8618421052631579,21,392.7524108886719,0.9681126488135583,861.0,644.0,544.3424909613899
LSPIN,lspin_tf,0.1,0.005,0.0,70128,5,0.6283374283374283,0.8338815789473685,5,574.2604370117188,0.9753405959024665,1637.0,1098.0,897.5364123075667
LSPIN,lspin_tf,0.1,0.005,0.0,70129,6,0.5253071253071253,0.7976973684210527,9,533.736328125,0.9770847876543214,1333.0,938.0,760.4173079724992
LSPIN,lspin_tf,0.1,0.005,0.0,70130,7,0.5685503685503686,0.8207236842105263,14,453.94854736328125,0.9729818831214853,999.0,730.0,615.1844163765014
LSPIN,lspin_tf,0.1,0.005,0.0,70131,8,0.6135135135135135,0.78125,30,210.0064239501953,0.9113830344114665,414.0,270.0,243.87820351711395
LSPIN,lspin_tf,0.1,0.005,0.0,70132,9,0.5714987714987715,0.8388157894736842,31,364.2283020019531,0.9616069715056313,733.0,527.0,456.10540790779237
