model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,mlp,0.0035,0.0,0,1,0.9788500628053086
LSPIN,lspin_tf,mlp,0.0035,0.0,0,2,0.966624218786642
LSPIN,lspin_tf,mlp,0.0035,0.0,0,3,0.984655436961831
LSPIN,lspin_tf,mlp,0.0035,0.0,0,4,0.9856657180799048
LSPIN,lspin_tf,mlp,0.0035,0.0,0,5,0.9779311427397896
LSPIN,lspin_tf,mlp,0.0035,0.0,0,6,0.9864976971645888
LSPIN,lspin_tf,mlp,0.0035,0.0,0,7,0.9794759707064892
LSPIN,lspin_tf,mlp,0.0035,0.0,1,2,0.9957684633544214
LSPIN,lspin_tf,mlp,0.0035,0.0,1,3,0.9923761038426964
LSPIN,lspin_tf,mlp,0.0035,0.0,1,4,0.9923557536797588
LSPIN,lspin_tf,mlp,0.0035,0.0,1,5,0.9970631778938576
LSPIN,lspin_tf,mlp,0.0035,0.0,1,6,0.9965708824934212
LSPIN,lspin_tf,mlp,0.0035,0.0,1,7,0.9970457050115572
LSPIN,lspin_tf,mlp,0.0035,0.0,2,3,0.9872669076979084
LSPIN,lspin_tf,mlp,0.0035,0.0,2,4,0.9868133785005334
LSPIN,lspin_tf,mlp,0.0035,0.0,2,5,0.9931405489831158
LSPIN,lspin_tf,mlp,0.0035,0.0,2,6,0.9910939187747324
LSPIN,lspin_tf,mlp,0.0035,0.0,2,7,0.9933233495325235
LSPIN,lspin_tf,mlp,0.0035,0.0,3,4,0.9868715475124192
LSPIN,lspin_tf,mlp,0.0035,0.0,3,5,0.9896954473996528
LSPIN,lspin_tf,mlp,0.0035,0.0,3,6,0.9964155310266588
LSPIN,lspin_tf,mlp,0.0035,0.0,3,7,0.992376926696282
LSPIN,lspin_tf,mlp,0.0035,0.0,4,5,0.9940124551100356
LSPIN,lspin_tf,mlp,0.0035,0.0,4,6,0.9925384706834663
LSPIN,lspin_tf,mlp,0.0035,0.0,4,7,0.9950399986243612
LSPIN,lspin_tf,mlp,0.0035,0.0,5,6,0.9957558434070028
LSPIN,lspin_tf,mlp,0.0035,0.0,5,7,0.9974558281689644
LSPIN,lspin_tf,mlp,0.0035,0.0,6,7,0.995790157850154
LSPIN,lspin_tf,mlp,0.0105,0.0,0,1,0.996300509447068
LSPIN,lspin_tf,mlp,0.0105,0.0,0,2,0.9934373316881148
LSPIN,lspin_tf,mlp,0.0105,0.0,0,3,0.9938701527229532
LSPIN,lspin_tf,mlp,0.0105,0.0,0,4,0.9901345701853403
LSPIN,lspin_tf,mlp,0.0105,0.0,0,5,0.9974033581464192
LSPIN,lspin_tf,mlp,0.0105,0.0,0,6,0.9979173746854734
LSPIN,lspin_tf,mlp,0.0105,0.0,0,7,0.9964936108109236
LSPIN,lspin_tf,mlp,0.0105,0.0,1,2,0.9940559185849984
LSPIN,lspin_tf,mlp,0.0105,0.0,1,3,0.9968965715836188
LSPIN,lspin_tf,mlp,0.0105,0.0,1,4,0.990174113269777
LSPIN,lspin_tf,mlp,0.0105,0.0,1,5,0.9967981889924228
LSPIN,lspin_tf,mlp,0.0105,0.0,1,6,0.9976218121369584
LSPIN,lspin_tf,mlp,0.0105,0.0,1,7,0.993642380513144
LSPIN,lspin_tf,mlp,0.0105,0.0,2,3,0.9942219744878164
LSPIN,lspin_tf,mlp,0.0105,0.0,2,4,0.9930110637510084
LSPIN,lspin_tf,mlp,0.0105,0.0,2,5,0.9945971468686984
LSPIN,lspin_tf,mlp,0.0105,0.0,2,6,0.994041724475293
LSPIN,lspin_tf,mlp,0.0105,0.0,2,7,0.9955810198765912
LSPIN,lspin_tf,mlp,0.0105,0.0,3,4,0.992899131264569
LSPIN,lspin_tf,mlp,0.0105,0.0,3,5,0.9941996452358453
LSPIN,lspin_tf,mlp,0.0105,0.0,3,6,0.9967748914340668
LSPIN,lspin_tf,mlp,0.0105,0.0,3,7,0.9936756651350006
LSPIN,lspin_tf,mlp,0.0105,0.0,4,5,0.9932077544818622
LSPIN,lspin_tf,mlp,0.0105,0.0,4,6,0.9923037352230636
LSPIN,lspin_tf,mlp,0.0105,0.0,4,7,0.9956183372030628
LSPIN,lspin_tf,mlp,0.0105,0.0,5,6,0.9976553833444198
LSPIN,lspin_tf,mlp,0.0105,0.0,5,7,0.996788262768433
LSPIN,lspin_tf,mlp,0.0105,0.0,6,7,0.996450245583054
LSPIN,lspin_tf,mlp,0.0035,0.025,0,1,0.9952918555479844
LSPIN,lspin_tf,mlp,0.0035,0.025,0,2,0.9838119732889206
LSPIN,lspin_tf,mlp,0.0035,0.025,0,3,0.9974833867436664
LSPIN,lspin_tf,mlp,0.0035,0.025,0,4,0.9990675036952495
LSPIN,lspin_tf,mlp,0.0035,0.025,0,5,0.993057495654793
LSPIN,lspin_tf,mlp,0.0035,0.025,0,6,0.9986624542076166
LSPIN,lspin_tf,mlp,0.0035,0.025,0,7,0.9979090264557556
LSPIN,lspin_tf,mlp,0.0035,0.025,1,2,0.9954944692960572
LSPIN,lspin_tf,mlp,0.0035,0.025,1,3,0.9985352405247794
LSPIN,lspin_tf,mlp,0.0035,0.025,1,4,0.9962967198802752
LSPIN,lspin_tf,mlp,0.0035,0.025,1,5,0.9857300162408296
LSPIN,lspin_tf,mlp,0.0035,0.025,1,6,0.9971332374346846
LSPIN,lspin_tf,mlp,0.0035,0.025,1,7,0.9895425444982804
LSPIN,lspin_tf,mlp,0.0035,0.025,2,3,0.9910061166265132
LSPIN,lspin_tf,mlp,0.0035,0.025,2,4,0.9861306273653768
LSPIN,lspin_tf,mlp,0.0035,0.025,2,5,0.968957659501526
LSPIN,lspin_tf,mlp,0.0035,0.025,2,6,0.9893165634651884
LSPIN,lspin_tf,mlp,0.0035,0.025,2,7,0.9750535161207524
LSPIN,lspin_tf,mlp,0.0035,0.025,3,4,0.9985989587358274
LSPIN,lspin_tf,mlp,0.0035,0.025,3,5,0.9922293760655756
LSPIN,lspin_tf,mlp,0.0035,0.025,3,6,0.9976226556000112
LSPIN,lspin_tf,mlp,0.0035,0.025,3,7,0.993850181091409
LSPIN,lspin_tf,mlp,0.0035,0.025,4,5,0.9936288728396374
LSPIN,lspin_tf,mlp,0.0035,0.025,4,6,0.9982992641198212
LSPIN,lspin_tf,mlp,0.0035,0.025,4,7,0.9972213764850388
LSPIN,lspin_tf,mlp,0.0035,0.025,5,6,0.9881304502016132
LSPIN,lspin_tf,mlp,0.0035,0.025,5,7,0.9934641868165148
LSPIN,lspin_tf,mlp,0.0035,0.025,6,7,0.996066709911275
LSPIN,lspin_tf,mlp,0.0105,0.025,0,1,0.997633338582011
LSPIN,lspin_tf,mlp,0.0105,0.025,0,2,0.9981907680522988
LSPIN,lspin_tf,mlp,0.0105,0.025,0,3,0.9970238982002908
LSPIN,lspin_tf,mlp,0.0105,0.025,0,4,0.9989457417149455
LSPIN,lspin_tf,mlp,0.0105,0.025,0,5,0.9991979570367334
LSPIN,lspin_tf,mlp,0.0105,0.025,0,6,0.9988348527403302
LSPIN,lspin_tf,mlp,0.0105,0.025,0,7,0.9910242934059994
LSPIN,lspin_tf,mlp,0.0105,0.025,1,2,0.9975958907923445
LSPIN,lspin_tf,mlp,0.0105,0.025,1,3,0.9925948571550776
LSPIN,lspin_tf,mlp,0.0105,0.025,1,4,0.9958108661937528
LSPIN,lspin_tf,mlp,0.0105,0.025,1,5,0.9977039736241576
LSPIN,lspin_tf,mlp,0.0105,0.025,1,6,0.9981452975676296
LSPIN,lspin_tf,mlp,0.0105,0.025,1,7,0.985298150853684
LSPIN,lspin_tf,mlp,0.0105,0.025,2,3,0.99689557337774
LSPIN,lspin_tf,mlp,0.0105,0.025,2,4,0.9974406274841024
LSPIN,lspin_tf,mlp,0.0105,0.025,2,5,0.9987057748382226
LSPIN,lspin_tf,mlp,0.0105,0.025,2,6,0.9987937405156856
LSPIN,lspin_tf,mlp,0.0105,0.025,2,7,0.9935308329606288
LSPIN,lspin_tf,mlp,0.0105,0.025,3,4,0.996564479850388
LSPIN,lspin_tf,mlp,0.0105,0.025,3,5,0.9963354086561896
LSPIN,lspin_tf,mlp,0.0105,0.025,3,6,0.9953442364905184
LSPIN,lspin_tf,mlp,0.0105,0.025,3,7,0.9965459696797448
LSPIN,lspin_tf,mlp,0.0105,0.025,4,5,0.9990275703258704
LSPIN,lspin_tf,mlp,0.0105,0.025,4,6,0.9978325437578506
LSPIN,lspin_tf,mlp,0.0105,0.025,4,7,0.9913700838177802
LSPIN,lspin_tf,mlp,0.0105,0.025,5,6,0.999155471185348
LSPIN,lspin_tf,mlp,0.0105,0.025,5,7,0.9913168658808796
LSPIN,lspin_tf,mlp,0.0105,0.025,6,7,0.9903602711131564
