model_family,lambda_sample_smooth,lambda_sparse,mean_affinity_corr,median_affinity_corr,n_pairs,mean_Khard
Concrete,0.0,0.006,0.985309503048681,0.9875354824749861,56,85.24734497070312
Concrete,0.0,0.004,0.9896746337984454,0.9901223886568302,56,120.23407363891602
Concrete,0.0,0.003,0.9899520679745312,0.9917199697024572,56,178.69932556152344
Concrete,0.0,0.0025,0.9900821966492008,0.9911636130337589,56,227.61293506622314
Concrete,0.0,0.002,0.9896930663432476,0.990912102914401,56,280.1006278991699
Concrete,0.0,0.0015,0.9868997386818318,0.9890457837651137,56,382.088321685791
Concrete,0.0,0.001,0.9876782256406245,0.9886665769086571,56,533.5953254699707
Concrete,0.0,0.00075,0.988118407380374,0.9888545699980356,56,805.3320465087891
Concrete,0.025,0.006,0.9937265591284904,0.9939903989562334,56,79.60521292686462
Concrete,0.025,0.004,0.9948981204796425,0.9958744416424227,56,110.28257846832275
Concrete,0.025,0.003,0.9951178749545049,0.9964431065165347,56,143.0815634727478
Concrete,0.025,0.0025,0.9948397974905758,0.9959639653452251,56,169.90516424179077
Concrete,0.025,0.002,0.9913463695855275,0.9942693607126538,56,200.3438720703125
Concrete,0.025,0.0015,0.9921308130762903,0.9941252029441018,56,296.85497283935547
Concrete,0.025,0.001,0.9944638023370207,0.9953630298402671,56,427.11848640441895
Concrete,0.025,0.00075,0.9940246420262636,0.9955463922344132,56,544.7309322357178
Concrete,0.05,0.006,0.9886854738229651,0.993531319247399,56,79.53933429718018
Concrete,0.05,0.004,0.9952116247052876,0.9956246264274402,56,117.2039098739624
Concrete,0.05,0.003,0.993624631873575,0.9945950176756257,56,129.24348545074463
Concrete,0.05,0.0025,0.9942419279733935,0.9949044505362947,56,155.63320446014404
Concrete,0.05,0.002,0.9903717329753325,0.9919697590832195,56,176.37934398651123
Concrete,0.05,0.0015,0.989833910614941,0.9921730735816825,56,268.7606191635132
Concrete,0.05,0.001,0.9935632532982209,0.9946512750416132,56,408.48238372802734
Concrete,0.05,0.00075,0.9945384563038194,0.9949881474582483,56,674.7555484771729
Concrete,0.1,0.006,0.9911530481417294,0.994298394059804,56,73.53088760375977
Concrete,0.1,0.004,0.9941552394000366,0.9945167279638362,56,98.69377422332764
Concrete,0.1,0.0025,0.9934650647712424,0.9946386273843644,56,140.20559930801392
Concrete,0.1,0.003,0.9928237706656108,0.9949859283528518,56,142.01858186721802
Concrete,0.1,0.002,0.994274214251176,0.9946164242567074,56,205.41819286346436
Concrete,0.1,0.0015,0.9914333873420532,0.9928246134449914,56,274.89406394958496
Concrete,0.1,0.001,0.9928012199620763,0.9941400738022934,56,469.19956970214844
Concrete,0.1,0.00075,0.9925005460046564,0.9930576677708107,56,578.0313701629639
L-Concrete,0.0,0.006,0.973481709167772,0.9778948939358934,56,62.641891956329346
L-Concrete,0.0,0.004,0.9787196558038558,0.9800424866687276,56,119.94546270370483
L-Concrete,0.0,0.003,0.981376528022605,0.9824764124930894,56,201.1949806213379
L-Concrete,0.0,0.0025,0.9828128593048232,0.9836581174384385,56,276.7717180252075
L-Concrete,0.0,0.002,0.9822522979626253,0.9843484282185133,56,367.4112014770508
L-Concrete,0.0,0.0015,0.9794138260592946,0.9814420188802198,56,584.6833992004395
L-Concrete,0.0,0.001,0.9759899980294939,0.9780963134464085,56,1122.4770736694336
L-Concrete,0.0,0.00075,0.9694196537207287,0.9709779524550416,56,1829.7333602905273
L-Concrete,0.025,0.006,0.9819997442683829,0.9829149623642883,56,55.015443563461304
L-Concrete,0.025,0.004,0.9903700928808038,0.9932187738892064,56,108.68146800994873
L-Concrete,0.025,0.003,0.9919454348257114,0.9935886601428379,56,150.25192975997925
L-Concrete,0.025,0.0025,0.9892175359461346,0.9925292261071377,56,204.01447868347168
L-Concrete,0.025,0.002,0.9937375368274136,0.9946223900282068,56,294.12427616119385
L-Concrete,0.025,0.0015,0.9908853045626271,0.9923060020017047,56,422.4102325439453
L-Concrete,0.025,0.001,0.99128049817242,0.9935910989283276,56,756.0168876647949
L-Concrete,0.025,0.00075,0.9942247398953772,0.9951500281122632,56,1137.0106315612793
L-Concrete,0.05,0.006,0.9831826224574957,0.9868155078719125,56,58.678571701049805
L-Concrete,0.05,0.004,0.9890862638710575,0.9904008933818328,56,96.51809930801392
L-Concrete,0.05,0.003,0.9870867131988649,0.9896002427090901,56,141.67181539535522
L-Concrete,0.05,0.0025,0.9928863488648803,0.9939197893997183,56,177.43750095367432
L-Concrete,0.05,0.002,0.9883537018095752,0.9905761235557252,56,247.20873546600342
L-Concrete,0.05,0.0015,0.9925154374802896,0.9941405221173024,56,388.8055019378662
L-Concrete,0.05,0.001,0.992134509722561,0.9944367048682743,56,604.4558410644531
L-Concrete,0.05,0.00075,0.9944069194224889,0.994523789639695,56,1095.9990463256836
L-Concrete,0.1,0.006,0.9831358641865473,0.9862148354296709,56,53.13610076904297
L-Concrete,0.1,0.004,0.988122674352332,0.9890915418358608,56,89.06780910491943
L-Concrete,0.1,0.003,0.9874692285221857,0.9896213889911956,56,119.63368654251099
L-Concrete,0.1,0.0025,0.9878694225678313,0.9908666226127467,56,155.4555983543396
L-Concrete,0.1,0.002,0.9928633533851191,0.9934040718685688,56,200.51665115356445
L-Concrete,0.1,0.0015,0.9913630334537407,0.9929286619522036,56,320.68894958496094
L-Concrete,0.1,0.001,0.9937446800031892,0.9947360905504457,56,538.6032848358154
L-Concrete,0.1,0.00075,0.9946528489663706,0.9950947043108431,56,945.1261978149414
L-LSPIN,0.0,0.028,0.9744454026190031,0.9782973691869135,56,68.41119647026062
L-LSPIN,0.0,0.021,0.9783729803519607,0.97919205650204,56,79.64068484306335
L-LSPIN,0.0,0.014,0.9809142124009599,0.9831443119870236,56,114.5591230392456
L-LSPIN,0.0,0.0105,0.9850802480466522,0.987149322088622,56,138.6918430328369
L-LSPIN,0.0,0.00875,0.9892373078803074,0.9896226255017562,56,172.4891414642334
L-LSPIN,0.0,0.007,0.9871246379811541,0.9898597344790661,56,219.21380424499512
L-LSPIN,0.0,0.00525,0.9884929196789337,0.9893652853167381,56,302.73527908325195
L-LSPIN,0.0,0.0035,0.989852742807293,0.9908061047672265,56,490.0743236541748
L-LSPIN,0.025,0.028,0.9814312269345002,0.9827376598143374,56,136.26351356506348
L-LSPIN,0.025,0.021,0.9852664827516353,0.9872241850604011,56,169.36583042144775
L-LSPIN,0.025,0.014,0.9884921105396682,0.9880785104207636,56,247.12306880950928
L-LSPIN,0.025,0.0105,0.9916013962421333,0.9927059307494186,56,359.3416938781738
L-LSPIN,0.025,0.00875,0.9926555922192292,0.9933339370732772,56,455.92688369750977
L-LSPIN,0.025,0.007,0.9917489848623167,0.9932788999896944,56,700.5422248840332
L-LSPIN,0.025,0.00525,0.9928928081731653,0.9946836438282489,56,1131.015224456787
L-LSPIN,0.025,0.0035,0.9933285882256305,0.9941120256766287,56,2045.3593292236328
L-LSPIN,0.05,0.028,0.9829303157030865,0.98482717851765,56,168.5562252998352
L-LSPIN,0.05,0.021,0.9900213679969116,0.9898194155223903,56,219.4177131652832
L-LSPIN,0.05,0.014,0.991671676940227,0.9932267073347028,56,359.9457035064697
L-LSPIN,0.05,0.0105,0.992249764276042,0.9939530325483773,56,595.277271270752
L-LSPIN,0.05,0.00875,0.9905049178375774,0.9915981741667077,56,930.6797676086426
L-LSPIN,0.05,0.007,0.994101124152004,0.9963131890582955,56,1462.4896392822266
L-LSPIN,0.05,0.00525,0.9940387957607512,0.9952384505747325,56,1827.5414962768555
L-LSPIN,0.05,0.0035,0.992265304992886,0.9939318242499036,56,2086.7893447875977
L-LSPIN,0.1,0.028,0.9905871215048683,0.9916956088018059,56,205.86027812957764
L-LSPIN,0.1,0.021,0.9933770378821205,0.9935929089864712,56,312.83397579193115
L-LSPIN,0.1,0.014,0.9901131170674711,0.9915178112162272,56,610.5996704101562
L-LSPIN,0.1,0.0105,0.9920578213204176,0.9941223833382744,56,1009.4961318969727
L-LSPIN,0.1,0.00875,0.9936299020493186,0.994649730361393,56,1248.7314224243164
L-LSPIN,0.1,0.007,0.991006518435442,0.9925322274523272,56,1594.803810119629
L-LSPIN,0.1,0.00525,0.9939253707648359,0.9955964859170903,56,1844.6944961547852
L-LSPIN,0.1,0.0035,0.9906965992425883,0.9935004957013736,56,2136.6262130737305
LSPIN,0.0,0.028,0.9869660750078177,0.9889326456686036,56,74.40612959861755
LSPIN,0.0,0.021,0.9894039070034638,0.9921097496048967,56,93.34049224853516
LSPIN,0.0,0.014,0.991953056133511,0.9930942049904048,56,145.78861093521118
LSPIN,0.0,0.0105,0.9932004996639046,0.9940412334273545,56,175.76616764068604
LSPIN,0.0,0.00875,0.9931193031508704,0.9939316375032422,56,224.1136589050293
