model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,mlp,0.0035,0.0,0,1,0.9824117446711296,0.9585304697106728
LSPIN,lspin_tf,mlp,0.0035,0.0,0,2,0.8259601599941895,0.7822186377204772
LSPIN,lspin_tf,mlp,0.0035,0.0,0,3,0.9473518930016156,0.9065952375404712
LSPIN,lspin_tf,mlp,0.0035,0.0,0,4,0.9690737729671876,0.9241698716820862
LSPIN,lspin_tf,mlp,0.0035,0.0,0,5,0.969220553174477,0.9241396219652542
LSPIN,lspin_tf,mlp,0.0035,0.0,0,6,0.969220553174477,0.924139621965254
LSPIN,lspin_tf,mlp,0.0035,0.0,0,7,0.9758263933893848,0.9440769179685802
LSPIN,lspin_tf,mlp,0.0035,0.0,1,2,0.8366578151931134,0.7907101051709372
LSPIN,lspin_tf,mlp,0.0035,0.0,1,3,0.951115880237042,0.9001771608788305
LSPIN,lspin_tf,mlp,0.0035,0.0,1,4,0.9864234509859758,0.9654293451173658
LSPIN,lspin_tf,mlp,0.0035,0.0,1,5,0.9864345820145874,0.9598043885016468
LSPIN,lspin_tf,mlp,0.0035,0.0,1,6,0.9864345820145874,0.9598043885016468
LSPIN,lspin_tf,mlp,0.0035,0.0,1,7,0.9931591688208916,0.9798378180121748
LSPIN,lspin_tf,mlp,0.0035,0.0,2,3,0.8304802482885529,0.7672922308675225
LSPIN,lspin_tf,mlp,0.0035,0.0,2,4,0.8294939617052873,0.7858808336243656
LSPIN,lspin_tf,mlp,0.0035,0.0,2,5,0.8366578151931134,0.7907101051709373
LSPIN,lspin_tf,mlp,0.0035,0.0,2,6,0.8366578151931134,0.7907101051709373
LSPIN,lspin_tf,mlp,0.0035,0.0,2,7,0.8404205240622046,0.7932992281550372
LSPIN,lspin_tf,mlp,0.0035,0.0,3,4,0.9379494872428352,0.8740301425925344
LSPIN,lspin_tf,mlp,0.0035,0.0,3,5,0.9380066050123892,0.8716974873109471
LSPIN,lspin_tf,mlp,0.0035,0.0,3,6,0.9380066050123892,0.8716974873109471
LSPIN,lspin_tf,mlp,0.0035,0.0,3,7,0.9445271455028014,0.8857320443433353
LSPIN,lspin_tf,mlp,0.0035,0.0,4,5,0.9864234509859758,0.965429345117366
LSPIN,lspin_tf,mlp,0.0035,0.0,4,6,0.9864234509859758,0.9654293451173658
LSPIN,lspin_tf,mlp,0.0035,0.0,4,7,0.9798277947934658,0.953061673323529
LSPIN,lspin_tf,mlp,0.0035,0.0,5,6,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.0,5,7,0.9931591688208916,0.9798378180121746
LSPIN,lspin_tf,mlp,0.0035,0.0,6,7,0.9931591688208916,0.9798378180121748
LSPIN,lspin_tf,mlp,0.0105,0.0,0,1,0.942930366095707,0.8758964266102096
LSPIN,lspin_tf,mlp,0.0105,0.0,0,2,0.9256767304359004,0.8712368491260049
LSPIN,lspin_tf,mlp,0.0105,0.0,0,3,0.9547213369532844,0.8983017827325782
LSPIN,lspin_tf,mlp,0.0105,0.0,0,4,0.959670393606953,0.9185908027380184
LSPIN,lspin_tf,mlp,0.0105,0.0,0,5,0.9608082690034234,0.9123650818841594
LSPIN,lspin_tf,mlp,0.0105,0.0,0,6,0.9547213369532844,0.8983017827325782
LSPIN,lspin_tf,mlp,0.0105,0.0,0,7,0.960909499397924,0.9077687123213496
LSPIN,lspin_tf,mlp,0.0105,0.0,1,2,0.9313937748079648,0.8781985428895072
LSPIN,lspin_tf,mlp,0.0105,0.0,1,3,0.986446639734958,0.9653210382299344
LSPIN,lspin_tf,mlp,0.0105,0.0,1,4,0.950495345151414,0.8913360610202268
LSPIN,lspin_tf,mlp,0.0105,0.0,1,5,0.9798450432144928,0.9529992544191214
LSPIN,lspin_tf,mlp,0.0105,0.0,1,6,0.986446639734958,0.9653210382299344
LSPIN,lspin_tf,mlp,0.0105,0.0,1,7,0.9548018259309996,0.8981064706234314
LSPIN,lspin_tf,mlp,0.0105,0.0,2,3,0.9432182183955026,0.893533630263943
LSPIN,lspin_tf,mlp,0.0105,0.0,2,4,0.9447619308496504,0.8953739708286585
LSPIN,lspin_tf,mlp,0.0105,0.0,2,5,0.9493252992758726,0.90202997763792
LSPIN,lspin_tf,mlp,0.0105,0.0,2,6,0.9432182183955026,0.893533630263943
LSPIN,lspin_tf,mlp,0.0105,0.0,2,7,0.914633670430398,0.858511595712016
LSPIN,lspin_tf,mlp,0.0105,0.0,3,4,0.962792924679842,0.9120029420641642
LSPIN,lspin_tf,mlp,0.0105,0.0,3,5,0.9931533191038248,0.979875634787992
LSPIN,lspin_tf,mlp,0.0105,0.0,3,6,0.9864345820145874,0.9598043885016468
LSPIN,lspin_tf,mlp,0.0105,0.0,3,7,0.9670805609883718,0.9319750396431736
LSPIN,lspin_tf,mlp,0.0105,0.0,4,5,0.9691340251105216,0.9242363168770028
LSPIN,lspin_tf,mlp,0.0105,0.0,4,6,0.962792924679842,0.9120029420641642
LSPIN,lspin_tf,mlp,0.0105,0.0,4,7,0.9447156400271424,0.8935562363360181
LSPIN,lspin_tf,mlp,0.0105,0.0,5,6,0.9931533191038248,0.979875634787992
LSPIN,lspin_tf,mlp,0.0105,0.0,5,7,0.9608479435723718,0.9229048116551448
LSPIN,lspin_tf,mlp,0.0105,0.0,6,7,0.9547662523210588,0.9032248929867108
LSPIN,lspin_tf,mlp,0.0035,0.025,0,1,0.9783517452100648,0.9629807017481892
LSPIN,lspin_tf,mlp,0.0035,0.025,0,2,0.9506579967539516,0.9168568866305596
LSPIN,lspin_tf,mlp,0.0035,0.025,0,3,0.9891031484068808,0.9787100041769288
LSPIN,lspin_tf,mlp,0.0035,0.025,0,4,0.9891031484068808,0.9787100041769288
LSPIN,lspin_tf,mlp,0.0035,0.025,0,5,1.0,1.0
