histology,n_test,cindex,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.0,10123
kidneyclearcellrenalcarcinoma,156,0.6612174661217466,LSPIN,mlp,0.0035,0.0,10123
kidneypapillaryrenalcellcarcinoma,84,0.8172043010752689,LSPIN,mlp,0.0035,0.0,10123
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.0,10124
kidneyclearcellrenalcarcinoma,156,0.6902559690255969,LSPIN,mlp,0.0035,0.0,10124
kidneypapillaryrenalcellcarcinoma,84,0.8187403993855606,LSPIN,mlp,0.0035,0.0,10124
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.0035,0.0,10125
kidneyclearcellrenalcarcinoma,156,0.6721875672187567,LSPIN,mlp,0.0035,0.0,10125
kidneypapillaryrenalcellcarcinoma,84,0.804915514592934,LSPIN,mlp,0.0035,0.0,10125
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.0,10126
kidneyclearcellrenalcarcinoma,156,0.7156377715637772,LSPIN,mlp,0.0035,0.0,10126
kidneypapillaryrenalcellcarcinoma,84,0.8095238095238095,LSPIN,mlp,0.0035,0.0,10126
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.0,10127
kidneyclearcellrenalcarcinoma,156,0.693912669391267,LSPIN,mlp,0.0035,0.0,10127
kidneypapillaryrenalcellcarcinoma,84,0.815668202764977,LSPIN,mlp,0.0035,0.0,10127
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.0,10128
kidneyclearcellrenalcarcinoma,156,0.701441170144117,LSPIN,mlp,0.0035,0.0,10128
kidneypapillaryrenalcellcarcinoma,84,0.7910906298003072,LSPIN,mlp,0.0035,0.0,10128
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.0,10129
kidneyclearcellrenalcarcinoma,156,0.7149924714992472,LSPIN,mlp,0.0035,0.0,10129
kidneypapillaryrenalcellcarcinoma,84,0.7880184331797235,LSPIN,mlp,0.0035,0.0,10129
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.0,10130
kidneyclearcellrenalcarcinoma,156,0.6792858679285868,LSPIN,mlp,0.0035,0.0,10130
kidneypapillaryrenalcellcarcinoma,84,0.8248847926267281,LSPIN,mlp,0.0035,0.0,10130
kidneychromophobe,19,0.7323943661971831,LSPIN,mlp,0.0105,0.0,50123
kidneyclearcellrenalcarcinoma,156,0.6745536674553667,LSPIN,mlp,0.0105,0.0,50123
kidneypapillaryrenalcellcarcinoma,84,0.7050691244239631,LSPIN,mlp,0.0105,0.0,50123
kidneychromophobe,19,0.7183098591549296,LSPIN,mlp,0.0105,0.0,50124
kidneyclearcellrenalcarcinoma,156,0.6551946655194666,LSPIN,mlp,0.0105,0.0,50124
kidneypapillaryrenalcellcarcinoma,84,0.7511520737327189,LSPIN,mlp,0.0105,0.0,50124
kidneychromophobe,19,0.7323943661971831,LSPIN,mlp,0.0105,0.0,50125
kidneyclearcellrenalcarcinoma,156,0.6728328672832867,LSPIN,mlp,0.0105,0.0,50125
kidneypapillaryrenalcellcarcinoma,84,0.706605222734255,LSPIN,mlp,0.0105,0.0,50125
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.0105,0.0,50126
kidneyclearcellrenalcarcinoma,156,0.6919767691976769,LSPIN,mlp,0.0105,0.0,50126
kidneypapillaryrenalcellcarcinoma,84,0.8402457757296466,LSPIN,mlp,0.0105,0.0,50126
kidneychromophobe,19,0.7183098591549296,LSPIN,mlp,0.0105,0.0,50127
kidneyclearcellrenalcarcinoma,156,0.6790707679070768,LSPIN,mlp,0.0105,0.0,50127
kidneypapillaryrenalcellcarcinoma,84,0.8233486943164362,LSPIN,mlp,0.0105,0.0,50127
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0105,0.0,50128
kidneyclearcellrenalcarcinoma,156,0.6762744676274468,LSPIN,mlp,0.0105,0.0,50128
kidneypapillaryrenalcellcarcinoma,84,0.8018433179723502,LSPIN,mlp,0.0105,0.0,50128
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0105,0.0,50129
kidneyclearcellrenalcarcinoma,156,0.6743385674338568,LSPIN,mlp,0.0105,0.0,50129
kidneypapillaryrenalcellcarcinoma,84,0.7434715821812596,LSPIN,mlp,0.0105,0.0,50129
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0105,0.0,50130
kidneyclearcellrenalcarcinoma,156,0.691546569154657,LSPIN,mlp,0.0105,0.0,50130
kidneypapillaryrenalcellcarcinoma,84,0.7588325652841782,LSPIN,mlp,0.0105,0.0,50130
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.0035,0.025,90123
kidneyclearcellrenalcarcinoma,156,0.706388470638847,LSPIN,mlp,0.0035,0.025,90123
kidneypapillaryrenalcellcarcinoma,84,0.8310291858678955,LSPIN,mlp,0.0035,0.025,90123
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.025,90124
kidneyclearcellrenalcarcinoma,156,0.6969240696924069,LSPIN,mlp,0.0035,0.025,90124
kidneypapillaryrenalcellcarcinoma,84,0.7726574500768049,LSPIN,mlp,0.0035,0.025,90124
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.025,90125
kidneyclearcellrenalcarcinoma,156,0.6754140675414068,LSPIN,mlp,0.0035,0.025,90125
kidneypapillaryrenalcellcarcinoma,84,0.7818740399385561,LSPIN,mlp,0.0035,0.025,90125
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.025,90126
kidneyclearcellrenalcarcinoma,156,0.6904710690471069,LSPIN,mlp,0.0035,0.025,90126
kidneypapillaryrenalcellcarcinoma,84,0.8033794162826421,LSPIN,mlp,0.0035,0.025,90126
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.025,90127
kidneyclearcellrenalcarcinoma,156,0.6896106689610669,LSPIN,mlp,0.0035,0.025,90127
kidneypapillaryrenalcellcarcinoma,84,0.7680491551459293,LSPIN,mlp,0.0035,0.025,90127
kidneychromophobe,19,0.7183098591549296,LSPIN,mlp,0.0035,0.025,90128
kidneyclearcellrenalcarcinoma,156,0.6803613680361368,LSPIN,mlp,0.0035,0.025,90128
kidneypapillaryrenalcellcarcinoma,84,0.7818740399385561,LSPIN,mlp,0.0035,0.025,90128
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.025,90129
kidneyclearcellrenalcarcinoma,156,0.6924069692406969,LSPIN,mlp,0.0035,0.025,90129
kidneypapillaryrenalcellcarcinoma,84,0.8064516129032258,LSPIN,mlp,0.0035,0.025,90129
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.025,90130
kidneyclearcellrenalcarcinoma,156,0.6838029683802969,LSPIN,mlp,0.0035,0.025,90130
kidneypapillaryrenalcellcarcinoma,84,0.7588325652841782,LSPIN,mlp,0.0035,0.025,90130
kidneychromophobe,19,0.6338028169014085,LSPIN,mlp,0.0105,0.025,130123
kidneyclearcellrenalcarcinoma,156,0.6786405678640568,LSPIN,mlp,0.0105,0.025,130123
kidneypapillaryrenalcellcarcinoma,84,0.8233486943164362,LSPIN,mlp,0.0105,0.025,130123
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0105,0.025,130124
kidneyclearcellrenalcarcinoma,156,0.697354269735427,LSPIN,mlp,0.0105,0.025,130124
kidneypapillaryrenalcellcarcinoma,84,0.8172043010752689,LSPIN,mlp,0.0105,0.025,130124
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0105,0.025,130125
kidneyclearcellrenalcarcinoma,156,0.6360507636050764,LSPIN,mlp,0.0105,0.025,130125
kidneypapillaryrenalcellcarcinoma,84,0.783410138248848,LSPIN,mlp,0.0105,0.025,130125
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0105,0.025,130126
kidneyclearcellrenalcarcinoma,156,0.6571305657130566,LSPIN,mlp,0.0105,0.025,130126
kidneypapillaryrenalcellcarcinoma,84,0.7972350230414746,LSPIN,mlp,0.0105,0.025,130126
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0105,0.025,130127
kidneyclearcellrenalcarcinoma,156,0.6786405678640568,LSPIN,mlp,0.0105,0.025,130127
kidneypapillaryrenalcellcarcinoma,84,0.7619047619047619,LSPIN,mlp,0.0105,0.025,130127
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.0105,0.025,130128
kidneyclearcellrenalcarcinoma,156,0.6775650677565068,LSPIN,mlp,0.0105,0.025,130128
kidneypapillaryrenalcellcarcinoma,84,0.7357910906298003,LSPIN,mlp,0.0105,0.025,130128
kidneychromophobe,19,0.7183098591549296,LSPIN,mlp,0.0105,0.025,130129
kidneyclearcellrenalcarcinoma,156,0.6354054635405464,LSPIN,mlp,0.0105,0.025,130129
kidneypapillaryrenalcellcarcinoma,84,0.7849462365591398,LSPIN,mlp,0.0105,0.025,130129
kidneychromophobe,19,0.7183098591549296,LSPIN,mlp,0.0105,0.025,130130
kidneyclearcellrenalcarcinoma,156,0.6702516670251667,LSPIN,mlp,0.0105,0.025,130130
kidneypapillaryrenalcellcarcinoma,84,0.7788018433179723,LSPIN,mlp,0.0105,0.025,130130
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.0035,0.05,170123
kidneyclearcellrenalcarcinoma,156,0.6896106689610669,LSPIN,mlp,0.0035,0.05,170123
kidneypapillaryrenalcellcarcinoma,84,0.7680491551459293,LSPIN,mlp,0.0035,0.05,170123
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.05,170124
kidneyclearcellrenalcarcinoma,156,0.6797160679716068,LSPIN,mlp,0.0035,0.05,170124
kidneypapillaryrenalcellcarcinoma,84,0.8095238095238095,LSPIN,mlp,0.0035,0.05,170124
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.0035,0.05,170125
kidneyclearcellrenalcarcinoma,156,0.6700365670036567,LSPIN,mlp,0.0035,0.05,170125
kidneypapillaryrenalcellcarcinoma,84,0.815668202764977,LSPIN,mlp,0.0035,0.05,170125
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.05,170126
kidneyclearcellrenalcarcinoma,156,0.6881049688104969,LSPIN,mlp,0.0035,0.05,170126
kidneypapillaryrenalcellcarcinoma,84,0.8187403993855606,LSPIN,mlp,0.0035,0.05,170126
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.05,170127
kidneyclearcellrenalcarcinoma,156,0.6756291675629168,LSPIN,mlp,0.0035,0.05,170127
kidneypapillaryrenalcellcarcinoma,84,0.8202764976958525,LSPIN,mlp,0.0035,0.05,170127
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.0035,0.05,170128
kidneyclearcellrenalcarcinoma,156,0.6846633684663368,LSPIN,mlp,0.0035,0.05,170128
kidneypapillaryrenalcellcarcinoma,84,0.8141321044546851,LSPIN,mlp,0.0035,0.05,170128
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.05,170129
kidneyclearcellrenalcarcinoma,156,0.6762744676274468,LSPIN,mlp,0.0035,0.05,170129
kidneypapillaryrenalcellcarcinoma,84,0.815668202764977,LSPIN,mlp,0.0035,0.05,170129
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.05,170130
kidneyclearcellrenalcarcinoma,156,0.6838029683802969,LSPIN,mlp,0.0035,0.05,170130
kidneypapillaryrenalcellcarcinoma,84,0.7665130568356375,LSPIN,mlp,0.0035,0.05,170130
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0105,0.05,210123
kidneyclearcellrenalcarcinoma,156,0.694773069477307,LSPIN,mlp,0.0105,0.05,210123
kidneypapillaryrenalcellcarcinoma,84,0.7772657450076805,LSPIN,mlp,0.0105,0.05,210123
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.0105,0.05,210124
kidneyclearcellrenalcarcinoma,156,0.6872445687244568,LSPIN,mlp,0.0105,0.05,210124
kidneypapillaryrenalcellcarcinoma,84,0.7465437788018433,LSPIN,mlp,0.0105,0.05,210124
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0105,0.05,210125
kidneyclearcellrenalcarcinoma,156,0.6551946655194666,LSPIN,mlp,0.0105,0.05,210125
kidneypapillaryrenalcellcarcinoma,84,0.7880184331797235,LSPIN,mlp,0.0105,0.05,210125
kidneychromophobe,19,0.7605633802816901,LSPIN,mlp,0.0105,0.05,210126
kidneyclearcellrenalcarcinoma,156,0.6379866637986664,LSPIN,mlp,0.0105,0.05,210126
kidneypapillaryrenalcellcarcinoma,84,0.8433179723502304,LSPIN,mlp,0.0105,0.05,210126
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.0105,0.05,210127
kidneyclearcellrenalcarcinoma,156,0.6468057646805765,LSPIN,mlp,0.0105,0.05,210127
kidneypapillaryrenalcellcarcinoma,84,0.82642089093702,LSPIN,mlp,0.0105,0.05,210127
