model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs,mean_affinity_corr,mean_risk_corr,mean_top_risk_overlap_ratio,mean_cluster_ari,mean_cluster_nmi,rank_cindex,rank_affinity,rank_risk,rank_cluster,rank_parsimony,joint_score
Concrete,0.025,0.001,427.11848640441895,88.45016270558082,0.7334646325209444,0.00526443655762637,0.9894860106075695,0.0040159052552612515,2026.375,1227.1875,1068.9148682946734,16,0.9944638023370207,0.9503328001410368,4.282914201183432,0.98129607719381,0.9658080659700753,1.0,0.84375,0.875,0.6875,0.25,0.73125
Concrete,0.025,0.003,143.0815634727478,18.343308627378175,0.7264315974866717,0.00772148597134597,0.9719922054435534,0.005566622117564727,768.6875,394.5,359.87264662668724,16,0.9951178749545049,0.9362047318495573,4.199103180473372,0.9868707314425086,0.967047164492589,0.34375,0.96875,0.59375,0.875,0.6875,0.69375
Concrete,0.025,0.0025,169.90516424179077,34.41501078078344,0.7303705731150039,0.00884091139387495,0.975217440189718,0.007872001303488056,928.1875,483.0,437.16885172023615,16,0.9948397974905758,0.9380372382421996,4.14950073964497,0.9778133367776525,0.9507948132233863,0.8125,0.90625,0.65625,0.46875,0.59375,0.6875
Concrete,0.05,0.004,117.2039098739624,28.705461180219533,0.7259317878903275,0.013939152359469251,0.9642235843960606,0.013060317339711268,568.625,320.5625,284.8498669584842,16,0.9952116247052876,0.9281133112825913,4.147790310650888,0.9836775262725244,0.963712721916892,0.28125,1.0,0.46875,0.78125,0.875,0.68125
Concrete,0.1,0.003,142.01858186721802,41.7964161089822,0.7288473438690023,0.007903030048429875,0.9699107002675238,0.012794513498601293,653.75,385.5,339.2559968875414,16,0.9928237706656108,0.9245774560875596,4.108450443786983,0.9919617438484725,0.9822835316699569,0.625,0.5625,0.375,1.0,0.78125,0.66875
Concrete,0.1,0.002,205.41819286346436,56.06235146250665,0.7274014661081493,0.009770316117644357,0.9763000822431098,0.009670905242196335,962.5,555.5,481.1583637713807,16,0.994274214251176,0.9290762646584724,4.062268860946745,0.9890908290434994,0.9769044152555187,0.5,0.8125,0.5,0.96875,0.5625,0.66875
Concrete,0.025,0.0015,296.85497283935547,85.02068141840105,0.7318283511043412,0.007556880589750013,0.9840784829961925,0.006219561479738998,1444.875,825.375,732.9625120976152,16,0.9921308130762903,0.9422050471091615,4.235022189349112,0.9843673838642929,0.9658978917605255,0.90625,0.46875,0.6875,0.8125,0.40625,0.65625
Concrete,0.05,0.0025,155.63320446014404,33.48039157991435,0.7271575114242194,0.010163196436923637,0.9714709063359501,0.008507078477364203,751.875,439.25,384.53040773546525,16,0.9942419279733935,0.9237435626808658,4.103319156804734,0.9890515066050843,0.9753491518778034,0.46875,0.78125,0.34375,0.9375,0.71875,0.65
Concrete,0.025,0.00075,544.7309322357178,123.10397678747226,0.7300135662604722,0.007165392311548402,0.991870619912158,0.003110018520438129,2371.125,1448.375,1277.3310073078742,16,0.9940246420262636,0.9592805434773102,4.320543639053254,0.9789413522704138,0.9621542705568019,0.78125,0.71875,1.0,0.53125,0.15625,0.6375
Concrete,0.05,0.001,408.48238372802734,73.45092716059752,0.7333396801218584,0.009088658785120048,0.9881700528970927,0.00424311687234915,1863.5625,1076.6875,955.6648425442735,16,0.9935632532982209,0.9456795607793582,4.2812037721893486,0.9709303124457774,0.9518813384888906,0.96875,0.625,0.75,0.34375,0.34375,0.60625
Concrete,0.1,0.00075,578.0313701629639,124.40565974360509,0.7307513804265042,0.0036550921063848493,0.9905910941184833,0.0036381402566755777,2253.75,1393.875,1189.4974725225443,16,0.9925005460046564,0.9476154172416986,4.216207470414201,0.9791613570588034,0.9638985304227106,0.875,0.5,0.78125,0.59375,0.21875,0.59375
Concrete,0.1,0.004,98.69377422332764,18.659105004231932,0.7233375380807312,0.009356712084484433,0.9567424357997508,0.01408810162278319,438.6875,257.125,227.01379301240215,16,0.9941552394000366,0.9098208650623872,4.000693417159764,0.987068660379016,0.9721449774007703,0.1875,0.75,0.1875,0.90625,0.9375,0.59375
L-Concrete,0.025,0.002,294.12427616119385,50.566252667519635,0.7276275704493527,0.008121112117329054,0.9831039376757332,0.004431792991329147,1253.1875,768.0,681.1554348479758,16,0.9937375368274136,0.9462098978561228,4.228180473372781,0.986350066771725,0.9691551277814412,0.59375,0.875,0.9375,0.96875,0.46875,0.76875
L-Concrete,0.05,0.0025,177.43750095367432,20.739777526748924,0.727853674790556,0.008524108549300684,0.9645221164481073,0.00827136297075163,751.25,468.6875,411.97004210033566,16,0.9928863488648803,0.9387902099550919,4.14950073964497,0.9885012447834866,0.9724068084841301,0.65625,0.84375,0.59375,1.0,0.6875,0.75625
L-Concrete,0.025,0.00075,1137.0106315612793,131.67920173460405,0.7318343012185834,0.007965476405782785,0.9981557214418189,0.0004884209013136277,3576.875,2661.0,2267.006756583566,16,0.9942247398953772,0.9423875494736398,4.18541974852071,0.9783827414812416,0.9612788578161485,0.9375,0.9375,0.8125,0.5625,0.09375,0.66875
L-Concrete,0.1,0.004,89.06780910491943,17.62698462193165,0.7258603865194212,0.006170466038091015,0.9261362106324118,0.022609554932589447,405.25,252.125,218.9451162982083,16,0.988122674352332,0.935972212171296,4.156342455621301,0.9859215212827079,0.9700988842859715,0.53125,0.46875,0.40625,0.9375,0.9375,0.65625
L-Concrete,0.025,0.003,150.25192975997925,19.04876096177291,0.724194354531607,0.006815854176272517,0.9614513666451294,0.008695651141144555,776.9375,421.5625,385.06684996868717,16,0.9919454348257114,0.9406601414098111,4.154632026627218,0.9813746872779073,0.9567466833031472,0.40625,0.71875,0.71875,0.8125,0.625,0.65625
L-Concrete,0.025,0.0015,422.4102325439453,30.122569490053078,0.7298410129474486,0.008822800827457164,0.9906059192093708,0.0021464114297277876,1701.875,1127.875,968.8911117234195,16,0.9908853045626271,0.9467081896806929,4.2435743343195265,0.9774421015141609,0.9547564267798515,0.78125,0.625,1.0,0.5,0.34375,0.65
L-Concrete,0.05,0.0015,388.8055019378662,65.3601466568654,0.729668459634425,0.007220790877683383,0.9878058099973914,0.00408309218659746,1441.625,979.5,835.8115548524306,16,0.9925154374802896,0.9424681440394922,4.1375277366863905,0.9760059435277999,0.9567716584029514,0.75,0.78125,0.875,0.40625,0.4375,0.65
L-Concrete,0.05,0.001,604.4558410644531,86.97981147938647,0.7301682692307693,0.0056523187416531945,0.9930199214028614,0.0020541388693541608,1980.5,1460.75,1218.4847927871856,16,0.992134509722561,0.9424153798514541,4.18541974852071,0.9765718961639169,0.9590774294562301,0.84375,0.75,0.84375,0.46875,0.3125,0.64375
L-Concrete,0.1,0.001,538.6032848358154,45.60141357544244,0.7287640422696116,0.0072278582630713115,0.9884687600095101,0.003727935369736891,1620.375,1184.625,990.7718084079768,16,0.9937446800031892,0.9382379038836707,4.211076183431953,0.9799559117088006,0.9647874453215773,0.71875,0.90625,0.5625,0.625,0.40625,0.64375
L-Concrete,0.05,0.004,96.51809930801392,18.397246405587087,0.7246882140137091,0.010478942359274603,0.9337816560432527,0.02280636812799326,475.9375,273.25,242.8157722443653,16,0.9890862638710575,0.936353884925437,4.178578032544379,0.9811265425089625,0.9579070819111203,0.5,0.53125,0.4375,0.75,0.90625,0.625
L-Concrete,0.1,0.00075,945.1261978149414,449.01570248105907,0.7310250856816451,0.006806916823325019,0.9942013875220392,0.0035858456564175026,2515.625,2007.6875,1674.2519859933166,16,0.9946528489663706,0.9253230438478403,4.183709319526627,0.9816528990187148,0.9690725254701985,0.90625,1.0,0.09375,0.84375,0.25,0.61875
L-Concrete,0.025,0.0025,204.01447868347168,45.61370967173346,0.7278358244478293,0.008822781566146135,0.9734352913464286,0.009476254324930634,970.6875,572.875,505.6571471191203,16,0.9892175359461346,0.9394757505192872,4.200813609467455,0.980181162300209,0.9543648233206016,0.625,0.5625,0.65625,0.65625,0.59375,0.61875
L-LSPIN,0.05,0.00525,1827.5414962768555,66.58511483523664,0.7306561785986291,0.009097643862325637,0.999090546520572,9.851443056672852e-05,3514.5625,3401.875,2980.563238341945,16,0.9940387957607512,0.9299206534715473,4.043454142011834,0.9793483571171034,0.96241975119892,0.9375,0.96875,1.0,0.9375,0.15625,0.8
L-LSPIN,0.05,0.007,1462.4896392822266,121.45602451640345,0.7253189261233816,0.00945615048979243,0.9984429999330295,0.00026395894522269553,2759.0625,2693.25,2371.9118372536495,16,0.994101124152004,0.9041881304324303,3.8929363905325443,0.9802787301137956,0.9600209334320912,0.8125,1.0,0.8125,1.0,0.21875,0.76875
L-LSPIN,0.1,0.00525,1844.6944961547852,74.75749643207918,0.7360350818735719,0.01085037574183665,0.9990809712620004,0.0001281213358335296,3599.125,3477.125,3029.1657423617976,16,0.9939253707648359,0.9256928951863113,4.0280602810650885,0.9705413813682343,0.9484640226738547,1.0,0.9375,0.9375,0.8125,0.125,0.7625
L-LSPIN,0.1,0.00875,1248.7314224243164,66.36609756703685,0.7274728674790556,0.012589645363302059,0.997817991066573,0.0003436727806445401,2282.875,2242.0,2005.8662884238765,16,0.9936299020493186,0.9028833388776285,3.845044378698225,0.9793844497475831,0.9589674659069163,0.84375,0.90625,0.78125,0.96875,0.25,0.75
L-LSPIN,0.025,0.0035,2045.3593292236328,103.68874277447233,0.7316141469916222,0.011653153546681274,0.999290055847632,0.00012058206831033791,4032.3125,3822.3125,3325.782005105933,16,0.9933285882256305,0.9095256368989573,3.976747411242603,0.9745103215072187,0.951210852192838,0.96875,0.84375,0.875,0.90625,0.09375,0.7375
L-LSPIN,0.05,0.0035,2086.7893447875977,56.39133951736861,0.7302813214013709,0.0073352684035969135,0.9993866103885519,6.414158165653895e-05,4190.8125,3951.1875,3427.168458888072,16,0.992265304992886,0.9207084619599516,4.019508136094674,0.9744907576747188,0.958060594478739,0.90625,0.75,0.90625,0.875,0.0625,0.7
L-LSPIN,0.1,0.007,1594.803810119629,75.19431148711872,0.7302099200304646,0.0073011692204225575,0.9987377390462701,0.00012057614832080103,3036.1875,2969.1875,2610.3785773118516,16,0.991006518435442,0.928383264925222,4.069110576923077,0.9683034444014652,0.9433566867181116,0.875,0.5625,0.96875,0.78125,0.1875,0.675
L-LSPIN,0.1,0.0105,1009.4961318969727,58.557743051914535,0.7250868716679361,0.010338568945811498,0.9969142356003194,0.0004681423086109427,1849.4375,1794.1875,1616.6745453538767,16,0.9920578213204176,0.8959414582016629,3.88438424556213,0.9595710371213508,0.9353695967087405,0.78125,0.6875,0.71875,0.75,0.3125,0.65
L-LSPIN,0.025,0.00525,1131.015224456787,192.11514129883452,0.7226651751713633,0.015636915926393342,0.9972062170177715,0.0007231873421379126,2092.375,1974.375,1760.6776516077475,16,0.9928928081731653,0.8735265962628264,3.747549926035503,0.9509812375652894,0.9144999534575852,0.6875,0.8125,0.6875,0.71875,0.28125,0.6375
L-LSPIN,0.1,0.0035,2136.6262130737305,61.8832476374294,0.7248607673267327,0.012128502077862402,0.9994086402641534,5.563632039052059e-05,4271.4375,4003.5,3486.0982704205403,16,0.9906965992425883,0.9057757011845448,3.9955621301775146,0.9717118737549432,0.9515813061380566,0.75,0.53125,0.84375,0.84375,0.03125,0.6
L-LSPIN,0.025,0.00875,455.92688369750977,68.7743813712696,0.7169233149276466,0.01741046727399231,0.9882955987328054,0.0032032254943094676,866.5625,702.9375,648.0891001782959,16,0.9926555922192292,0.7878678674588938,3.1762666420118344,0.8915784404378984,0.8451657530685104,0.5625,0.78125,0.4375,0.46875,0.53125,0.55625
L-LSPIN,0.0,0.00875,172.4891414642334,30.44260388429689,0.7196603674790556,0.014971617502494488,0.9599440993341155,0.012291058908155078,627.0,316.9375,296.3085177760561,16,0.9892373078803074,0.8263797600728225,3.4653291420118344,0.8977044123616782,0.8665202698227006,0.65625,0.34375,0.53125,0.53125,0.65625,0.54375
