model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,mlp,0.0035,0.0,0,1,0.976459451264418
LSPIN,lspin_tf,mlp,0.0035,0.0,0,2,0.9668530422580642
LSPIN,lspin_tf,mlp,0.0035,0.0,0,3,0.9842454575658774
LSPIN,lspin_tf,mlp,0.0035,0.0,0,4,0.9887751438260064
LSPIN,lspin_tf,mlp,0.0035,0.0,1,2,0.995338548947488
LSPIN,lspin_tf,mlp,0.0035,0.0,1,3,0.9938682817448724
LSPIN,lspin_tf,mlp,0.0035,0.0,1,4,0.988856395628076
LSPIN,lspin_tf,mlp,0.0035,0.0,2,3,0.9893344811111818
LSPIN,lspin_tf,mlp,0.0035,0.0,2,4,0.982553814400396
LSPIN,lspin_tf,mlp,0.0035,0.0,3,4,0.9872559580720148
LSPIN,lspin_tf,mlp,0.00525,0.0,0,1,0.9939381679361188
LSPIN,lspin_tf,mlp,0.00525,0.0,0,2,0.9928038890319378
LSPIN,lspin_tf,mlp,0.00525,0.0,0,3,0.9979022650767274
LSPIN,lspin_tf,mlp,0.00525,0.0,0,4,0.995462087578923
LSPIN,lspin_tf,mlp,0.00525,0.0,1,2,0.9933398844813508
LSPIN,lspin_tf,mlp,0.00525,0.0,1,3,0.9964784094607332
LSPIN,lspin_tf,mlp,0.00525,0.0,1,4,0.9973437501467683
LSPIN,lspin_tf,mlp,0.00525,0.0,2,3,0.9940164217343096
LSPIN,lspin_tf,mlp,0.00525,0.0,2,4,0.9896648258233413
LSPIN,lspin_tf,mlp,0.00525,0.0,3,4,0.9969640924115492
LSPIN,lspin_tf,mlp,0.007,0.0,0,1,0.9916297356279226
LSPIN,lspin_tf,mlp,0.007,0.0,0,2,0.9927377178924622
LSPIN,lspin_tf,mlp,0.007,0.0,0,3,0.994046440659496
LSPIN,lspin_tf,mlp,0.007,0.0,0,4,0.996310908828147
