model_family,lambda_sample_smooth,lambda_sparse,mean_affinity_corr,median_affinity_corr,n_pairs,mean_Khard
Concrete,0.0,0.006,0.9870645794572661,0.9889340684727856,20,85.39112014770508
Concrete,0.0,0.004,0.9895878616117397,0.990855295737284,20,123.27644653320313
Concrete,0.0,0.003,0.9896026527604175,0.9894307015538744,20,184.6540512084961
Concrete,0.0,0.0025,0.9855996704611512,0.9856419819049675,20,197.4505813598633
Concrete,0.0,0.002,0.9908161728649352,0.9923041169947071,20,267.72741546630857
Concrete,0.0,0.0015,0.9842538806746663,0.9884049471286467,20,356.60772094726565
Concrete,0.0,0.001,0.9872770156167645,0.9876765042440829,20,520.0166046142579
Concrete,0.0,0.00075,0.9892964471615399,0.9901431773656599,20,854.0015625
Concrete,0.025,0.006,0.9914666016941507,0.9921699274561824,20,74.02278060913086
Concrete,0.025,0.004,0.9939379944183356,0.9950662824499754,20,107.08648681640625
Concrete,0.025,0.003,0.9954163888486708,0.9957427851006184,20,140.27876358032228
Concrete,0.025,0.0025,0.9934226605005113,0.9939944283359792,20,158.77065734863282
Concrete,0.025,0.002,0.9953637483025037,0.9955320270273662,20,191.8953643798828
Concrete,0.025,0.0015,0.9937582036540912,0.9944916283409881,20,298.3540512084961
Concrete,0.025,0.001,0.9947028047628098,0.9951699301214281,20,439.4185363769531
Concrete,0.025,0.00075,0.9930287620628917,0.9961498684976868,20,546.494595336914
Concrete,0.05,0.006,0.9926164965948174,0.9923665921765707,20,85.89227752685547
Concrete,0.05,0.004,0.9932265927313345,0.9939535873311278,20,111.15714492797852
Concrete,0.05,0.003,0.9933306856987894,0.9953119731938458,20,147.0702697753906
Concrete,0.05,0.0025,0.9944401375791909,0.9954337184660137,20,164.70385971069337
Concrete,0.05,0.002,0.9924350067613948,0.9942828813925476,20,193.94787673950196
Concrete,0.05,0.0015,0.9940084712337154,0.9947637461860772,20,229.87142791748047
Concrete,0.05,0.001,0.9922388068095133,0.9947221637596557,20,490.003857421875
Concrete,0.05,0.00075,0.9950314750149843,0.9964253140908963,20,686.3602294921875
Concrete,0.1,0.006,0.9940805273544804,0.9946140707356881,20,69.5772201538086
Concrete,0.1,0.004,0.9942446861988221,0.99582027215364,20,99.2656364440918
Concrete,0.1,0.0025,0.994320378847226,0.994936277162606,20,145.15405197143554
Concrete,0.1,0.003,0.9881246005447787,0.9919135617922791,20,145.97065505981445
Concrete,0.1,0.002,0.9912121053160832,0.9932503574862209,20,194.7185302734375
Concrete,0.1,0.0015,0.9935776912268285,0.9940413588257329,20,252.10308990478515
Concrete,0.1,0.001,0.9927932083513239,0.9941042015520638,20,471.6274078369141
Concrete,0.1,0.00075,0.9903718978245228,0.9919816441433407,20,707.0220001220703
L-Concrete,0.0,0.006,0.9746941828033501,0.9768932147866398,20,61.32432403564453
L-Concrete,0.0,0.004,0.9758896514640704,0.9780672153691174,20,133.56409301757813
L-Concrete,0.0,0.003,0.9781377574437149,0.9787046084180543,20,185.5312759399414
L-Concrete,0.0,0.0025,0.9826304379504632,0.9834688322919787,20,260.4057922363281
L-Concrete,0.0,0.002,0.9848316254914824,0.9851260218159725,20,395.8451751708984
L-Concrete,0.0,0.0015,0.9822760084460092,0.9830298613996996,20,567.5718231201172
L-Concrete,0.0,0.001,0.9714180431543064,0.9775132240652297,20,1149.6745300292969
L-Concrete,0.0,0.00075,0.9755464127804844,0.9764244964178379,20,1702.5197021484375
L-Concrete,0.025,0.006,0.9826918517502466,0.9832883455587088,20,60.312740325927734
L-Concrete,0.025,0.004,0.9893184228387941,0.9890931162097353,20,99.33320465087891
L-Concrete,0.025,0.003,0.991675302926993,0.9928203002766296,20,171.49459533691407
L-Concrete,0.025,0.0025,0.9903703081720678,0.9925019319870011,20,205.38262329101562
L-Concrete,0.025,0.002,0.9893570441473001,0.9897675857010959,20,260.79922943115236
L-Concrete,0.025,0.0015,0.9907451741546517,0.9914505265606142,20,394.93706970214845
L-Concrete,0.025,0.001,0.9924238694432763,0.9934128020111446,20,810.7617736816406
L-Concrete,0.025,0.00075,0.9939347465671551,0.9958903463302763,20,1096.2779907226563
L-Concrete,0.05,0.006,0.9838360466412464,0.9853481547792173,20,53.91583023071289
L-Concrete,0.05,0.004,0.9910897057183448,0.9924367465916029,20,86.26718139648438
L-Concrete,0.05,0.003,0.9905060740333805,0.9928687830735252,20,137.69073486328125
L-Concrete,0.05,0.0025,0.9873100979273687,0.9901463771382827,20,178.29497985839845
L-Concrete,0.05,0.002,0.9902488869591626,0.9915330784495595,20,242.71582794189453
L-Concrete,0.05,0.0015,0.9924315439314633,0.993544560130653,20,349.59845275878905
L-Concrete,0.05,0.001,0.994373626382495,0.9945209731625309,20,651.55791015625
L-Concrete,0.05,0.00075,0.9914574122513689,0.9935984370512339,20,1089.1420776367188
L-Concrete,0.1,0.006,0.9849183642333001,0.9847801569731491,20,52.42200813293457
L-Concrete,0.1,0.004,0.9835421092076129,0.9860073612424598,20,86.16100387573242
L-Concrete,0.1,0.003,0.984404770905179,0.9872775658654502,20,116.32239303588867
L-Concrete,0.1,0.0025,0.9889766799054547,0.9915018618261608,20,182.22393569946288
L-Concrete,0.1,0.002,0.9928653895260975,0.9933277910907556,20,202.73050384521486
L-Concrete,0.1,0.0015,0.9932860830124157,0.9938290074790271,20,357.89845275878906
L-Concrete,0.1,0.001,0.9934383845380855,0.9945070849658698,20,561.54208984375
L-Concrete,0.1,0.00075,0.9947991095832522,0.9948835449320699,20,832.2444030761719
L-LSPIN,0.0,0.028,0.9598591451990768,0.9637573528802155,20,63.23436164855957
L-LSPIN,0.0,0.021,0.9732996117292088,0.9798697961141656,20,79.31467170715332
L-LSPIN,0.0,0.014,0.9853964537943446,0.9869765315263542,20,126.17529067993163
L-LSPIN,0.0,0.0105,0.981715091872646,0.9817867993252891,20,157.07374267578126
L-LSPIN,0.0,0.00875,0.9843193248710801,0.9866485747700521,20,178.2606185913086
L-LSPIN,0.0,0.007,0.991868907251494,0.9920229727545798,20,222.5015441894531
L-LSPIN,0.0,0.00525,0.9896878316243711,0.9899011729805438,20,298.11543731689454
L-LSPIN,0.0,0.0035,0.9895870131450385,0.9903737486377615,20,471.99884033203125
L-LSPIN,0.025,0.028,0.9696592779346375,0.9760941329115598,20,145.50463104248047
L-LSPIN,0.025,0.021,0.9871722223348971,0.9899776804655911,20,178.75675582885742
L-LSPIN,0.025,0.014,0.9931445360630299,0.9933905080174744,20,274.16718139648435
L-LSPIN,0.025,0.0105,0.9922018751430363,0.9926614156931839,20,344.7606140136719
L-LSPIN,0.025,0.00875,0.9932321129674575,0.9930149594516284,20,507.2212341308594
L-LSPIN,0.025,0.007,0.9930167173748663,0.9932260339594117,20,670.0216186523437
L-LSPIN,0.025,0.00525,0.9902486760851164,0.9923267890957379,20,1147.1131103515625
L-LSPIN,0.025,0.0035,0.9891631509552603,0.990920381877139,20,2018.6803100585937
