model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,mlp,0.0035,0.0,0,1,0.6712062758010326,0.7131163995338008
LSPIN,lspin_tf,mlp,0.0035,0.0,0,2,0.8054718856192875,0.7800154926897682
LSPIN,lspin_tf,mlp,0.0035,0.0,0,3,0.9471836437973056,0.9067297285597712
LSPIN,lspin_tf,mlp,0.0035,0.0,0,4,0.9650881860393254,0.9227238806657116
LSPIN,lspin_tf,mlp,0.0035,0.0,1,2,0.8541980689126998,0.8215224430465438
LSPIN,lspin_tf,mlp,0.0035,0.0,1,3,0.6949659279697049,0.7033983322353753
LSPIN,lspin_tf,mlp,0.0035,0.0,1,4,0.6773295920603074,0.7158453192727894
LSPIN,lspin_tf,mlp,0.0035,0.0,2,3,0.8323001760995075,0.7891214340280182
LSPIN,lspin_tf,mlp,0.0035,0.0,2,4,0.8117775763621244,0.7837828075907244
LSPIN,lspin_tf,mlp,0.0035,0.0,3,4,0.9472341326565766,0.9064206161828432
LSPIN,lspin_tf,mlp,0.00525,0.0,0,1,0.9645840344202647,0.928611115301901
LSPIN,lspin_tf,mlp,0.00525,0.0,0,2,0.8423430357412028,0.8010029402787058
LSPIN,lspin_tf,mlp,0.00525,0.0,0,3,0.9798267437880552,0.9454588078395924
LSPIN,lspin_tf,mlp,0.00525,0.0,0,4,0.9733816888488362,0.9330670122424866
LSPIN,lspin_tf,mlp,0.00525,0.0,1,2,0.8498213125406108,0.8224035326439991
LSPIN,lspin_tf,mlp,0.00525,0.0,1,3,0.9579465392028405,0.9089067817388384
LSPIN,lspin_tf,mlp,0.00525,0.0,1,4,0.9515204921173748,0.9052415131853664
LSPIN,lspin_tf,mlp,0.00525,0.0,2,3,0.8388359080437892,0.7986455325366131
LSPIN,lspin_tf,mlp,0.00525,0.0,2,4,0.8423783909972082,0.7896181874376627
LSPIN,lspin_tf,mlp,0.00525,0.0,3,4,0.9798450432144928,0.9529992544191214
LSPIN,lspin_tf,mlp,0.007,0.0,0,1,0.9688273975879768,0.9243885374441052
LSPIN,lspin_tf,mlp,0.007,0.0,0,2,0.9890327434966144,0.978723668847058
LSPIN,lspin_tf,mlp,0.007,0.0,0,3,0.9821630957549208,0.9587637952323796
LSPIN,lspin_tf,mlp,0.007,0.0,0,4,0.9378166922935744,0.8852986015357082
LSPIN,lspin_tf,mlp,0.007,0.0,1,2,0.9798098501638076,0.9455433435660132
LSPIN,lspin_tf,mlp,0.007,0.0,1,3,0.9864122093276296,0.9654804902709708
LSPIN,lspin_tf,mlp,0.007,0.0,1,4,0.9547735890446422,0.9144615680576
LSPIN,lspin_tf,mlp,0.007,0.0,2,3,0.993141982826191,0.9799465411251884
LSPIN,lspin_tf,mlp,0.007,0.0,2,4,0.9487826286995306,0.9066557598346764
LSPIN,lspin_tf,mlp,0.007,0.0,3,4,0.9429103785840492,0.8993505170995681
LSPIN,lspin_tf,mlp,0.00875,0.0,0,1,0.6691982761270353,0.731698417039386
LSPIN,lspin_tf,mlp,0.00875,0.0,0,2,0.6387952716704952,0.7006942768053351
LSPIN,lspin_tf,mlp,0.00875,0.0,0,3,0.6523525040227411,0.7242605475492105
LSPIN,lspin_tf,mlp,0.00875,0.0,0,4,0.6620822663870478,0.7285025761690012
LSPIN,lspin_tf,mlp,0.00875,0.0,1,2,0.950664335651125,0.9019304319256802
LSPIN,lspin_tf,mlp,0.00875,0.0,1,3,0.967051393904164,0.9320409559245368
LSPIN,lspin_tf,mlp,0.00875,0.0,1,4,0.9608743372703952,0.9078752385007596
LSPIN,lspin_tf,mlp,0.00875,0.0,2,3,0.9823361054592886,0.958580807404036
LSPIN,lspin_tf,mlp,0.00875,0.0,2,4,0.950495345151414,0.8913360610202268
LSPIN,lspin_tf,mlp,0.00875,0.0,3,4,0.9670191616237156,0.9222475560139354
LSPIN,lspin_tf,mlp,0.0105,0.0,0,1,0.9486767725117332,0.8895267553519111
LSPIN,lspin_tf,mlp,0.0105,0.0,0,2,0.949791129713918,0.8912766702571524
LSPIN,lspin_tf,mlp,0.0105,0.0,0,3,0.960746208794129,0.9230862012025108
LSPIN,lspin_tf,mlp,0.0105,0.0,0,4,0.6851754872486409,0.7110987553512635
LSPIN,lspin_tf,mlp,0.0105,0.0,1,2,0.9496976670989964,0.8860978639719799
LSPIN,lspin_tf,mlp,0.0105,0.0,1,3,0.9864012415450228,0.9655295605281512
LSPIN,lspin_tf,mlp,0.0105,0.0,1,4,0.6846114357876192,0.7131542248071202
LSPIN,lspin_tf,mlp,0.0105,0.0,2,3,0.9622884008077474,0.9124153743863666
LSPIN,lspin_tf,mlp,0.0105,0.0,2,4,0.6890095765271381,0.708494722875534
LSPIN,lspin_tf,mlp,0.0105,0.0,3,4,0.6786044060218812,0.7103247488203652
LSPIN,lspin_tf,mlp,0.014,0.0,0,1,0.9607743904196816,0.9124574182388272
LSPIN,lspin_tf,mlp,0.014,0.0,0,2,0.9670461112027982,0.9188024840919798
LSPIN,lspin_tf,mlp,0.014,0.0,0,3,0.9864705652243422,0.9652051784342418
LSPIN,lspin_tf,mlp,0.014,0.0,0,4,0.7099878356172197,0.7337586929203129
LSPIN,lspin_tf,mlp,0.014,0.0,1,2,0.9798277947934658,0.9530616733235292
LSPIN,lspin_tf,mlp,0.014,0.0,1,3,0.9487278980537298,0.8950251779817285
LSPIN,lspin_tf,mlp,0.014,0.0,1,4,0.6970789912532379,0.7275502224112707
LSPIN,lspin_tf,mlp,0.014,0.0,2,3,0.9547613532453076,0.8982038892068648
LSPIN,lspin_tf,mlp,0.014,0.0,2,4,0.7065744500927303,0.7320900711234039
LSPIN,lspin_tf,mlp,0.014,0.0,3,4,0.7102425789394595,0.732612437265722
LSPIN,lspin_tf,mlp,0.021,0.0,0,1,0.968928868671534,0.9317729378559249
LSPIN,lspin_tf,mlp,0.021,0.0,0,2,0.6031486231695913,0.7063826785569692
LSPIN,lspin_tf,mlp,0.021,0.0,0,3,0.638293008620399,0.7036584164096631
LSPIN,lspin_tf,mlp,0.021,0.0,0,4,0.9669666694563768,0.9322342307248708
LSPIN,lspin_tf,mlp,0.021,0.0,1,2,0.6015529847514209,0.6879868990390542
LSPIN,lspin_tf,mlp,0.021,0.0,1,3,0.643939100955518,0.7209852951875839
LSPIN,lspin_tf,mlp,0.021,0.0,1,4,0.9534841206129072,0.8956008550485971
LSPIN,lspin_tf,mlp,0.021,0.0,2,3,0.922799403124136,0.8734408058589028
LSPIN,lspin_tf,mlp,0.021,0.0,2,4,0.6184831515504192,0.7125172510834544
LSPIN,lspin_tf,mlp,0.021,0.0,3,4,0.6476831545060734,0.7064707511087351
LSPIN,lspin_tf,mlp,0.028,0.0,0,1,0.9371572206515686,0.8924861188153698
LSPIN,lspin_tf,mlp,0.028,0.0,0,2,0.6256349859845042,0.7140765417258277
LSPIN,lspin_tf,mlp,0.028,0.0,0,3,0.9221588348756532,0.8620581533542125
LSPIN,lspin_tf,mlp,0.028,0.0,0,4,0.9797943694910412,0.95318043369774
LSPIN,lspin_tf,mlp,0.028,0.0,1,2,0.6590438892027956,0.7283900960868911
LSPIN,lspin_tf,mlp,0.028,0.0,1,3,0.9277702834905768,0.8532863418438101
LSPIN,lspin_tf,mlp,0.028,0.0,1,4,0.9547735890446422,0.9144615680576
LSPIN,lspin_tf,mlp,0.028,0.0,2,3,0.635172521518154,0.6881174489861147
LSPIN,lspin_tf,mlp,0.028,0.0,2,4,0.6343192690837888,0.7176396316381858
LSPIN,lspin_tf,mlp,0.028,0.0,3,4,0.9283142950673768,0.8577295821614633
LSPIN,lspin_tf,mlp,0.0035,0.025,0,1,0.9891031484068808,0.9787100041769288
LSPIN,lspin_tf,mlp,0.0035,0.025,0,2,0.95728581670756,0.9370468611991848
LSPIN,lspin_tf,mlp,0.0035,0.025,0,3,0.95728581670756,0.9370468611991848
LSPIN,lspin_tf,mlp,0.0035,0.025,0,4,0.9891031484068808,0.9787100041769288
LSPIN,lspin_tf,mlp,0.0035,0.025,1,2,0.9678087536384248,0.9491705004418136
LSPIN,lspin_tf,mlp,0.0035,0.025,1,3,0.9678087536384248,0.9491705004418136
LSPIN,lspin_tf,mlp,0.0035,0.025,1,4,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.025,2,3,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.025,2,4,0.9678087536384248,0.9491705004418136
LSPIN,lspin_tf,mlp,0.0035,0.025,3,4,0.9678087536384248,0.9491705004418136
LSPIN,lspin_tf,mlp,0.00525,0.025,0,1,0.97986151240171,0.9452801171935008
LSPIN,lspin_tf,mlp,0.00525,0.025,0,2,0.9590358022567,0.9161475257378549
LSPIN,lspin_tf,mlp,0.00525,0.025,0,3,0.9759078978686528,0.9440075373227598
LSPIN,lspin_tf,mlp,0.00525,0.025,0,4,0.9617886350996572,0.929087340686576
LSPIN,lspin_tf,mlp,0.00525,0.025,1,2,0.9686541653108252,0.935025513561212
LSPIN,lspin_tf,mlp,0.00525,0.025,1,3,0.9824875598611866,0.9584767709640836
LSPIN,lspin_tf,mlp,0.00525,0.025,1,4,0.9581221592096693,0.9188833375618398
LSPIN,lspin_tf,mlp,0.00525,0.025,2,3,0.9825067015878908,0.9583863031021604
LSPIN,lspin_tf,mlp,0.00525,0.025,2,4,0.9760404543994652,0.9435857366645514
LSPIN,lspin_tf,mlp,0.00525,0.025,3,4,0.971952567724816,0.9424007221439556
LSPIN,lspin_tf,mlp,0.007,0.025,0,1,0.9783945995820656,0.9628504246567072
LSPIN,lspin_tf,mlp,0.007,0.025,0,2,0.9757057281517564,0.9439394502464636
LSPIN,lspin_tf,mlp,0.007,0.025,0,3,0.9608479435723718,0.9229048116551448
LSPIN,lspin_tf,mlp,0.007,0.025,0,4,0.989125056765531,0.9786286105903444
LSPIN,lspin_tf,mlp,0.007,0.025,1,2,0.9759946482458696,0.9439078749165054
LSPIN,lspin_tf,mlp,0.007,0.025,1,3,0.943141412785958,0.8871375965052796
LSPIN,lspin_tf,mlp,0.007,0.025,1,4,0.98914622396049,0.9785449494981008
LSPIN,lspin_tf,mlp,0.007,0.025,2,3,0.966026762648224,0.9290838802563112
LSPIN,lspin_tf,mlp,0.007,0.025,2,4,0.986583403977258,0.9652878613398468
LSPIN,lspin_tf,mlp,0.007,0.025,3,4,0.9533269354831216,0.908374092145605
LSPIN,lspin_tf,mlp,0.00875,0.025,0,1,0.9697189764719156,0.931433525603716
LSPIN,lspin_tf,mlp,0.00875,0.025,0,2,0.9547735890446422,0.9144615680576
LSPIN,lspin_tf,mlp,0.00875,0.025,0,3,0.8502619502827181,0.8029943730858974
LSPIN,lspin_tf,mlp,0.00875,0.025,0,4,0.9547735890446422,0.9144615680576
LSPIN,lspin_tf,mlp,0.00875,0.025,1,2,0.9503603707818596,0.8909387434129762
LSPIN,lspin_tf,mlp,0.00875,0.025,1,3,0.8324766750351151,0.793806509154746
LSPIN,lspin_tf,mlp,0.00875,0.025,1,4,0.9628007692591332,0.920530656570334
LSPIN,lspin_tf,mlp,0.00875,0.025,2,3,0.8327586460349798,0.8008692807528582
LSPIN,lspin_tf,mlp,0.00875,0.025,2,4,0.986423099440726,0.959876456846124
LSPIN,lspin_tf,mlp,0.00875,0.025,3,4,0.8327586460349798,0.8008692807528582
LSPIN,lspin_tf,mlp,0.0105,0.025,0,1,0.9215259290708034,0.8780186060455488
LSPIN,lspin_tf,mlp,0.0105,0.025,0,2,0.8428850768137687,0.8074087779624973
LSPIN,lspin_tf,mlp,0.0105,0.025,0,3,0.839389496454753,0.8051238463336867
LSPIN,lspin_tf,mlp,0.0105,0.025,0,4,0.9911336705314222,0.9783362352410808
LSPIN,lspin_tf,mlp,0.0105,0.025,1,2,0.7752542322591193,0.7815326691120662
LSPIN,lspin_tf,mlp,0.0105,0.025,1,3,0.7720712347670046,0.7798234834433401
LSPIN,lspin_tf,mlp,0.0105,0.025,1,4,0.9292834675768628,0.8822285286074354
LSPIN,lspin_tf,mlp,0.0105,0.025,2,3,0.9670461112027982,0.9188024840919798
LSPIN,lspin_tf,mlp,0.0105,0.025,2,4,0.8340486211634732,0.7979108880959825
LSPIN,lspin_tf,mlp,0.0105,0.025,3,4,0.8305440314188473,0.795663904279228
LSPIN,lspin_tf,mlp,0.014,0.025,0,1,0.9826553341848128,0.9582187259609074
LSPIN,lspin_tf,mlp,0.014,0.025,0,2,0.9734050333869052,0.9329689291033084
LSPIN,lspin_tf,mlp,0.014,0.025,0,3,0.9931772591905416,0.9797150667635708
LSPIN,lspin_tf,mlp,0.014,0.025,0,4,0.9607795236302586,0.923025903152916
LSPIN,lspin_tf,mlp,0.014,0.025,1,2,0.9693638924811296,0.9313703076838876
LSPIN,lspin_tf,mlp,0.014,0.025,1,3,0.9894758924513128,0.978525694564524
LSPIN,lspin_tf,mlp,0.014,0.025,1,4,0.9441917494609448,0.8930924054284598
LSPIN,lspin_tf,mlp,0.014,0.025,2,3,0.9798803862142204,0.9528690352838732
LSPIN,lspin_tf,mlp,0.014,0.025,2,4,0.9733382168624118,0.9421349742664532
LSPIN,lspin_tf,mlp,0.014,0.025,3,4,0.9546938194266744,0.914566218777162
LSPIN,lspin_tf,mlp,0.021,0.025,0,1,0.9689597552595984,0.9301205806219596
LSPIN,lspin_tf,mlp,0.021,0.025,0,2,0.7996362701697199,0.7956546155315153
LSPIN,lspin_tf,mlp,0.021,0.025,0,3,0.822545390598031,0.7926590790408143
LSPIN,lspin_tf,mlp,0.021,0.025,0,4,0.975676372526463,0.9436493846057824
LSPIN,lspin_tf,mlp,0.021,0.025,1,2,0.8219786946648201,0.7910994192396529
LSPIN,lspin_tf,mlp,0.021,0.025,1,3,0.8466014104934232,0.8217625468152152
LSPIN,lspin_tf,mlp,0.021,0.025,1,4,0.9931708668144914,0.9789977467439088
LSPIN,lspin_tf,mlp,0.021,0.025,2,3,0.950213221321148,0.9171264180327912
LSPIN,lspin_tf,mlp,0.021,0.025,2,4,0.8192427728615403,0.7964916214093221
LSPIN,lspin_tf,mlp,0.021,0.025,3,4,0.843511116775263,0.8215452588572131
LSPIN,lspin_tf,mlp,0.028,0.025,0,1,0.9468139081762684,0.8892762108610405
LSPIN,lspin_tf,mlp,0.028,0.025,0,2,0.8156562982364032,0.77149933062727
LSPIN,lspin_tf,mlp,0.028,0.025,0,3,0.9589257464012044,0.9238235319624404
LSPIN,lspin_tf,mlp,0.028,0.025,0,4,0.7699433973147771,0.7642373767410212
LSPIN,lspin_tf,mlp,0.028,0.025,1,2,0.8119824716833648,0.7813784522081065
LSPIN,lspin_tf,mlp,0.028,0.025,1,3,0.9442423759997596,0.881977830894823
LSPIN,lspin_tf,mlp,0.028,0.025,1,4,0.7552996751734474,0.7706983868097715
LSPIN,lspin_tf,mlp,0.028,0.025,2,3,0.8086617417878599,0.7800696217471094
LSPIN,lspin_tf,mlp,0.028,0.025,2,4,0.9290460448022106,0.880073525168348
LSPIN,lspin_tf,mlp,0.028,0.025,3,4,0.7602642264156729,0.7551797312493319
LSPIN,lspin_tf,mlp,0.0035,0.05,0,1,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.05,0,2,0.9783517452100648,0.9629807017481892
LSPIN,lspin_tf,mlp,0.0035,0.05,0,3,0.9677459277913032,0.9493373045664472
LSPIN,lspin_tf,mlp,0.0035,0.05,0,4,0.95728581670756,0.9370468611991848
LSPIN,lspin_tf,mlp,0.0035,0.05,1,2,0.9783517452100648,0.9629807017481892
