model_family,lambda_sample_smooth,lambda_sparse,mean_cluster_ari,mean_cluster_nmi,n_pairs,mean_Khard
Concrete,0.0,0.006,0.9542960072925613,0.9074547706474665,20,85.39112014770508
Concrete,0.0,0.004,0.9603237415122712,0.9177481262113238,20,123.27644653320313
Concrete,0.0,0.003,0.9693755097724207,0.9318742406083242,20,184.6540512084961
Concrete,0.0,0.0025,0.9653857158139608,0.9250017907511913,20,197.4505813598633
Concrete,0.0,0.002,0.9748846730619185,0.942801018632547,20,267.72741546630857
Concrete,0.0,0.0015,0.934650046668307,0.8979819204533662,20,356.60772094726565
Concrete,0.0,0.001,0.9740200211234951,0.9409749704814121,20,520.0166046142579
Concrete,0.0,0.00075,0.9705631732780795,0.9383086492629331,20,854.0015625
Concrete,0.025,0.006,0.9660617244573071,0.9297723046352969,20,74.02278060913086
Concrete,0.025,0.004,0.9808028687510755,0.9555102118058609,20,107.08648681640625
Concrete,0.025,0.003,0.9766091137257842,0.9495658654090887,20,140.27876358032228
Concrete,0.025,0.0025,0.979398972476333,0.9531906425271448,20,158.77065734863282
Concrete,0.025,0.002,0.9822712268106153,0.9626960095366496,20,191.8953643798828
Concrete,0.025,0.0015,0.9882928739913759,0.9722915407409394,20,298.3540512084961
Concrete,0.025,0.001,0.9756620643085508,0.953548649896414,20,439.4185363769531
Concrete,0.025,0.00075,0.9786617218742657,0.9618861848246164,20,546.494595336914
Concrete,0.05,0.006,0.9771800429606914,0.9524969438175621,20,85.89227752685547
Concrete,0.05,0.004,0.979772464354529,0.9535205998246032,20,111.15714492797852
Concrete,0.05,0.003,0.9835857540988536,0.9650767941997233,20,147.0702697753906
Concrete,0.05,0.0025,0.9810934698132636,0.960491694769375,20,164.70385971069337
Concrete,0.05,0.002,0.9863594552462953,0.969854616073974,20,193.94787673950196
Concrete,0.05,0.0015,0.9878202412032506,0.9744612796220885,20,229.87142791748047
Concrete,0.05,0.001,0.9685723493003733,0.9484179711094702,20,490.003857421875
Concrete,0.05,0.00075,0.9669108637790226,0.9433842532761638,20,686.3602294921875
Concrete,0.1,0.006,0.9619203625185715,0.9450740256699601,20,69.5772201538086
Concrete,0.1,0.004,0.9842179030689093,0.9668025780505222,20,99.2656364440918
Concrete,0.1,0.0025,0.9897476357905344,0.9778331479802954,20,145.15405197143554
Concrete,0.1,0.003,0.9869384967505173,0.9730332342907765,20,145.97065505981445
Concrete,0.1,0.002,0.9876045962279051,0.9750906461286503,20,194.7185302734375
Concrete,0.1,0.0015,0.9860448416729067,0.9741236515225152,20,252.10308990478515
Concrete,0.1,0.001,0.969800034378981,0.9496165781355208,20,471.6274078369141
Concrete,0.1,0.00075,0.9642709067650614,0.9400695716487991,20,707.0220001220703
L-Concrete,0.0,0.006,0.9607228926528351,0.9174474646296413,20,61.32432403564453
L-Concrete,0.0,0.004,0.7475586121231821,0.7826695947095198,20,133.56409301757813
L-Concrete,0.0,0.003,0.659592073892546,0.7332535669382075,20,185.5312759399414
L-Concrete,0.0,0.0025,0.7605889605576837,0.7979672194587556,20,260.4057922363281
L-Concrete,0.0,0.002,0.8888079847767576,0.8856021284852222,20,395.8451751708984
L-Concrete,0.0,0.0015,0.674406449984617,0.738364596625027,20,567.5718231201172
L-Concrete,0.0,0.001,0.6927190360636594,0.7390891978868257,20,1149.6745300292969
L-Concrete,0.0,0.00075,0.9510238573667331,0.9047654983206114,20,1702.5197021484375
L-Concrete,0.025,0.006,0.965636669592492,0.926346844120495,20,60.312740325927734
L-Concrete,0.025,0.004,0.968737619971348,0.9329175765453648,20,99.33320465087891
L-Concrete,0.025,0.003,0.9746268314220246,0.9455367941068955,20,171.49459533691407
L-Concrete,0.025,0.0025,0.9862647798071515,0.9701020102645174,20,205.38262329101562
L-Concrete,0.025,0.002,0.9837241692699784,0.9633290821527639,20,260.79922943115236
L-Concrete,0.025,0.0015,0.9891810493919637,0.9748829516928478,20,394.93706970214845
L-Concrete,0.025,0.001,0.9762904401475729,0.9579289441667287,20,810.7617736816406
L-Concrete,0.025,0.00075,0.9834813872424603,0.9701552689554788,20,1096.2779907226563
L-Concrete,0.05,0.006,0.9755536868573504,0.9484698466962669,20,53.91583023071289
L-Concrete,0.05,0.004,0.9801711411605281,0.9554308870875104,20,86.26718139648438
L-Concrete,0.05,0.003,0.9898059317365014,0.9770066051556257,20,137.69073486328125
L-Concrete,0.05,0.0025,0.9882600648551996,0.974038547421179,20,178.29497985839845
L-Concrete,0.05,0.002,0.9786946180960729,0.9572551751687435,20,242.71582794189453
L-Concrete,0.05,0.0015,0.9784565892734987,0.9550399586431464,20,349.59845275878905
L-Concrete,0.05,0.001,0.9768686353276829,0.9586670066338657,20,651.55791015625
L-Concrete,0.05,0.00075,0.9733108300288906,0.9550396063140854,20,1089.1420776367188
L-Concrete,0.1,0.006,0.9831102629628437,0.96206844542355,20,52.42200813293457
L-Concrete,0.1,0.004,0.9905610630177162,0.9780497026259664,20,86.16100387573242
L-Concrete,0.1,0.003,0.9859229143496864,0.9718433462096305,20,116.32239303588867
L-Concrete,0.1,0.0025,0.9790290334870158,0.960942479579136,20,182.22393569946288
L-Concrete,0.1,0.002,0.9660096833855378,0.9420590920782141,20,202.73050384521486
L-Concrete,0.1,0.0015,0.974843796392839,0.9568785428135371,20,357.89845275878906
L-Concrete,0.1,0.001,0.9914286398500307,0.9834294991962406,20,561.54208984375
L-Concrete,0.1,0.00075,0.9828141605171318,0.9666284711466027,20,832.2444030761719
L-LSPIN,0.0,0.028,0.7835299422860715,0.7983413870863716,20,63.23436164855957
L-LSPIN,0.0,0.021,0.8179537980609977,0.796397596518428,20,79.31467170715332
L-LSPIN,0.0,0.014,0.8407555059810194,0.8279805707030693,20,126.17529067993163
L-LSPIN,0.0,0.0105,0.7777876860794812,0.7873643908920469,20,157.07374267578126
L-LSPIN,0.0,0.00875,0.8396598854929774,0.8180666492123981,20,178.2606185913086
L-LSPIN,0.0,0.007,0.8891632733133757,0.8651637291766929,20,222.5015441894531
L-LSPIN,0.0,0.00525,0.6830976859442155,0.7198591532135024,20,298.11543731689454
L-LSPIN,0.0,0.0035,0.804598207303056,0.804312986243449,20,471.99884033203125
L-LSPIN,0.025,0.028,0.8122862864958144,0.7870027991078767,20,145.50463104248047
L-LSPIN,0.025,0.021,0.8555043228803283,0.8167175131020361,20,178.75675582885742
L-LSPIN,0.025,0.014,0.8779805991403281,0.8368502429217513,20,274.16718139648435
L-LSPIN,0.025,0.0105,0.8715997703306215,0.8237813019167612,20,344.7606140136719
L-LSPIN,0.025,0.00875,0.8853417856545777,0.8529864044916107,20,507.2212341308594
L-LSPIN,0.025,0.007,0.8916232746685697,0.8507966215212704,20,670.0216186523437
L-LSPIN,0.025,0.00525,0.9475802646011757,0.907320102323521,20,1147.1131103515625
L-LSPIN,0.025,0.0035,0.9650133159698766,0.94071821000367,20,2018.6803100585937
