histology,n_test,cindex,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.0035,0.0,10123
kidneyclearcellrenalcarcinoma,156,0.6799311679931168,LSPIN,mlp,0.0035,0.0,10123
kidneypapillaryrenalcellcarcinoma,84,0.8125960061443932,LSPIN,mlp,0.0035,0.0,10123
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.0,10124
kidneyclearcellrenalcarcinoma,156,0.6881049688104969,LSPIN,mlp,0.0035,0.0,10124
kidneypapillaryrenalcellcarcinoma,84,0.804915514592934,LSPIN,mlp,0.0035,0.0,10124
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.0,10125
kidneyclearcellrenalcarcinoma,156,0.6640137664013767,LSPIN,mlp,0.0035,0.0,10125
kidneypapillaryrenalcellcarcinoma,84,0.8033794162826421,LSPIN,mlp,0.0035,0.0,10125
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.0,10126
kidneyclearcellrenalcarcinoma,156,0.7048827704882771,LSPIN,mlp,0.0035,0.0,10126
kidneypapillaryrenalcellcarcinoma,84,0.7956989247311828,LSPIN,mlp,0.0035,0.0,10126
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.0035,0.0,10127
kidneyclearcellrenalcarcinoma,156,0.6822972682297268,LSPIN,mlp,0.0035,0.0,10127
kidneypapillaryrenalcellcarcinoma,84,0.8018433179723502,LSPIN,mlp,0.0035,0.0,10127
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.00525,0.0,20123
kidneyclearcellrenalcarcinoma,156,0.6831576683157669,LSPIN,mlp,0.00525,0.0,20123
kidneypapillaryrenalcellcarcinoma,84,0.7987711213517665,LSPIN,mlp,0.00525,0.0,20123
kidneychromophobe,19,0.7323943661971831,LSPIN,mlp,0.00525,0.0,20124
kidneyclearcellrenalcarcinoma,156,0.6919767691976769,LSPIN,mlp,0.00525,0.0,20124
kidneypapillaryrenalcellcarcinoma,84,0.8141321044546851,LSPIN,mlp,0.00525,0.0,20124
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.00525,0.0,20125
kidneyclearcellrenalcarcinoma,156,0.6846633684663368,LSPIN,mlp,0.00525,0.0,20125
kidneypapillaryrenalcellcarcinoma,84,0.8172043010752689,LSPIN,mlp,0.00525,0.0,20125
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.00525,0.0,20126
kidneyclearcellrenalcarcinoma,156,0.703377070337707,LSPIN,mlp,0.00525,0.0,20126
kidneypapillaryrenalcellcarcinoma,84,0.7880184331797235,LSPIN,mlp,0.00525,0.0,20126
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.00525,0.0,20127
kidneyclearcellrenalcarcinoma,156,0.692837169283717,LSPIN,mlp,0.00525,0.0,20127
kidneypapillaryrenalcellcarcinoma,84,0.8310291858678955,LSPIN,mlp,0.00525,0.0,20127
kidneychromophobe,19,0.7605633802816901,LSPIN,mlp,0.007,0.0,30123
kidneyclearcellrenalcarcinoma,156,0.6702516670251667,LSPIN,mlp,0.007,0.0,30123
kidneypapillaryrenalcellcarcinoma,84,0.8202764976958525,LSPIN,mlp,0.007,0.0,30123
kidneychromophobe,19,0.7464788732394366,LSPIN,mlp,0.007,0.0,30124
kidneyclearcellrenalcarcinoma,156,0.6743385674338568,LSPIN,mlp,0.007,0.0,30124
kidneypapillaryrenalcellcarcinoma,84,0.7634408602150538,LSPIN,mlp,0.007,0.0,30124
kidneychromophobe,19,0.7323943661971831,LSPIN,mlp,0.007,0.0,30125
kidneyclearcellrenalcarcinoma,156,0.6790707679070768,LSPIN,mlp,0.007,0.0,30125
kidneypapillaryrenalcellcarcinoma,84,0.8033794162826421,LSPIN,mlp,0.007,0.0,30125
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.007,0.0,30126
kidneyclearcellrenalcarcinoma,156,0.695203269520327,LSPIN,mlp,0.007,0.0,30126
kidneypapillaryrenalcellcarcinoma,84,0.7803379416282642,LSPIN,mlp,0.007,0.0,30126
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.007,0.0,30127
kidneyclearcellrenalcarcinoma,156,0.6450849645084965,LSPIN,mlp,0.007,0.0,30127
kidneypapillaryrenalcellcarcinoma,84,0.7726574500768049,LSPIN,mlp,0.007,0.0,30127
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.00875,0.0,40123
kidneyclearcellrenalcarcinoma,156,0.696708969670897,LSPIN,mlp,0.00875,0.0,40123
kidneypapillaryrenalcellcarcinoma,84,0.8248847926267281,LSPIN,mlp,0.00875,0.0,40123
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.00875,0.0,40124
kidneyclearcellrenalcarcinoma,156,0.6648741664874166,LSPIN,mlp,0.00875,0.0,40124
kidneypapillaryrenalcellcarcinoma,84,0.8187403993855606,LSPIN,mlp,0.00875,0.0,40124
kidneychromophobe,19,0.7605633802816901,LSPIN,mlp,0.00875,0.0,40125
kidneyclearcellrenalcarcinoma,156,0.6463755646375564,LSPIN,mlp,0.00875,0.0,40125
kidneypapillaryrenalcellcarcinoma,84,0.7910906298003072,LSPIN,mlp,0.00875,0.0,40125
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.00875,0.0,40126
kidneyclearcellrenalcarcinoma,156,0.6620778662077866,LSPIN,mlp,0.00875,0.0,40126
kidneypapillaryrenalcellcarcinoma,84,0.7680491551459293,LSPIN,mlp,0.00875,0.0,40126
kidneychromophobe,19,0.7464788732394366,LSPIN,mlp,0.00875,0.0,40127
kidneyclearcellrenalcarcinoma,156,0.6485265648526565,LSPIN,mlp,0.00875,0.0,40127
kidneypapillaryrenalcellcarcinoma,84,0.7695852534562212,LSPIN,mlp,0.00875,0.0,40127
kidneychromophobe,19,0.7464788732394366,LSPIN,mlp,0.0105,0.0,50123
kidneyclearcellrenalcarcinoma,156,0.694773069477307,LSPIN,mlp,0.0105,0.0,50123
kidneypapillaryrenalcellcarcinoma,84,0.7956989247311828,LSPIN,mlp,0.0105,0.0,50123
kidneychromophobe,19,0.7887323943661971,LSPIN,mlp,0.0105,0.0,50124
kidneyclearcellrenalcarcinoma,156,0.6468057646805765,LSPIN,mlp,0.0105,0.0,50124
kidneypapillaryrenalcellcarcinoma,84,0.7788018433179723,LSPIN,mlp,0.0105,0.0,50124
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.0105,0.0,50125
kidneyclearcellrenalcarcinoma,156,0.6715422671542267,LSPIN,mlp,0.0105,0.0,50125
kidneypapillaryrenalcellcarcinoma,84,0.738863287250384,LSPIN,mlp,0.0105,0.0,50125
kidneychromophobe,19,0.7183098591549296,LSPIN,mlp,0.0105,0.0,50126
kidneyclearcellrenalcarcinoma,156,0.6754140675414068,LSPIN,mlp,0.0105,0.0,50126
kidneypapillaryrenalcellcarcinoma,84,0.7972350230414746,LSPIN,mlp,0.0105,0.0,50126
kidneychromophobe,19,0.7605633802816901,LSPIN,mlp,0.0105,0.0,50127
kidneyclearcellrenalcarcinoma,156,0.6536889653688965,LSPIN,mlp,0.0105,0.0,50127
kidneypapillaryrenalcellcarcinoma,84,0.8003072196620584,LSPIN,mlp,0.0105,0.0,50127
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.014,0.0,60123
kidneyclearcellrenalcarcinoma,156,0.702731770273177,LSPIN,mlp,0.014,0.0,60123
kidneypapillaryrenalcellcarcinoma,84,0.8248847926267281,LSPIN,mlp,0.014,0.0,60123
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.014,0.0,60124
kidneyclearcellrenalcarcinoma,156,0.6689610668961067,LSPIN,mlp,0.014,0.0,60124
kidneypapillaryrenalcellcarcinoma,84,0.7526881720430108,LSPIN,mlp,0.014,0.0,60124
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.014,0.0,60125
kidneyclearcellrenalcarcinoma,156,0.6579909657990965,LSPIN,mlp,0.014,0.0,60125
kidneypapillaryrenalcellcarcinoma,84,0.8294930875576036,LSPIN,mlp,0.014,0.0,60125
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.014,0.0,60126
kidneyclearcellrenalcarcinoma,156,0.6745536674553667,LSPIN,mlp,0.014,0.0,60126
kidneypapillaryrenalcellcarcinoma,84,0.8079877112135176,LSPIN,mlp,0.014,0.0,60126
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.014,0.0,60127
kidneyclearcellrenalcarcinoma,156,0.6775650677565068,LSPIN,mlp,0.014,0.0,60127
kidneypapillaryrenalcellcarcinoma,84,0.7480798771121352,LSPIN,mlp,0.014,0.0,60127
kidneychromophobe,19,0.7323943661971831,LSPIN,mlp,0.021,0.0,70123
kidneyclearcellrenalcarcinoma,156,0.6885351688535168,LSPIN,mlp,0.021,0.0,70123
kidneypapillaryrenalcellcarcinoma,84,0.8233486943164362,LSPIN,mlp,0.021,0.0,70123
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.021,0.0,70124
kidneyclearcellrenalcarcinoma,156,0.6835878683587868,LSPIN,mlp,0.021,0.0,70124
kidneypapillaryrenalcellcarcinoma,84,0.7880184331797235,LSPIN,mlp,0.021,0.0,70124
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.021,0.0,70125
kidneyclearcellrenalcarcinoma,156,0.6769197676919768,LSPIN,mlp,0.021,0.0,70125
kidneypapillaryrenalcellcarcinoma,84,0.7880184331797235,LSPIN,mlp,0.021,0.0,70125
kidneychromophobe,19,0.7464788732394366,LSPIN,mlp,0.021,0.0,70126
kidneyclearcellrenalcarcinoma,156,0.6754140675414068,LSPIN,mlp,0.021,0.0,70126
kidneypapillaryrenalcellcarcinoma,84,0.8433179723502304,LSPIN,mlp,0.021,0.0,70126
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.021,0.0,70127
kidneyclearcellrenalcarcinoma,156,0.6816519681651968,LSPIN,mlp,0.021,0.0,70127
kidneypapillaryrenalcellcarcinoma,84,0.82642089093702,LSPIN,mlp,0.021,0.0,70127
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.028,0.0,80123
kidneyclearcellrenalcarcinoma,156,0.6498171649817165,LSPIN,mlp,0.028,0.0,80123
kidneypapillaryrenalcellcarcinoma,84,0.7864823348694316,LSPIN,mlp,0.028,0.0,80123
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.028,0.0,80124
kidneyclearcellrenalcarcinoma,156,0.6625080662508066,LSPIN,mlp,0.028,0.0,80124
kidneypapillaryrenalcellcarcinoma,84,0.8202764976958525,LSPIN,mlp,0.028,0.0,80124
