model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,mlp,0.0035,0.0,0,1,0.9074395013571248,3.5440088757396446,0.5522388059701493,3.735576923076923,0.6
LSPIN,lspin_tf,mlp,0.0035,0.0,0,2,0.9214355706163458,4.02292899408284,0.6774193548387096,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,mlp,0.0035,0.0,0,3,0.9040628531109356,3.927144970414201,0.6507936507936508,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.0035,0.0,0,4,0.920904537470072,3.831360946745562,0.625,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,mlp,0.0035,0.0,1,2,0.9213710965480448,4.02292899408284,0.6774193548387096,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.0035,0.0,1,3,0.9163970632349736,4.02292899408284,0.6774193548387096,4.118713017751479,0.7049180327868853
LSPIN,lspin_tf,mlp,0.0035,0.0,1,4,0.9320383259671544,4.02292899408284,0.6774193548387096,3.927144970414201,0.6507936507936508
LSPIN,lspin_tf,mlp,0.0035,0.0,2,3,0.9179223866151306,4.310281065088757,0.7627118644067796,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.0035,0.0,2,4,0.925827095591962,4.214497041420118,0.7333333333333333,3.927144970414201,0.6507936507936508
LSPIN,lspin_tf,mlp,0.0035,0.0,3,4,0.9365559593565692,4.118713017751479,0.7049180327868853,4.406065088757396,0.7931034482758621
LSPIN,lspin_tf,mlp,0.00525,0.0,0,1,0.9187577342982398,4.214497041420118,0.7333333333333333,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.00525,0.0,0,2,0.9267364796625784,3.735576923076923,0.6,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.00525,0.0,0,3,0.9344494020921904,4.118713017751479,0.7049180327868853,3.927144970414201,0.6507936507936508
LSPIN,lspin_tf,mlp,0.00525,0.0,0,4,0.9468103937036512,4.406065088757396,0.7931034482758621,3.927144970414201,0.6507936507936508
LSPIN,lspin_tf,mlp,0.00525,0.0,1,2,0.8835343190520906,3.639792899408284,0.5757575757575758,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,mlp,0.00525,0.0,1,3,0.9239416288199866,4.02292899408284,0.6774193548387096,3.735576923076923,0.6
LSPIN,lspin_tf,mlp,0.00525,0.0,1,4,0.9164124549492058,4.310281065088757,0.7627118644067796,3.735576923076923,0.6
LSPIN,lspin_tf,mlp,0.00525,0.0,2,3,0.9182830030537608,3.927144970414201,0.6507936507936508,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,mlp,0.00525,0.0,2,4,0.92339082779286,3.927144970414201,0.6507936507936508,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.00525,0.0,3,4,0.936689856377546,4.118713017751479,0.7049180327868853,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.007,0.0,0,1,0.8578897956550102,3.5440088757396446,0.5522388059701493,3.256656804733728,0.4857142857142857
