model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs,mean_affinity_corr,mean_risk_corr,mean_top_risk_overlap_ratio,mean_cluster_ari,mean_cluster_nmi
Concrete,0.0,0.005,113.47142868041992,15.456038405290926,0.7069402132520943,0.012505351892669369,0.9527011406918893,0.014515579967222188,510.9,328.9,306.0615245736579,10,0.9706632474615527,0.8694488787146003,3.93991617357002,0.6651145404427525,0.7250507510660938
Concrete,0.0,0.004,164.062548828125,19.394149658637154,0.7028846153846153,0.008564220364759692,0.9735776457635202,0.006602304304375838,687.3,457.1,415.29967567229704,10,0.9643197210554694,0.8678799422677216,3.9952580539119,0.6714901404210191,0.7061487531294718
Concrete,0.0,0.003,257.36486358642577,54.822701680565,0.7025990099009901,0.01758933460891409,0.9798944180391558,0.009808315999471084,901.2,654.8,584.6081095587822,10,0.9722216561466689,0.8156551402704537,3.488666995397765,0.639907256399701,0.6934902069242274
Concrete,0.0,0.0025,332.76564025878906,63.15794313643057,0.7085110434120334,0.020688671249374704,0.98554738636128,0.005283600928934276,1049.1,805.4,710.5090233610019,10,0.9670220748496041,0.8041294322511683,3.322641354372123,0.6724401829678767,0.7184360175270695
Concrete,0.0,0.002,402.38609924316404,66.64588894571546,0.7122810357958873,0.015934029406635585,0.9882058165781229,0.004089675022072536,1209.3,944.3,836.1657918042741,10,0.9783256507155973,0.8423144166406226,3.548265943458251,0.640178869802718,0.6881706876966325
Concrete,0.0,0.0017,571.8050170898438,72.67014107523109,0.694487814166032,0.01574211154712263,0.9920772102555329,0.0012228009482843883,1510.1,1232.1,1088.3587726464375,10,0.9738299378445154,0.8420787653714283,3.4162968441814594,0.6623343720322669,0.7050318833744077
Concrete,0.0,0.0014422495703074,594.2015380859375,57.03449728984047,0.7037604722010663,0.03277454340126465,0.9925607831872278,0.0020443140085750562,1627.1,1323.5,1156.1885688952646,10,0.9566952454547255,0.7522668365882704,3.248142669296515,0.6321092184006646,0.6781860509115851
Concrete,0.0,0.0012,797.9899658203125,82.13227554762905,0.7048076923076924,0.032486198415993414,0.9949124607577794,0.0007158236610877431,1939.7,1650.9,1438.57035381347,10,0.9681913855525366,0.7377975136002991,3.2247287968441816,0.7698663477440191,0.7740776502996329
Concrete,0.0,0.001,1010.5733703613281,143.11467013538027,0.6615289413556741,0.0745721595640587,0.9959281079119545,0.0009862853744489067,2250.0,1957.2,1713.6863485085917,10,0.9677174669361759,0.5662920021786527,2.558497698882314,0.843096312291369,0.8256290479970201
Concrete,0.0,0.00085,1119.5011413574218,321.45472964675827,0.6771753617669459,0.028813384075742705,0.9935878196317749,0.010594658226223361,2412.6,2087.3,1836.160737365152,10,0.948965812421998,0.626683801648421,2.6649243918474688,0.8096217348345688,0.7844528323172044
