model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.0018,0.0,0,1,0.8992369345164456
LSPIN,lspin_tf,0.0018,0.0,0,2,0.8830154224862837
LSPIN,lspin_tf,0.0018,0.0,0,3,0.9486897387523
LSPIN,lspin_tf,0.0018,0.0,0,4,0.9418835648549104
LSPIN,lspin_tf,0.0018,0.0,0,5,0.9062874933296672
LSPIN,lspin_tf,0.0018,0.0,0,6,0.9019406090790364
LSPIN,lspin_tf,0.0018,0.0,0,7,0.8599419343702239
LSPIN,lspin_tf,0.0018,0.0,0,8,0.8999323099293902
LSPIN,lspin_tf,0.0018,0.0,0,9,0.9449453490243432
LSPIN,lspin_tf,0.0018,0.0,1,2,0.9308759457164952
LSPIN,lspin_tf,0.0018,0.0,1,3,0.9367936916860556
LSPIN,lspin_tf,0.0018,0.0,1,4,0.9592470776693296
LSPIN,lspin_tf,0.0018,0.0,1,5,0.90161307157909
LSPIN,lspin_tf,0.0018,0.0,1,6,0.94762325103654
LSPIN,lspin_tf,0.0018,0.0,1,7,0.965506863792353
LSPIN,lspin_tf,0.0018,0.0,1,8,0.958328006937194
LSPIN,lspin_tf,0.0018,0.0,1,9,0.8830379239062279
LSPIN,lspin_tf,0.0018,0.0,2,3,0.8724629219331435
LSPIN,lspin_tf,0.0018,0.0,2,4,0.9206209725416374
LSPIN,lspin_tf,0.0018,0.0,2,5,0.8117388764069833
LSPIN,lspin_tf,0.0018,0.0,2,6,0.9036584184374366
LSPIN,lspin_tf,0.0018,0.0,2,7,0.919680014577688
LSPIN,lspin_tf,0.0018,0.0,2,8,0.9301202786659664
LSPIN,lspin_tf,0.0018,0.0,2,9,0.8721199594080914
LSPIN,lspin_tf,0.0018,0.0,3,4,0.9607155424918236
LSPIN,lspin_tf,0.0018,0.0,3,5,0.9706085646576526
LSPIN,lspin_tf,0.0018,0.0,3,6,0.9409574495923924
LSPIN,lspin_tf,0.0018,0.0,3,7,0.8882881233355652
LSPIN,lspin_tf,0.0018,0.0,3,8,0.9392452143322292
LSPIN,lspin_tf,0.0018,0.0,3,9,0.9388921290016712
LSPIN,lspin_tf,0.0018,0.0,4,5,0.933497907073524
LSPIN,lspin_tf,0.0018,0.0,4,6,0.9435685053107412
LSPIN,lspin_tf,0.0018,0.0,4,7,0.9531543047196934
LSPIN,lspin_tf,0.0018,0.0,4,8,0.9378377434416388
LSPIN,lspin_tf,0.0018,0.0,4,9,0.9017997604294284
LSPIN,lspin_tf,0.0018,0.0,5,6,0.9224264296010054
LSPIN,lspin_tf,0.0018,0.0,5,7,0.8524249638664576
LSPIN,lspin_tf,0.0018,0.0,5,8,0.9111365925347722
LSPIN,lspin_tf,0.0018,0.0,5,9,0.8997675253074728
LSPIN,lspin_tf,0.0018,0.0,6,7,0.9162417423995434
LSPIN,lspin_tf,0.0018,0.0,6,8,0.9546284558558734
LSPIN,lspin_tf,0.0018,0.0,6,9,0.9110373934894892
LSPIN,lspin_tf,0.0018,0.0,7,8,0.9207419796506098
