model_family,lambda_sample_smooth,lambda_sparse,mean_affinity_corr,median_affinity_corr,n_pairs,mean_Khard
Concrete,0.0,0.005,0.9706632474615527,0.9717267910670458,45,113.47142868041992
Concrete,0.0,0.004,0.9643197210554694,0.9669534619742608,45,164.062548828125
Concrete,0.0,0.003,0.9722216561466689,0.9751436678755062,45,257.36486358642577
Concrete,0.0,0.0025,0.9670220748496041,0.9682793751917932,45,332.76564025878906
Concrete,0.0,0.002,0.9783256507155973,0.9803102433022636,45,402.38609924316404
Concrete,0.0,0.0017,0.9738299378445154,0.9761598732017962,45,571.8050170898438
Concrete,0.0,0.0014422495703074,0.9566952454547255,0.9555459992528366,45,594.2015380859375
Concrete,0.0,0.0012,0.9681913855525366,0.9703717518804592,45,797.9899658203125
Concrete,0.0,0.001,0.9677174669361759,0.9684183608669036,45,1010.5733703613281
Concrete,0.0,0.00085,0.948965812421998,0.9644874377887362,45,1119.5011413574218
Concrete,0.0,0.0007,0.9680388071216146,0.975000100573932,45,1305.0776245117188
Concrete,0.0,0.0006,0.9648641940800566,0.9664732152420742,45,1418.1606079101562
Concrete,0.05,0.003,0.9792071302790623,0.978976435337819,45,288.54169921875
Concrete,0.05,0.0025,0.9794153063201597,0.9829202423671942,45,360.7756744384766
Concrete,0.05,0.002,0.9801302158741123,0.9811057773355768,45,532.3115783691406
Concrete,0.05,0.0017,0.9895717534183517,0.9941998675836664,45,605.4868774414062
Concrete,0.05,0.0014422495703074,0.984027917147561,0.9874685701399843,45,748.9671936035156
Concrete,0.05,0.0012,0.98980557700078,0.990819686634026,45,968.8177673339844
Concrete,0.05,0.001,0.9909871164384266,0.9917117675704794,45,1063.6420837402343
Concrete,0.05,0.00085,0.9876418957087806,0.992144529328961,45,1253.280694580078
Concrete,0.1,0.003,0.9832112177839232,0.986977634377505,45,260.34092864990237
Concrete,0.1,0.0025,0.9779055951883944,0.9807295171625922,45,334.90424194335935
Concrete,0.1,0.002,0.9928587941527892,0.9947487402527032,45,485.38416748046876
Concrete,0.1,0.0017,0.9890389627631521,0.9924245842625992,45,582.67568359375
Concrete,0.1,0.0014422495703074,0.9914278447395476,0.991551262699391,45,781.8845581054687
Concrete,0.1,0.0012,0.9907615962144021,0.993066740698894,45,949.1347534179688
Concrete,0.1,0.001,0.9931670039856052,0.9937201522522228,45,1105.408868408203
Concrete,0.1,0.00085,0.989517225279335,0.9912616650173816,45,1393.3764282226562
Concrete,0.15,0.003,0.9931200730166642,0.9936379001539626,45,251.7061782836914
Concrete,0.15,0.0025,0.9796593084098257,0.9813051621017664,45,373.2015411376953
Concrete,0.15,0.002,0.9893055582148063,0.990117867630598,45,460.16717834472655
Concrete,0.15,0.0017,0.9818972205439367,0.9810281076916402,45,612.3633209228516
Concrete,0.15,0.0014422495703074,0.9875737349238695,0.9909724035045716,45,691.0444091796875
Concrete,0.15,0.0012,0.9900634858515466,0.9918571973452268,45,885.8494140625
Concrete,0.15,0.001,0.9916519943515933,0.9927315529071032,45,1154.5420776367187
Concrete,0.15,0.00085,0.989171269970562,0.9917895614384152,45,1399.9602172851562
Concrete,0.2,0.003,0.9907688667753299,0.991730143045736,45,271.7231674194336
Concrete,0.2,0.0025,0.9873893673059209,0.9912721137008826,45,362.34093017578124
Concrete,0.2,0.002,0.9828934870270677,0.9846145404202684,45,469.3942077636719
Concrete,0.2,0.0017,0.9890433345284014,0.989524081460376,45,625.5382293701172
