model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,0.0018,0.0,0,1,0.904155989858378,0.8431204965747636
LSPIN,lspin_tf,0.0018,0.0,0,2,0.8835618102794038,0.8284963879219451
LSPIN,lspin_tf,0.0018,0.0,0,3,0.8969682001360294,0.8413845676119258
LSPIN,lspin_tf,0.0018,0.0,0,4,0.8830035384268958,0.8502802388995517
LSPIN,lspin_tf,0.0018,0.0,0,5,0.8229141467417973,0.7727512562142493
LSPIN,lspin_tf,0.0018,0.0,0,6,0.8697546757202912,0.8385931601584936
LSPIN,lspin_tf,0.0018,0.0,0,7,0.876702218856012,0.8295211782620983
LSPIN,lspin_tf,0.0018,0.0,0,8,0.8837777315934122,0.8269340125245951
LSPIN,lspin_tf,0.0018,0.0,0,9,0.911139691031793,0.8670653759367083
LSPIN,lspin_tf,0.0018,0.0,1,2,0.9657391687985856,0.9370703863033358
LSPIN,lspin_tf,0.0018,0.0,1,3,0.951915319157942,0.9130542904095772
LSPIN,lspin_tf,0.0018,0.0,1,4,0.9127006799789728,0.8547297846865471
LSPIN,lspin_tf,0.0018,0.0,1,5,0.8728542097146493,0.806128184451312
LSPIN,lspin_tf,0.0018,0.0,1,6,0.9445277108494138,0.898756347444117
LSPIN,lspin_tf,0.0018,0.0,1,7,0.9338262902372084,0.8824852573621998
LSPIN,lspin_tf,0.0018,0.0,1,8,0.9504429261761344,0.8951204826786239
LSPIN,lspin_tf,0.0018,0.0,1,9,0.9648649517644416,0.9386137696886188
LSPIN,lspin_tf,0.0018,0.0,2,3,0.9582644751608292,0.9331463202725118
LSPIN,lspin_tf,0.0018,0.0,2,4,0.9185891336072198,0.862805282435543
LSPIN,lspin_tf,0.0018,0.0,2,5,0.87568178725905,0.804119461404069
LSPIN,lspin_tf,0.0018,0.0,2,6,0.9787505826723462,0.9619813797327854
LSPIN,lspin_tf,0.0018,0.0,2,7,0.9396879887779463,0.8847969118148828
LSPIN,lspin_tf,0.0018,0.0,2,8,0.9565300533879796,0.905714842989089
LSPIN,lspin_tf,0.0018,0.0,2,9,0.9582497278695076,0.9179149198401748
LSPIN,lspin_tf,0.0018,0.0,3,4,0.9320919062230314,0.8813270371336521
LSPIN,lspin_tf,0.0018,0.0,3,5,0.8801046680268382,0.8081684063219363
LSPIN,lspin_tf,0.0018,0.0,3,6,0.937074475761252,0.8946592797407009
LSPIN,lspin_tf,0.0018,0.0,3,7,0.9260172256283776,0.8686730217542198
LSPIN,lspin_tf,0.0018,0.0,3,8,0.942623085033295,0.8813339981311306
LSPIN,lspin_tf,0.0018,0.0,3,9,0.9445265115196504,0.8940905850196992
LSPIN,lspin_tf,0.0018,0.0,4,5,0.8956619833473537,0.8177214997217599
LSPIN,lspin_tf,0.0018,0.0,4,6,0.903743356861896,0.8658801144535935
LSPIN,lspin_tf,0.0018,0.0,4,7,0.9655599232072736,0.9299093431701002
LSPIN,lspin_tf,0.0018,0.0,4,8,0.91796802612212,0.8612639632697714
LSPIN,lspin_tf,0.0018,0.0,4,9,0.905054582378708,0.8323028522693544
LSPIN,lspin_tf,0.0018,0.0,5,6,0.8553502368510262,0.7792954920984165
LSPIN,lspin_tf,0.0018,0.0,5,7,0.8902041075147766,0.8097149653609143
LSPIN,lspin_tf,0.0018,0.0,5,8,0.8529137826165922,0.7675914629051377
LSPIN,lspin_tf,0.0018,0.0,5,9,0.9072291072151724,0.8569883710761055
LSPIN,lspin_tf,0.0018,0.0,6,7,0.9243321709169724,0.876049669425802
LSPIN,lspin_tf,0.0018,0.0,6,8,0.9592404201334396,0.9209541970427764
LSPIN,lspin_tf,0.0018,0.0,6,9,0.9375228634160292,0.8914415536307052
LSPIN,lspin_tf,0.0018,0.0,7,8,0.9514590810941188,0.9107845677705128
LSPIN,lspin_tf,0.0018,0.0,7,9,0.9262058059958844,0.8612519467541604
LSPIN,lspin_tf,0.0018,0.0,8,9,0.9433207182682684,0.8900326427125953
LSPIN,lspin_tf,0.0012,0.0,0,1,0.979545740785292,0.9546455523027172
LSPIN,lspin_tf,0.0012,0.0,0,2,0.9052832122150216,0.8358548718406729
LSPIN,lspin_tf,0.0012,0.0,0,3,0.916625718970397,0.8982417856977912
LSPIN,lspin_tf,0.0012,0.0,0,4,0.9691278784178632,0.9325763031487364
LSPIN,lspin_tf,0.0012,0.0,0,5,0.9627368393573136,0.91831635901114
LSPIN,lspin_tf,0.0012,0.0,0,6,0.8853475411140208,0.8125009898928567
LSPIN,lspin_tf,0.0012,0.0,0,7,0.9236226568989176,0.8902091159783114
LSPIN,lspin_tf,0.0012,0.0,0,8,0.9513060023687748,0.9191071308257804
LSPIN,lspin_tf,0.0012,0.0,0,9,0.979545740785292,0.9546455523027172
LSPIN,lspin_tf,0.0012,0.0,1,2,0.9248856880575442,0.865220399211355
LSPIN,lspin_tf,0.0012,0.0,1,3,0.9237510137230373,0.8910699266599958
LSPIN,lspin_tf,0.0012,0.0,1,4,0.9894410166295756,0.978015188740568
LSPIN,lspin_tf,0.0012,0.0,1,5,0.9829550755956592,0.9575504718078608
LSPIN,lspin_tf,0.0012,0.0,1,6,0.8776042518205077,0.8092820475317839
LSPIN,lspin_tf,0.0012,0.0,1,7,0.9309950046138232,0.8898737047289177
LSPIN,lspin_tf,0.0012,0.0,1,8,0.9589393051061488,0.9212101311851147
LSPIN,lspin_tf,0.0012,0.0,1,9,1.0,1.0
LSPIN,lspin_tf,0.0012,0.0,2,3,0.9219937359803294,0.8588658382404865
LSPIN,lspin_tf,0.0012,0.0,2,4,0.9148517879631204,0.8537578375374081
LSPIN,lspin_tf,0.0012,0.0,2,5,0.941286697487099,0.8901941514856472
LSPIN,lspin_tf,0.0012,0.0,2,6,0.8610808122947432,0.8045629885717578
LSPIN,lspin_tf,0.0012,0.0,2,7,0.9305100307669116,0.8754435299430918
LSPIN,lspin_tf,0.0012,0.0,2,8,0.9214855176768104,0.8528439383912093
LSPIN,lspin_tf,0.0012,0.0,2,9,0.9248856880575442,0.8652203992113551
LSPIN,lspin_tf,0.0012,0.0,3,4,0.9133632471040212,0.8689033626000172
LSPIN,lspin_tf,0.0012,0.0,3,5,0.9247489338709638,0.8784723682978554
LSPIN,lspin_tf,0.0012,0.0,3,6,0.8232285237380413,0.7690268260451755
LSPIN,lspin_tf,0.0012,0.0,3,7,0.97912111971983,0.9547938842869832
LSPIN,lspin_tf,0.0012,0.0,3,8,0.9512005161618512,0.9195917430553744
LSPIN,lspin_tf,0.0012,0.0,3,9,0.9237510137230373,0.8910699266599958
LSPIN,lspin_tf,0.0012,0.0,4,5,0.972520683804826,0.9414834984805632
LSPIN,lspin_tf,0.0012,0.0,4,6,0.8672540441830404,0.79261617125052
LSPIN,lspin_tf,0.0012,0.0,4,7,0.9207245442753192,0.8678087379681556
LSPIN,lspin_tf,0.0012,0.0,4,8,0.9486510632166384,0.8992217542785239
LSPIN,lspin_tf,0.0012,0.0,4,9,0.9894410166295756,0.978015188740568
LSPIN,lspin_tf,0.0012,0.0,5,6,0.894037516829709,0.8420605097266118
LSPIN,lspin_tf,0.0012,0.0,5,7,0.9323695568127311,0.8820043732578698
LSPIN,lspin_tf,0.0012,0.0,5,8,0.9605891890521228,0.9168208619232489
LSPIN,lspin_tf,0.0012,0.0,5,9,0.9829550755956592,0.9575504718078608
LSPIN,lspin_tf,0.0012,0.0,6,7,0.8306535786458016,0.7711072266486578
LSPIN,lspin_tf,0.0012,0.0,6,8,0.857440321573989,0.7934303141897856
LSPIN,lspin_tf,0.0012,0.0,6,9,0.8776042518205077,0.8092820475317839
LSPIN,lspin_tf,0.0012,0.0,7,8,0.9715990148706874,0.956414510590623
LSPIN,lspin_tf,0.0012,0.0,7,9,0.9309950046138232,0.8898737047289177
LSPIN,lspin_tf,0.0012,0.0,8,9,0.9589393051061488,0.9212101311851146
LSPIN,lspin_tf,0.0008,0.0,0,1,0.9201696474488218,0.8592397435146608
LSPIN,lspin_tf,0.0008,0.0,0,2,0.9669492676649528,0.927809826482001
LSPIN,lspin_tf,0.0008,0.0,0,3,0.8872638703548043,0.8113666705113733
LSPIN,lspin_tf,0.0008,0.0,0,4,0.886249009359869,0.8005412155980319
LSPIN,lspin_tf,0.0008,0.0,0,5,0.9168731917855462,0.8430305255731785
LSPIN,lspin_tf,0.0008,0.0,0,6,0.9580567992992342,0.909781244357756
LSPIN,lspin_tf,0.0008,0.0,0,7,0.9871896372632982,0.9647295603799524
LSPIN,lspin_tf,0.0008,0.0,0,8,0.924223090278929,0.8902891815808691
LSPIN,lspin_tf,0.0008,0.0,0,9,0.9291457742628748,0.8664247358164602
LSPIN,lspin_tf,0.0008,0.0,1,2,0.934121873981136,0.8903967685897267
LSPIN,lspin_tf,0.0008,0.0,1,3,0.9112208884041606,0.8514228701531311
LSPIN,lspin_tf,0.0008,0.0,1,4,0.9422658820520275,0.8857899136884635
LSPIN,lspin_tf,0.0008,0.0,1,5,0.9203036019754148,0.8640307018822337
LSPIN,lspin_tf,0.0008,0.0,1,6,0.9611014005340672,0.9287480449127848
LSPIN,lspin_tf,0.0008,0.0,1,7,0.931989171692773,0.8783440158403256
LSPIN,lspin_tf,0.0008,0.0,1,8,0.8596866688562252,0.7823583171055389
LSPIN,lspin_tf,0.0008,0.0,1,9,0.9800504659040276,0.952960924511128
LSPIN,lspin_tf,0.0008,0.0,2,3,0.9009224768758805,0.8407122112065756
LSPIN,lspin_tf,0.0008,0.0,2,4,0.8985919020278501,0.8211279861671348
LSPIN,lspin_tf,0.0008,0.0,2,5,0.9309189715407234,0.8755556311405024
LSPIN,lspin_tf,0.0008,0.0,2,6,0.9625675996800914,0.9191655705705652
LSPIN,lspin_tf,0.0008,0.0,2,7,0.9795021966569633,0.955097955576952
LSPIN,lspin_tf,0.0008,0.0,2,8,0.9056700830886586,0.8523917356849067
LSPIN,lspin_tf,0.0008,0.0,2,9,0.9339984183442522,0.8864660757483332
LSPIN,lspin_tf,0.0008,0.0,3,4,0.9163800274089652,0.8609705437256445
LSPIN,lspin_tf,0.0008,0.0,3,5,0.9294426871278064,0.8656894882725767
LSPIN,lspin_tf,0.0008,0.0,3,6,0.91600673505888,0.8515012753361645
LSPIN,lspin_tf,0.0008,0.0,3,7,0.89903750017881,0.8309564401399149
LSPIN,lspin_tf,0.0008,0.0,3,8,0.9346293696010424,0.8690961486079457
LSPIN,lspin_tf,0.0008,0.0,3,9,0.8961818676312407,0.8267529523221562
LSPIN,lspin_tf,0.0008,0.0,4,5,0.9389733902321278,0.8811058140487075
LSPIN,lspin_tf,0.0008,0.0,4,6,0.9253591748478094,0.8578837449291238
LSPIN,lspin_tf,0.0008,0.0,4,7,0.8973051486787504,0.8159641575157586
LSPIN,lspin_tf,0.0008,0.0,4,8,0.8541693258138501,0.7701482979045514
LSPIN,lspin_tf,0.0008,0.0,4,9,0.9269026482424072,0.8681831384178459
LSPIN,lspin_tf,0.0008,0.0,5,6,0.9459437552029738,0.8938515471799008
