model_family,lambda_sample_smooth,lambda_sparse,mean_cluster_ari,mean_cluster_nmi,n_pairs,mean_Khard
Concrete,0.0,0.005,0.6651145404427525,0.7250507510660938,45,113.47142868041992
Concrete,0.0,0.004,0.6714901404210191,0.7061487531294718,45,164.062548828125
Concrete,0.0,0.003,0.639907256399701,0.6934902069242274,45,257.36486358642577
Concrete,0.0,0.0025,0.6724401829678767,0.7184360175270695,45,332.76564025878906
Concrete,0.0,0.002,0.640178869802718,0.6881706876966325,45,402.38609924316404
Concrete,0.0,0.0017,0.6623343720322669,0.7050318833744077,45,571.8050170898438
Concrete,0.0,0.0014422495703074,0.6321092184006646,0.6781860509115851,45,594.2015380859375
Concrete,0.0,0.0012,0.7698663477440191,0.7740776502996329,45,797.9899658203125
Concrete,0.0,0.001,0.843096312291369,0.8256290479970201,45,1010.5733703613281
Concrete,0.0,0.00085,0.8096217348345688,0.7844528323172044,45,1119.5011413574218
Concrete,0.0,0.0007,0.9308388419658082,0.8778944876894075,45,1305.0776245117188
Concrete,0.0,0.0006,0.9321349763577427,0.888525000072834,45,1418.1606079101562
Concrete,0.05,0.003,0.7944334737259502,0.811922690746057,45,288.54169921875
Concrete,0.05,0.0025,0.9688761217438671,0.9392901012124631,45,360.7756744384766
Concrete,0.05,0.002,0.9635980193327834,0.9311238982788652,45,532.3115783691406
Concrete,0.05,0.0017,0.97181010186395,0.9428351363487582,45,605.4868774414062
Concrete,0.05,0.0014422495703074,0.9653957763326814,0.9357170713573479,45,748.9671936035156
Concrete,0.05,0.0012,0.9702063984668825,0.941688843407184,45,968.8177673339844
Concrete,0.05,0.001,0.9712043818020895,0.9417758165449687,45,1063.6420837402343
Concrete,0.05,0.00085,0.9771356727195202,0.9530150866702076,45,1253.280694580078
Concrete,0.1,0.003,0.9682134842167304,0.9366685684598396,45,260.34092864990237
Concrete,0.1,0.0025,0.9614448960182385,0.9267592749083319,45,334.90424194335935
Concrete,0.1,0.002,0.976425083533462,0.9508313771222557,45,485.38416748046876
Concrete,0.1,0.0017,0.973019792304255,0.9452454544887454,45,582.67568359375
Concrete,0.1,0.0014422495703074,0.9752414119272016,0.9511978536511312,45,781.8845581054687
Concrete,0.1,0.0012,0.975228285664399,0.9498470773145483,45,949.1347534179688
Concrete,0.1,0.001,0.9826257219335341,0.9676763960148997,45,1105.408868408203
Concrete,0.1,0.00085,0.9772013078086316,0.9518975506422609,45,1393.3764282226562
Concrete,0.15,0.003,0.963042524060945,0.9236612720619093,45,251.7061782836914
Concrete,0.15,0.0025,0.9609524787300971,0.9264222227021434,45,373.2015411376953
Concrete,0.15,0.002,0.9779055769475262,0.9560616288313761,45,460.16717834472655
Concrete,0.15,0.0017,0.9596474906381445,0.9257707281936387,45,612.3633209228516
Concrete,0.15,0.0014422495703074,0.9716167305150909,0.9422089529995914,45,691.0444091796875
Concrete,0.15,0.0012,0.9724823010292312,0.9462592556680723,45,885.8494140625
Concrete,0.15,0.001,0.9816795473610805,0.9627404679553541,45,1154.5420776367187
Concrete,0.15,0.00085,0.9676612019024111,0.9386257229475267,45,1399.9602172851562
Concrete,0.2,0.003,0.9701341852698325,0.9368241908724073,45,271.7231674194336
Concrete,0.2,0.0025,0.965936264616869,0.9313820211033751,45,362.34093017578124
Concrete,0.2,0.002,0.9632532545392769,0.9322599221120983,45,469.3942077636719
Concrete,0.2,0.0017,0.9701293062272103,0.9435509344808772,45,625.5382293701172
Concrete,0.2,0.0014422495703074,0.9690953748338322,0.9401794873140058,45,751.5463317871094
Concrete,0.2,0.0012,0.9770796404033929,0.9560200816338641,45,975.0444091796875
Concrete,0.2,0.001,0.9842041270812711,0.96635057136176,45,1135.3826293945312
Concrete,0.2,0.00085,0.9737621752283682,0.9526388926997083,45,1287.1355224609374
LSPIN,0.0,0.0018,0.9180623788041848,0.8665337614529058,45,235.4104263305664
LSPIN,0.0,0.0016,0.9204537149385358,0.8687831247487632,45,262.9930450439453
LSPIN,0.0,0.0015,0.9276182057930036,0.8817023444136927,45,310.3737426757813
LSPIN,0.0,0.0013,0.913248028736589,0.8685745808213043,45,363.67026672363284
LSPIN,0.0,0.0012,0.9308665439563127,0.8873325739444774,45,389.5799194335938
LSPIN,0.0,0.0011,0.9434332557336728,0.8999170870893939,45,439.1911224365234
LSPIN,0.0,0.001,0.9102775502349914,0.858024715946663,45,456.5142852783203
LSPIN,0.0,0.0009,0.8881165459293887,0.8292271505836317,45,515.6799224853515
LSPIN,0.0,0.0008,0.9250239221732041,0.8686073288048745,45,610.3258666992188
LSPIN,0.0,0.0007,0.9064294132901256,0.8524620659983211,45,704.0691162109375
LSPIN,0.0,0.0006,0.9078091634888972,0.8458223712908507,45,803.8482604980469
LSPIN,0.0,0.0005,0.9021827270822141,0.8345811564023642,45,892.3405456542969
LSPIN,0.05,0.0015,0.9512835376220475,0.9246100539392439,45,292.19652404785154
LSPIN,0.05,0.0013,0.9615819112600945,0.9307931194852622,45,352.47837524414064
LSPIN,0.05,0.0012,0.9499619080001872,0.9110211413137203,45,395.8023162841797
LSPIN,0.05,0.0011,0.9594798349595242,0.9195714649026812,45,438.4532775878906
LSPIN,0.05,0.001,0.9567368725583894,0.9172920716949434,45,466.4868682861328
LSPIN,0.05,0.0009,0.9675549967281158,0.9408933671912609,45,528.5953582763672
LSPIN,0.05,0.0008,0.9426113840751633,0.9000730982396394,45,639.1301086425781
LSPIN,0.05,0.0007,0.9672481164887667,0.9305079547336448,45,710.0559936523438
LSPIN,0.1,0.0015,0.935074595312644,0.8998998950668585,45,290.54246826171874
LSPIN,0.1,0.0013,0.9581979560139814,0.9265866215898414,45,347.5023193359375
LSPIN,0.1,0.0012,0.9658636012638488,0.9365563671903399,45,381.7204650878906
LSPIN,0.1,0.0011,0.9519937794114964,0.9165547814636611,45,450.4911193847656
LSPIN,0.1,0.001,0.9550863701506637,0.9202155418747586,45,469.57335510253904
LSPIN,0.1,0.0009,0.9627312395303714,0.9310959234556159,45,533.2872589111328
LSPIN,0.1,0.0008,0.9565612832861486,0.9191182146975081,45,606.5397644042969
LSPIN,0.1,0.0007,0.9567320067852999,0.9215251120044485,45,705.9123596191406
LSPIN,0.15,0.0015,0.9615273326189262,0.9344206843369047,45,318.06293334960935
LSPIN,0.15,0.0013,0.9544417900803494,0.9269246762023283,45,386.0100372314453
LSPIN,0.15,0.0012,0.9496242107176768,0.9124096217261723,45,398.37066040039065
LSPIN,0.15,0.0011,0.9431247519899556,0.9014686093678153,45,426.45289001464846
LSPIN,0.15,0.001,0.9635197586700852,0.9286842505846765,45,494.6000061035156
LSPIN,0.15,0.0009,0.9588052541700438,0.9227960552893976,45,557.9262512207031
LSPIN,0.15,0.0008,0.9635147639120033,0.9292672651786799,45,624.5038696289063
LSPIN,0.15,0.0007,0.9603977221092819,0.9211562077840847,45,684.1382141113281
LSPIN,0.2,0.0015,0.9604360406698086,0.9251851306360581,45,301.4602340698242
LSPIN,0.2,0.0013,0.9594644443460253,0.9233280450961245,45,354.05405578613284
LSPIN,0.2,0.0012,0.9636955102230141,0.9329595347863279,45,388.2741302490234
LSPIN,0.2,0.0011,0.9512475665724996,0.9170165899067789,45,425.5741333007812
LSPIN,0.2,0.001,0.9543262461470827,0.9187105534362779,45,494.1988494873047
LSPIN,0.2,0.0009,0.9294693240726369,0.885830725524038,45,569.445947265625
LSPIN,0.2,0.0008,0.9462618871220211,0.9080054863039179,45,599.9671875
LSPIN,0.2,0.0007,0.9715315342618182,0.9405110447268773,45,697.7324401855469
