histology,n_test,cindex,model_family,lambda_sparse,lambda_sample_smooth,seed
kidneychromophobe,19,0.647887323943662,LSPIN,0.0018,0.0,10123
kidneyclearcellrenalcarcinoma,156,0.6539040653904066,LSPIN,0.0018,0.0,10123
kidneypapillaryrenalcellcarcinoma,84,0.8003072196620584,LSPIN,0.0018,0.0,10123
kidneychromophobe,19,0.7746478873239436,LSPIN,0.0018,0.0,10124
kidneyclearcellrenalcarcinoma,156,0.6788556678855668,LSPIN,0.0018,0.0,10124
kidneypapillaryrenalcellcarcinoma,84,0.7465437788018433,LSPIN,0.0018,0.0,10124
kidneychromophobe,19,0.5633802816901409,LSPIN,0.0018,0.0,10125
kidneyclearcellrenalcarcinoma,156,0.6594966659496666,LSPIN,0.0018,0.0,10125
kidneypapillaryrenalcellcarcinoma,84,0.7112135176651305,LSPIN,0.0018,0.0,10125
kidneychromophobe,19,0.704225352112676,LSPIN,0.0018,0.0,10126
kidneyclearcellrenalcarcinoma,156,0.5979780597978059,LSPIN,0.0018,0.0,10126
kidneypapillaryrenalcellcarcinoma,84,0.7434715821812596,LSPIN,0.0018,0.0,10126
kidneychromophobe,19,0.6901408450704225,LSPIN,0.0018,0.0,10127
kidneyclearcellrenalcarcinoma,156,0.6513228651322865,LSPIN,0.0018,0.0,10127
kidneypapillaryrenalcellcarcinoma,84,0.7619047619047619,LSPIN,0.0018,0.0,10127
kidneychromophobe,19,0.647887323943662,LSPIN,0.0018,0.0,10128
kidneyclearcellrenalcarcinoma,156,0.6726177672617767,LSPIN,0.0018,0.0,10128
kidneypapillaryrenalcellcarcinoma,84,0.7741935483870968,LSPIN,0.0018,0.0,10128
kidneychromophobe,19,0.7323943661971831,LSPIN,0.0018,0.0,10129
kidneyclearcellrenalcarcinoma,156,0.6592815659281566,LSPIN,0.0018,0.0,10129
kidneypapillaryrenalcellcarcinoma,84,0.6881720430107527,LSPIN,0.0018,0.0,10129
kidneychromophobe,19,0.676056338028169,LSPIN,0.0018,0.0,10130
kidneyclearcellrenalcarcinoma,156,0.6816519681651968,LSPIN,0.0018,0.0,10130
kidneypapillaryrenalcellcarcinoma,84,0.7603686635944701,LSPIN,0.0018,0.0,10130
kidneychromophobe,19,0.5492957746478874,LSPIN,0.0018,0.0,10131
kidneyclearcellrenalcarcinoma,156,0.6483114648311464,LSPIN,0.0018,0.0,10131
kidneypapillaryrenalcellcarcinoma,84,0.7219662058371735,LSPIN,0.0018,0.0,10131
kidneychromophobe,19,0.6338028169014085,LSPIN,0.0018,0.0,10132
kidneyclearcellrenalcarcinoma,156,0.6087330608733061,LSPIN,0.0018,0.0,10132
kidneypapillaryrenalcellcarcinoma,84,0.7480798771121352,LSPIN,0.0018,0.0,10132
kidneychromophobe,19,0.6901408450704225,LSPIN,0.0012,0.0,50123
kidneyclearcellrenalcarcinoma,156,0.6713271671327167,LSPIN,0.0012,0.0,50123
kidneypapillaryrenalcellcarcinoma,84,0.783410138248848,LSPIN,0.0012,0.0,50123
kidneychromophobe,19,0.6619718309859155,LSPIN,0.0012,0.0,50124
kidneyclearcellrenalcarcinoma,156,0.6792858679285868,LSPIN,0.0012,0.0,50124
kidneypapillaryrenalcellcarcinoma,84,0.7419354838709677,LSPIN,0.0012,0.0,50124
kidneychromophobe,19,0.6901408450704225,LSPIN,0.0012,0.0,50125
kidneyclearcellrenalcarcinoma,156,0.6911163691116369,LSPIN,0.0012,0.0,50125
kidneypapillaryrenalcellcarcinoma,84,0.7803379416282642,LSPIN,0.0012,0.0,50125
kidneychromophobe,19,0.7323943661971831,LSPIN,0.0012,0.0,50126
kidneyclearcellrenalcarcinoma,156,0.6715422671542267,LSPIN,0.0012,0.0,50126
kidneypapillaryrenalcellcarcinoma,84,0.8187403993855606,LSPIN,0.0012,0.0,50126
kidneychromophobe,19,0.6901408450704225,LSPIN,0.0012,0.0,50127
kidneyclearcellrenalcarcinoma,156,0.6756291675629168,LSPIN,0.0012,0.0,50127
kidneypapillaryrenalcellcarcinoma,84,0.7803379416282642,LSPIN,0.0012,0.0,50127
kidneychromophobe,19,0.647887323943662,LSPIN,0.0012,0.0,50128
kidneyclearcellrenalcarcinoma,156,0.6795009679500968,LSPIN,0.0012,0.0,50128
kidneypapillaryrenalcellcarcinoma,84,0.8202764976958525,LSPIN,0.0012,0.0,50128
kidneychromophobe,19,0.6619718309859155,LSPIN,0.0012,0.0,50129
kidneyclearcellrenalcarcinoma,156,0.6491718649171865,LSPIN,0.0012,0.0,50129
kidneypapillaryrenalcellcarcinoma,84,0.815668202764977,LSPIN,0.0012,0.0,50129
kidneychromophobe,19,0.6901408450704225,LSPIN,0.0012,0.0,50130
kidneyclearcellrenalcarcinoma,156,0.6771348677134867,LSPIN,0.0012,0.0,50130
kidneypapillaryrenalcellcarcinoma,84,0.7219662058371735,LSPIN,0.0012,0.0,50130
kidneychromophobe,19,0.647887323943662,LSPIN,0.0012,0.0,50131
kidneyclearcellrenalcarcinoma,156,0.6936975693697569,LSPIN,0.0012,0.0,50131
kidneypapillaryrenalcellcarcinoma,84,0.7572964669738863,LSPIN,0.0012,0.0,50131
kidneychromophobe,19,0.676056338028169,LSPIN,0.0012,0.0,50132
kidneyclearcellrenalcarcinoma,156,0.6283071628307163,LSPIN,0.0012,0.0,50132
kidneypapillaryrenalcellcarcinoma,84,0.7849462365591398,LSPIN,0.0012,0.0,50132
kidneychromophobe,19,0.6901408450704225,LSPIN,0.0008,0.0,90123
kidneyclearcellrenalcarcinoma,156,0.6900408690040869,LSPIN,0.0008,0.0,90123
kidneypapillaryrenalcellcarcinoma,84,0.7311827956989247,LSPIN,0.0008,0.0,90123
kidneychromophobe,19,0.5915492957746479,LSPIN,0.0008,0.0,90124
kidneyclearcellrenalcarcinoma,156,0.6498171649817165,LSPIN,0.0008,0.0,90124
kidneypapillaryrenalcellcarcinoma,84,0.7649769585253456,LSPIN,0.0008,0.0,90124
kidneychromophobe,19,0.6338028169014085,LSPIN,0.0008,0.0,90125
kidneyclearcellrenalcarcinoma,156,0.6855237685523768,LSPIN,0.0008,0.0,90125
kidneypapillaryrenalcellcarcinoma,84,0.7465437788018433,LSPIN,0.0008,0.0,90125
kidneychromophobe,19,0.6901408450704225,LSPIN,0.0008,0.0,90126
kidneyclearcellrenalcarcinoma,156,0.702301570230157,LSPIN,0.0008,0.0,90126
kidneypapillaryrenalcellcarcinoma,84,0.7695852534562212,LSPIN,0.0008,0.0,90126
kidneychromophobe,19,0.6901408450704225,LSPIN,0.0008,0.0,90127
