model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,0.0018,0.0,0,1,0.7210097748373646,3.5440088757396446,0.5522388059701493,2.7777366863905324,0.3866666666666666
LSPIN,lspin_tf,0.0018,0.0,0,2,0.7742271796360947,3.5440088757396446,0.5522388059701493,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,0.0018,0.0,0,3,0.7353788776832347,3.0650887573964494,0.4444444444444444,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,0.0018,0.0,0,4,0.8687835997297557,3.735576923076923,0.6,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,0.0018,0.0,0,5,0.8716513493106115,3.735576923076923,0.6,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,0.0018,0.0,0,6,0.662618380930956,3.5440088757396446,0.5522388059701493,2.3946005917159763,0.3164556962025316
LSPIN,lspin_tf,0.0018,0.0,0,7,0.8729435817017268,3.448224852071006,0.5294117647058824,3.735576923076923,0.6
LSPIN,lspin_tf,0.0018,0.0,0,8,0.7954552176585546,3.1608727810650885,0.4647887323943662,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,0.0018,0.0,0,9,0.7829072276887389,2.8735207100591715,0.4054054054054054,3.927144970414201,0.6507936507936508
LSPIN,lspin_tf,0.0018,0.0,1,2,0.5835705591706282,3.448224852071006,0.5294117647058824,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,0.0018,0.0,1,3,0.7944906367628701,2.7777366863905324,0.3866666666666666,2.6819526627218933,0.3684210526315789
LSPIN,lspin_tf,0.0018,0.0,1,4,0.7560909975659581,3.448224852071006,0.5294117647058824,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,0.0018,0.0,1,5,0.7642364528179959,3.735576923076923,0.6,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,0.0018,0.0,1,6,0.7186018633918936,3.352440828402367,0.5072463768115942,2.4903846153846154,0.3333333333333333
LSPIN,lspin_tf,0.0018,0.0,1,7,0.7873324476756313,3.5440088757396446,0.5522388059701493,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,0.0018,0.0,1,8,0.689067480140314,3.352440828402367,0.5072463768115942,2.7777366863905324,0.3866666666666666
LSPIN,lspin_tf,0.0018,0.0,1,9,0.7372839864901563,2.8735207100591715,0.4054054054054054,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,0.0018,0.0,2,3,0.6158874791405422,3.352440828402367,0.5072463768115942,2.6819526627218933,0.3684210526315789
LSPIN,lspin_tf,0.0018,0.0,2,4,0.811002496246071,3.448224852071006,0.5294117647058824,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,0.0018,0.0,2,5,0.8545554789140594,4.214497041420118,0.7333333333333333,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,0.0018,0.0,2,6,0.5168970521555848,3.735576923076923,0.6,2.203032544378698,0.2839506172839506
LSPIN,lspin_tf,0.0018,0.0,2,7,0.7791991243696803,3.831360946745562,0.625,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,0.0018,0.0,2,8,0.8949607021382574,4.118713017751479,0.7049180327868853,3.927144970414201,0.6507936507936508
LSPIN,lspin_tf,0.0018,0.0,2,9,0.7411005322449655,2.7777366863905324,0.3866666666666666,3.831360946745562,0.625
LSPIN,lspin_tf,0.0018,0.0,3,4,0.8090011462956985,3.448224852071006,0.5294117647058824,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,0.0018,0.0,3,5,0.770415583772526,3.352440828402367,0.5072463768115942,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,0.0018,0.0,3,6,0.749133775569092,3.256656804733728,0.4857142857142857,2.6819526627218933,0.3684210526315789
LSPIN,lspin_tf,0.0018,0.0,3,7,0.8340018861008345,3.448224852071006,0.5294117647058824,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,0.0018,0.0,3,8,0.7245409075177291,2.7777366863905324,0.3866666666666666,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,0.0018,0.0,3,9,0.7451274804997157,2.6819526627218933,0.3684210526315789,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,0.0018,0.0,4,5,0.8776714758432872,3.5440088757396446,0.5522388059701493,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,0.0018,0.0,4,6,0.6327252964731598,3.448224852071006,0.5294117647058824,2.107248520710059,0.2682926829268293
LSPIN,lspin_tf,0.0018,0.0,4,7,0.8883794870638314,3.735576923076923,0.6,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,0.0018,0.0,4,8,0.8257977205046513,2.9693047337278107,0.4246575342465753,3.927144970414201,0.6507936507936508
LSPIN,lspin_tf,0.0018,0.0,4,9,0.8195189485950903,3.1608727810650885,0.4647887323943662,3.927144970414201,0.6507936507936508
