model_family,lambda_sample_smooth,lambda_sparse,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard,n_pairs,mean_Khard
Concrete,0.0,0.005,0.8694488787146003,3.93991617357002,0.6558475112192019,3.2949704142011833,0.5019220349474501,45,113.47142868041992
Concrete,0.0,0.004,0.8678799422677216,3.9952580539119,0.6714387391730148,3.365212031558185,0.5140582151692579,45,164.062548828125
Concrete,0.0,0.003,0.8156551402704537,3.488666995397765,0.5450432746858928,3.3907544378698224,0.5216651541061704,45,257.36486358642577
Concrete,0.0,0.0025,0.8041294322511683,3.322641354372123,0.5064411531904162,3.4184253780407623,0.5276580016047778,45,332.76564025878906
Concrete,0.0,0.002,0.8423144166406226,3.548265943458251,0.5624478620643297,3.4865384615384616,0.542736679457107,45,402.38609924316404
Concrete,0.0,0.0017,0.8420787653714283,3.4162968441814594,0.5366919572425802,3.4439677843523997,0.5341895953895061,45,571.8050170898438
Concrete,0.0,0.0014422495703074,0.7522668365882704,3.248142669296515,0.4933664442145384,2.890548980933596,0.41767258311654615,45,594.2015380859375
Concrete,0.0,0.0012,0.7377975136002991,3.2247287968441816,0.4858838570121634,3.1076594345825117,0.459127192193028,45,797.9899658203125
Concrete,0.0,0.001,0.5662920021786527,2.558497698882314,0.3779097467049485,2.7351660092044705,0.39377536616650455,45,1010.5733703613281
Concrete,0.0,0.00085,0.626683801648421,2.6649243918474688,0.37465148700668743,2.9565335305719924,0.44075661186798354,45,1119.5011413574218
Concrete,0.0,0.0007,0.643581179274007,2.160461867192636,0.3132621684430493,3.152358645627876,0.4700618728746456,45,1305.0776245117188
Concrete,0.0,0.0006,0.49197737998156804,2.107248520710059,0.2944169361368575,2.6925953320184086,0.38570520003066266,45,1418.1606079101562
Concrete,0.05,0.003,0.7383480590025433,3.0544460880999345,0.4542890761027218,3.069345825115056,0.45332812789675214,45,288.54169921875
Concrete,0.05,0.0025,0.81322746084927,3.571679815910585,0.5664089772363776,3.184286653517423,0.4766100856274356,45,360.7756744384766
Concrete,0.05,0.002,0.7640638983823846,3.077859960552268,0.45591964569919413,3.194929322813938,0.47664702005744974,45,532.3115783691406
Concrete,0.05,0.0017,0.7436491236990188,3.288584812623274,0.49794597180348127,3.0310322156476004,0.4453601819412104,45,605.4868774414062
Concrete,0.05,0.0014422495703074,0.7209363285437659,3.0203895463510846,0.4454321657089606,3.1310733070348453,0.4705172905173056,45,748.9671936035156
Concrete,0.05,0.0012,0.5845958761599626,2.645767587113741,0.3969013944822577,2.901191650230112,0.4399302717668155,45,968.8177673339844
Concrete,0.05,0.001,0.678431755368311,2.882034845496384,0.43564089924103566,3.3779832347140037,0.5248852314244754,45,1063.6420837402343
Concrete,0.05,0.00085,0.6623680784446827,2.6074539776462853,0.3833948991328996,3.0310322156476004,0.45249166096964033,45,1253.280694580078
Concrete,0.1,0.003,0.8688944200205823,3.8718030900723206,0.6380798590529966,3.392882971729126,0.5205847070523487,45,260.34092864990237
Concrete,0.1,0.0025,0.8024516347606209,3.3439266929651543,0.5182691451787709,3.478024326101249,0.5415016968710128,45,334.90424194335935
Concrete,0.1,0.002,0.830348674687632,3.5461374095989484,0.5573319107796577,3.622764628533859,0.5767184502678624,45,485.38416748046876
Concrete,0.1,0.0017,0.709479059169907,3.2758136094674555,0.4971914519589308,3.056574621959237,0.4517237173815917,45,582.67568359375
Concrete,0.1,0.0014422495703074,0.7363381960852254,3.069345825115056,0.4548927281423932,3.207700525969756,0.4828582902583521,45,781.8845581054687
Concrete,0.1,0.0012,0.6396112686579573,2.622353714661407,0.39195043078703456,3.1310733070348453,0.47649165898917045,45,949.1347534179688
Concrete,0.1,0.001,0.7400539327366995,2.4541995397764627,0.35700369856011177,3.3034845496383953,0.5067091442132805,45,1105.408868408203
Concrete,0.1,0.00085,0.44189267612098304,2.088091715976331,0.3028258458786841,2.513798487836949,0.3575752266966979,45,1393.3764282226562
Concrete,0.15,0.003,0.8401225634979178,3.7355769230769234,0.6034995363669291,3.2758136094674555,0.4988741662161376,45,251.7061782836914
Concrete,0.15,0.0025,0.7250397003485356,3.026775147928994,0.4496654387777132,3.1034023668639055,0.46879255251185353,45,373.2015411376953
Concrete,0.15,0.002,0.7626312463624597,3.3779832347140037,0.5211411076704547,3.099145299145299,0.45818026246122623,45,460.16717834472655
Concrete,0.15,0.0017,0.7279798083647735,3.056574621959237,0.45753965554901577,3.277942143326759,0.5073777728889698,45,612.3633209228516
Concrete,0.15,0.0014422495703074,0.772180702066702,3.152358645627876,0.47355077367829185,3.3801117685733066,0.5199489224864746,45,691.0444091796875
Concrete,0.15,0.0012,0.6933104171628507,2.6649243918474688,0.3876227070661307,3.0757314266929647,0.4581822973669245,45,885.8494140625
Concrete,0.15,0.001,0.757027827370647,2.5670118343195267,0.3644848380774316,3.3034845496383953,0.5020893848959839,45,1154.5420776367187
Concrete,0.15,0.00085,0.5552084398891125,2.439299802761341,0.3770254815076177,2.8245644312952005,0.408925906921626,45,1399.9602172851562
Concrete,0.2,0.003,0.8351545115645701,3.4354536489151872,0.5321452886134425,3.392882971729126,0.519962045229999,45,271.7231674194336
Concrete,0.2,0.0025,0.7605962060209338,3.2651709401709397,0.49307693607775865,3.0736028928336623,0.4527070858325444,45,362.34093017578124
Concrete,0.2,0.002,0.6891232364412642,3.024646614069691,0.45513741663950263,2.879906311637081,0.4217815556660818,45,469.3942077636719
Concrete,0.2,0.0017,0.6611837254247038,2.973561801446417,0.44632146709031834,2.609582511505588,0.3686167294460238,45,625.5382293701172
Concrete,0.2,0.0014422495703074,0.5651412376892662,2.3456443129520053,0.32780351141428987,2.620225180802104,0.3699109470885048,45,751.5463317871094
Concrete,0.2,0.0012,0.8239125574606709,3.045931952662722,0.451342919323803,3.478024326101249,0.5469052032657246,45,975.0444091796875
Concrete,0.2,0.001,0.6731536607379287,3.0906311637080868,0.47938661806374117,3.2715565417488492,0.4987637823194622,45,1135.3826293945312
Concrete,0.2,0.00085,0.5286329272106808,2.2519888231426695,0.3052643682208578,2.5457264957264956,0.3620813797071603,45,1287.1355224609374
LSPIN,0.0,0.0018,0.7648741002846609,3.356697896120973,0.5141166345174568,3.143844510190664,0.4698427947763451,45,235.4104263305664
LSPIN,0.0,0.0016,0.7912398364817944,3.475895792241946,0.5402458316093091,3.143844510190664,0.466362530620507,45,262.9930450439453
LSPIN,0.0,0.0015,0.7771667055585317,3.4588675213675213,0.5377678314935562,3.184286653517423,0.4791687035011718,45,310.3737426757813
LSPIN,0.0,0.0013,0.8122301829347116,3.6972633136094677,0.5917203483819597,3.165129848783695,0.47205691949206297,45,363.67026672363284
LSPIN,0.0,0.0012,0.7618848950347239,3.3354125575279423,0.5076115439844544,2.8735207100591715,0.41480221963324637,45,389.5799194335938
LSPIN,0.0,0.0011,0.814176898167618,3.480152859960552,0.5396610416800702,3.0629602235371465,0.448732968510523,45,439.1911224365234
LSPIN,0.0,0.001,0.8005720586512783,3.401397107166338,0.5223351919145647,3.2736850756081526,0.4942115777551318,45,456.5142852783203
LSPIN,0.0,0.0009,0.8183217343103955,3.4844099276791587,0.541501593636412,3.133201840894148,0.4654576841064245,45,515.6799224853515
LSPIN,0.0,0.0008,0.8366647547488837,3.318384286653518,0.5079082776068302,3.4035256410256407,0.5226912753930414,45,610.3258666992188
LSPIN,0.0,0.0007,0.7994975581551115,3.3481837606837606,0.5148357364219807,3.165129848783695,0.47875552776338054,45,704.0691162109375
LSPIN,0.0,0.0006,0.7985118808486809,3.2055719921104537,0.479424340360815,3.2247287968441816,0.4843342819574298,45,803.8482604980469
LSPIN,0.0,0.0005,0.7571476316800828,2.839464168310322,0.41242946973119127,3.192800788954635,0.47855233944800896,45,892.3405456542969
LSPIN,0.05,0.0015,0.728808561242502,3.5674227481919787,0.564380520535109,2.718137738330046,0.3890769153628062,45,292.19652404785154
LSPIN,0.05,0.0013,0.7199993111944577,3.739833990795529,0.6045401314689164,2.88629191321499,0.4205845897810817,45,352.47837524414064
LSPIN,0.05,0.0012,0.7394612432925846,3.4631245890861275,0.5373562284036918,3.0182610124917812,0.4499248354502206,45,395.8023162841797
LSPIN,0.05,0.0011,0.8043501430568624,3.2928418803418804,0.49938305530160076,3.1310733070348453,0.46355079034105906,45,438.4532775878906
LSPIN,0.05,0.001,0.7984220328607873,3.5674227481919787,0.5624138119245266,3.1566157133464823,0.4698129234450737,45,466.4868682861328
LSPIN,0.05,0.0009,0.8244557011912822,3.448224852071006,0.5358377303849144,3.2438856015779094,0.4893239860054725,45,528.5953582763672
LSPIN,0.05,0.0008,0.8089464342019291,3.4141683103221565,0.5248955027925297,3.2545282708744248,0.49441590667141,45,639.1301086425781
LSPIN,0.05,0.0007,0.8662923777788335,3.5567800788954633,0.5595779202348595,3.539751808021039,0.5549486015002368,45,710.0559936523438
LSPIN,0.1,0.0015,0.8020532223789966,3.5354947403024326,0.5539590497574011,3.352440828402367,0.5101631338499385,45,290.54246826171874
LSPIN,0.1,0.0013,0.8594709443989191,3.473767258382643,0.5384778596494639,3.478024326101249,0.5406510420348545,45,347.5023193359375
LSPIN,0.1,0.0012,0.7401959631064889,3.618507560815253,0.576135719037066,3.1034023668639055,0.4595800740999207,45,381.7204650878906
LSPIN,0.1,0.0011,0.8205252260552216,3.61637902695595,0.5729598902032331,3.2928418803418804,0.4983800117978388,45,450.4911193847656
LSPIN,0.1,0.001,0.7652440087053185,3.235371466140697,0.48683399236090785,3.1268162393162395,0.4630374801427692,45,469.57335510253904
LSPIN,0.1,0.0009,0.7659435183488372,3.365212031558185,0.5156333314098341,2.9480193951347795,0.42777306036212254,45,533.2872589111328
LSPIN,0.1,0.0008,0.6791865825047093,2.9756903353057202,0.4302274056350036,2.7798652202498357,0.402684214555925,45,606.5397644042969
LSPIN,0.1,0.0007,0.7794756765424069,3.3779832347140037,0.5171221231663762,3.1821581196581197,0.47701425310906526,45,705.9123596191406
LSPIN,0.15,0.0015,0.7660649737048318,3.469510190664037,0.5376282894633481,2.8777777777777778,0.41622089152869746,45,318.06293334960935
LSPIN,0.15,0.0013,0.7780479730088938,3.333284023668639,0.5062031061714855,2.954404996712689,0.430931710799882,45,386.0100372314453
LSPIN,0.15,0.0012,0.807339794702364,3.1502301117685727,0.46630321255758406,3.2013149243918475,0.4786343787571227,45,398.37066040039065
LSPIN,0.15,0.0011,0.7738897435611024,3.139587442472058,0.47484542606253294,3.088502629848784,0.45651930087743897,45,426.45289001464846
LSPIN,0.15,0.001,0.8211048782349297,3.4822813938198554,0.5402306633757722,3.384368836291913,0.5188921318369857,45,494.6000061035156
LSPIN,0.15,0.0009,0.7986867348134166,3.1906722550953317,0.4848316566556943,3.1268162393162395,0.46492612766704217,45,557.9262512207031
LSPIN,0.15,0.0008,0.8302329476583137,3.199186390532544,0.4811352084757209,3.309870151216305,0.5031630052540905,45,624.5038696289063
LSPIN,0.15,0.0007,0.8198130954493349,3.35456936226167,0.5108629798892612,3.35456936226167,0.5105106669682,45,684.1382141113281
LSPIN,0.2,0.0015,0.7598757818753179,3.478024326101249,0.5456823193051951,3.184286653517423,0.4762827380010832,45,301.4602340698242
LSPIN,0.2,0.0013,0.7194777626080265,3.3205128205128203,0.5117723515299661,2.882034845496384,0.4184205538629061,45,354.05405578613284
LSPIN,0.2,0.0012,0.8158075754449905,3.454610453648915,0.5348612887275748,3.3971400394477316,0.5260604884433374,45,388.2741302490234
LSPIN,0.2,0.0011,0.7829905704380276,3.3950115055884287,0.5206763825646497,3.1140450361604204,0.4621864569264899,45,425.5741333007812
LSPIN,0.2,0.001,0.8495226031135984,3.6334072978303746,0.5762975056754325,3.363083497698882,0.5162690553377242,45,494.1988494873047
LSPIN,0.2,0.0009,0.7836499615847038,3.171515450361604,0.47291187317062466,3.1034023668639055,0.4675001122287117,45,569.445947265625
LSPIN,0.2,0.0008,0.7770967328823863,3.3481837606837606,0.5106846978578018,3.005489809335963,0.44299053113174813,45,599.9671875
LSPIN,0.2,0.0007,0.7704524148854064,3.478024326101249,0.5415932617048494,2.91396285338593,0.428250151500366,45,697.7324401855469
