model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,0.25,0.0018,0.0,10123,0,0.7045887281035796,0.7975679542203148,1,244.7220001220703,0.9892238044342534,848.0,615.0,502.1243982249576
LSPIN,lspin_tf,0.25,0.0018,0.0,10124,1,0.7230578827113481,0.7782546494992847,1,225.35134887695312,0.9861301249504456,782.0,544.0,407.02740383092953
LSPIN,lspin_tf,0.25,0.0018,0.0,10125,2,0.6857387661843107,0.7997138769670958,0,204.6139068603516,0.9899032679518835,1376.0,655.0,541.3844625188163
LSPIN,lspin_tf,0.25,0.0018,0.0,10126,3,0.6627951256664127,0.8054363376251789,1,232.96139526367188,0.988778630937705,842.0,600.0,469.54644474232566
LSPIN,lspin_tf,0.25,0.0018,0.0,10127,4,0.7056359482102056,0.7618025751072961,2,237.40155029296875,0.9887735146915604,760.0,613.0,456.28978312642096
LSPIN,lspin_tf,0.25,0.0018,0.0,10128,5,0.7095392231530845,0.7703862660944206,2,270.5946044921875,0.987166211187099,668.0,541.0,429.03269107457766
LSPIN,lspin_tf,0.25,0.0018,0.0,10129,6,0.6827875095201827,0.7753934191702432,0,242.67181396484372,0.9910280080534656,1522.0,778.0,630.3155619187461
LSPIN,lspin_tf,0.25,0.0018,0.0,10130,7,0.7143945163747144,0.776824034334764,1,242.11196899414065,0.98835528951561,890.0,654.0,454.1717596922846
LSPIN,lspin_tf,0.25,0.0018,0.0,10131,8,0.6872619954303123,0.7761087267525035,0,178.11582946777344,0.987938782843992,1559.0,612.0,525.714189716326
LSPIN,lspin_tf,0.25,0.0018,0.0,10132,9,0.6730769230769231,0.8004291845493562,0,275.5598449707031,0.99256885552587,1619.0,899.0,806.461807386103
LSPIN,lspin_tf,0.25,0.0012,0.0,50123,0,0.7062071591774562,0.7782546494992847,1,298.2934265136719,0.9932066651296586,1227.0,911.0,651.4023224620306
LSPIN,lspin_tf,0.25,0.0012,0.0,50124,1,0.7195354150799695,0.7707439198855508,0,343.0077209472656,0.9942123066147016,1776.0,1035.0,819.314695760221
