dataset,experiment,task_stage,variant_key,variant_label,model_family,gate_type,seed_i,seed_j,affinity_corr
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100123,100124,0.914632792190235
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100123,100125,0.8733890179883356
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100123,101123,0.8476129102363171
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100123,101124,0.8366596800721254
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100123,101125,0.8942993736757396
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100123,102123,0.8698784686381378
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100123,102124,0.8674257017092974
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100123,102125,0.8065193531581749
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100123,103123,0.8046204500994196
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100123,103124,0.8659751704000747
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100123,103125,0.8882091975428816
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100124,100125,0.9033835809035484
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100124,101123,0.8627701415817745
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100124,101124,0.8751745911768146
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100124,101125,0.9146095554782826
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100124,102123,0.8563890749177364
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100124,102124,0.8820288392338109
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100124,102125,0.8121955869595354
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100124,103123,0.8022330669170998
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100124,103124,0.8983132338147518
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100124,103125,0.8949502536860644
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100125,101123,0.898607217093333
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100125,101124,0.9082081309528383
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100125,101125,0.8811861941797422
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100125,102123,0.8059566993720841
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100125,102124,0.7933891483446328
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100125,102125,0.7512385766658094
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100125,103123,0.8073584156593211
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100125,103124,0.8830107343892231
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,100125,103125,0.8638806538845104
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,101123,101124,0.9279001358743609
