dataset,experiment,task_stage,variant_key,variant_label,model_family,gate_type,mean_affinity_corr,std_affinity_corr,n_pairs
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,0.8721661346281121,0.038719776272818134,66
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,0.8747656429364328,0.039784782667967804,66
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,0.8721661346281121,0.038719776272818134,66
brca,goal1,fixed_init_eval,goal1_nosmooth_stg_lamx1p0,MLP+STG nosmooth x1,MLP+STG,global_stg,,,66
brca,goal1,fixed_init_eval,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,concrete,0.9343706399302681,0.028703252924148746,66
brca,goal1,fixed_init_eval,goal1_smooth_lconcrete_lamx0p75,L-Concrete smooth x0.75,L-Concrete,concrete,0.8942496354954457,0.07394128642112831,66
brca,goal1,fixed_init_eval,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,lspin_tf,0.8981645767622374,0.07018622133081244,66
brca,goal1,fixed_init_eval,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,lspin_tf,0.9102303555583457,0.04684231111492226,66
brca,goal1,screen,goal1_floor_concrete,Concrete floor (λ=0),Concrete,concrete,0.8658737741067147,0.018745090673473963,10
brca,goal1,screen,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,concrete,0.8435693678144858,0.026333234852259236,10
brca,goal1,screen,goal1_floor_llspin,L-LSPIN floor (λ=0),L-LSPIN,lspin_tf,0.8143172238817844,0.04546502657032902,10
brca,goal1,screen,goal1_floor_lspin,LSPIN floor (λ=0),LSPIN,lspin_tf,0.8635766127818545,0.020798477504112067,10
brca,goal1,screen,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,0.8596472181466659,0.045923086258320124,10
brca,goal1,screen,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,concrete,0.8802853247369175,0.03281952834082661,10
brca,goal1,screen,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,0.8716508195909979,0.0361241054880208,10
brca,goal1,screen,goal1_nosmooth_concrete_lamx1p5,Concrete nosmooth x1.5,Concrete,concrete,0.8643633928264292,0.038137793306417214,10
brca,goal1,screen,goal1_nosmooth_concrete_lamx2p0,Concrete nosmooth x2,Concrete,concrete,0.8497018387916068,0.0386680595544723,10
brca,goal1,screen,goal1_nosmooth_concrete_lamx2p5,Concrete nosmooth x2.5,Concrete,concrete,0.8358942476618358,0.047949416970596924,10
brca,goal1,screen,goal1_nosmooth_concrete_lamx3p0,Concrete nosmooth x3,Concrete,concrete,0.8206583190292905,0.04138292472169837,10
brca,goal1,screen,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,0.8596472181466659,0.045923086258320124,10
brca,goal1,screen,goal1_nosmooth_lspin_lamx1p25,LSPIN nosmooth x1.2,LSPIN,lspin_tf,0.8272403407961159,0.05802658833138313,10
brca,goal1,screen,goal1_nosmooth_lspin_lamx1p5,LSPIN nosmooth x1.5,LSPIN,lspin_tf,0.8335664441307514,0.05296317164603409,10
brca,goal1,screen,goal1_nosmooth_lspin_lamx2p0,LSPIN nosmooth x2,LSPIN,lspin_tf,0.8200050524898035,0.045373907146602534,10
brca,goal1,screen,goal1_nosmooth_lspin_lamx2p5,LSPIN nosmooth x2.5,LSPIN,lspin_tf,0.8193547112385877,0.04889576624537974,10
brca,goal1,screen,goal1_nosmooth_lspin_lamx3p0,LSPIN nosmooth x3,LSPIN,lspin_tf,0.7703029308469309,0.06271366879870498,10
brca,goal1,screen,goal1_nosmooth_stg_lamx0p5,MLP+STG nosmooth x0.5,MLP+STG,global_stg,,,10
brca,goal1,screen,goal1_nosmooth_stg_lamx0p75,MLP+STG nosmooth x0.75,MLP+STG,global_stg,,,10
brca,goal1,screen,goal1_nosmooth_stg_lamx1p0,MLP+STG nosmooth x1,MLP+STG,global_stg,,,10
brca,goal1,screen,goal1_nosmooth_stg_lamx1p25,MLP+STG nosmooth x1.2,MLP+STG,global_stg,,,10
brca,goal1,screen,goal1_nosmooth_stg_lamx1p5,MLP+STG nosmooth x1.5,MLP+STG,global_stg,,,10
brca,goal1,screen,goal1_nosmooth_stg_lamx2p0,MLP+STG nosmooth x2,MLP+STG,global_stg,,,10
brca,goal1,screen,goal1_nosmooth_stg_lamx3p0,MLP+STG nosmooth x3,MLP+STG,global_stg,,,10
brca,goal1,screen,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,concrete,0.9186255247926842,0.01794810347555812,10
brca,goal1,screen,goal1_smooth_concrete_lamx1p25,Concrete smooth x1.2,Concrete,concrete,0.8965976662006423,0.05062765836896746,10
brca,goal1,screen,goal1_smooth_concrete_lamx1p5,Concrete smooth x1.5,Concrete,concrete,0.9128288231091206,0.026439559652316758,10
brca,goal1,screen,goal1_smooth_concrete_lamx2p0,Concrete smooth x2,Concrete,concrete,0.9125727118657331,0.025349427510380405,10
brca,goal1,screen,goal1_smooth_concrete_lamx2p5,Concrete smooth x2.5,Concrete,concrete,0.8983826486468981,0.02670451955018789,10
brca,goal1,screen,goal1_smooth_concrete_lamx3p0,Concrete smooth x3,Concrete,concrete,0.8859709560505177,0.02946377111798332,10
brca,goal1,screen,goal1_smooth_lconcrete,L-Concrete smooth,L-Concrete,concrete,0.8791240425840325,0.06904379316443414,10
brca,goal1,screen,goal1_smooth_lconcrete_lamx0p75,L-Concrete smooth x0.75,L-Concrete,concrete,0.8986293018391063,0.04346611120720546,10
brca,goal1,screen,goal1_smooth_lconcrete_lamx1p25,L-Concrete smooth x1.2,L-Concrete,concrete,0.9124572506735369,0.034347332674473735,10
brca,goal1,screen,goal1_smooth_lconcrete_lamx1p5,L-Concrete smooth x1.5,L-Concrete,concrete,0.8238815343266543,0.10671731348492923,10
brca,goal1,screen,goal1_smooth_lconcrete_lamx2p0,L-Concrete smooth x2,L-Concrete,concrete,0.8072510557903202,0.10638371553481,10
brca,goal1,screen,goal1_smooth_lconcrete_lamx3p0,L-Concrete smooth x3,L-Concrete,concrete,0.8730875658633309,0.07108303035525715,10
brca,goal1,screen,goal1_smooth_llspin,L-LSPIN smooth,L-LSPIN,lspin_tf,0.9347678130463095,0.023957543284987712,10
brca,goal1,screen,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,lspin_tf,0.9382449563724737,0.02491295480491461,10
brca,goal1,screen,goal1_smooth_llspin_lamx1p25,L-LSPIN smooth x1.2,L-LSPIN,lspin_tf,0.9340194286000294,0.0176393095627393,10
