dataset,experiment,task_stage,variant_key,variant_label,model_family,gate_type,lambda_sparse,lambda_base,lambda_multiplier,gate_sigma,goal1_group,n_runs,mean_test_cindex,std_test_cindex,mean_best_val_cindex,mean_best_epoch,std_best_epoch,mean_Ksoft,std_Ksoft,mean_Khard,std_Khard,mean_gene_union_count,std_gene_union_count,mean_effective_gene_count,std_effective_gene_count,ci95_test_cindex,ci95_Ksoft,ci95_Khard,ci95_gene_union_count,ci95_effective_gene_count,mean_affinity_corr,std_affinity_corr,n_pairs
brca,goal1,fixed_init_eval,goal1_linear_cox,Linear Cox,LinearCox,,,,,,dense,12,0.6539448539448539,0.054600243218099254,0.7510139250446025,27.583333333333332,21.189441338610706,,,,,,,,,0.03089299581739287,,,,,,,
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,0.007,0.007,1.0,0.1,alt_sigma,12,0.6123669123669123,0.048320442584750704,0.677466345219278,10.5,2.467976720090587,296.1754315694173,47.588095814410025,296.1390635172526,47.575128985201324,4329.5,661.7708337208859,1031.2790395904733,231.42307493319598,0.02733986412299432,26.925499930097907,26.91816325581041,374.43209761078464,130.93993111718422,0.8721661346281121,0.038719776272818134,66.0
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,0.00275,0.0022,1.25,0.1,nosmooth,12,0.6214441714441714,0.03815034986742497,0.6624158301807178,8.5,0.904534033733291,301.9720637003581,37.843510767432164,282.6074511210124,35.056688587768726,9237.916666666666,878.0490210309067,2956.945169010906,366.2827110759459,0.02158559247032349,21.411981906084314,19.835188821184254,496.8030018808037,207.24395340241924,0.8747656429364328,0.039784782667967804,66.0
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,0.007,0.007,1.0,0.1,nosmooth,12,0.6123669123669123,0.048320442584750704,0.677466345219278,10.5,2.467976720090587,296.1754315694173,47.588095814410025,296.1390635172526,47.575128985201324,4329.5,661.7708337208859,1031.2790395904733,231.42307493319598,0.02733986412299432,26.925499930097907,26.91816325581041,374.43209761078464,130.93993111718422,0.8721661346281121,0.038719776272818134,66.0
brca,goal1,fixed_init_eval,goal1_nosmooth_stg_lamx1p0,MLP+STG nosmooth x1,MLP+STG,global_stg,0.001,0.001,1.0,0.1,nosmooth,12,0.5965328965328965,0.04973343531941405,0.7576906853469714,66.33333333333333,12.977836584895128,84.34431014458339,31.631134542786796,46.916666666666664,21.827665236964073,46.916666666666664,21.827665236964073,46.916666666666664,21.82766523696407,0.028139340024000772,17.896999162190202,12.3501642323354,12.3501642323354,12.350164232335398,,,66.0
brca,goal1,fixed_init_eval,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,concrete,0.0022,0.0022,1.0,0.15,smooth,12,0.6299617799617799,0.019810459504744648,0.7273376024215604,10.083333333333334,2.7122058561364044,477.92771402994794,61.00948110269037,430.88049570719403,51.313650163017996,4830.5,1582.346560132652,738.0155089115418,170.22492087004758,0.011208822645277814,34.51936353100252,29.033430740026308,895.2968481949877,96.31381580936262,0.9343706399302681,0.028703252924148746,66.0
brca,goal1,fixed_init_eval,goal1_smooth_lconcrete_lamx0p75,L-Concrete smooth x0.75,L-Concrete,concrete,0.00165,0.0022,0.75,0.15,linear_gated,12,0.6607152607152608,0.019898405424874654,0.7407263115189503,16.416666666666668,4.010403138505322,2080.2710164388022,190.73080534573114,2032.4397074381511,182.67934589503662,4673.916666666667,1179.8752983671493,2267.867394335845,265.7942446721822,0.011258582733925777,107.91611217292976,103.36057013732648,667.5772947000144,150.38725113632688,0.8942496354954457,0.07394128642112831,66.0
brca,goal1,fixed_init_eval,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,lspin_tf,0.00525,0.007,0.75,0.15,linear_gated,12,0.6710346710346711,0.028408937918968227,0.7411158444255154,42.916666666666664,10.387565410215963,1733.5916646321614,346.2276852698485,1733.5913899739583,346.2253622901851,3996.9166666666665,762.3230594503206,2301.4358725762163,586.7047304052305,0.01607386979580952,195.89675434561912,195.8954399961438,431.32487511143967,331.9594513536009,0.8981645767622374,0.07018622133081244,66.0
brca,goal1,fixed_init_eval,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,lspin_tf,0.007,0.007,1.0,0.15,smooth,12,0.6153153153153154,0.031022298063247862,0.7106333780507126,11.0,3.6431754380934325,414.95749918619794,54.35402072529744,414.93408203125,54.33902774028543,2581.5,567.1651194557655,767.2188857922192,153.8807918494156,0.01755251749494302,30.753682327343196,30.74519924748921,320.9038757048974,87.06625426542541,0.9102303555583457,0.04684231111492226,66.0
brca,goal1,fixed_init_eval,mlp,MLP,MLP,,,,,,dense,12,0.6272317772317773,0.03894457129976263,0.8016950472585593,17.333333333333332,13.137962574389555,,,,,,,,,0.02203496554892468,,,,,,,
