dataset,experiment,task_stage,variant_key,variant_label,model_family,gate_type,lambda_sparse,lambda_base,lambda_multiplier,gate_sigma,goal1_group,n_runs,mean_test_cindex,std_test_cindex,mean_best_val_cindex,mean_best_epoch,std_best_epoch,mean_Ksoft,std_Ksoft,mean_Khard,std_Khard,mean_gene_union_count,std_gene_union_count,mean_effective_gene_count,std_effective_gene_count,ci95_test_cindex,ci95_Ksoft,ci95_Khard,ci95_gene_union_count,ci95_effective_gene_count,target_mean_Khard,khard_delta,goal1_reference_variant_key,mean_affinity_corr,std_affinity_corr,n_pairs
brca,goal1,screen,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,0.007,0.007,1.0,0.1,alt_sigma,5,0.5955773955773955,0.024816400549774652,0.6835477808005929,12.6,6.841052550594828,284.4273742675781,60.269896834914434,284.4308685302734,60.243752835648564,4235.6,480.6737979128882,981.1592701868906,187.62300588349055,0.021752534165774433,52.82889383734909,52.80597761160071,421.32916055739605,164.45881575694452,,,,0.8596472181466659,0.045923086258320124,10.0
brca,goal1,screen,goal1_linear_cox,Linear Cox,LinearCox,,,,,,dense,5,0.6389189189189189,0.030784104425063616,0.7741265735549042,21.6,36.45956664580642,,,,,,,,,0.026983457247390576,,,,,,,,,,
brca,goal1,screen,mlp,MLP,MLP,,,,,,dense,5,0.6525470925470926,0.018528760016189774,0.7701632263459737,32.2,15.155856953666461,,,,,,,,,0.01624117423851233,,,,,,,,,,
brca,goal1,screen,goal1_smooth_lconcrete_lamx0p75,L-Concrete smooth x0.75,L-Concrete,concrete,0.00165,0.0022,0.75,0.15,linear_gated,5,0.6712530712530713,0.008001097291937678,0.7441680053688745,15.2,2.6832815729997477,2168.5373779296874,115.79731079444731,2118.5762451171877,112.80556483573186,4825.2,1613.9030949843302,2383.6772083575934,192.44580332613415,0.007013270996229953,101.5008181508373,98.87843719547888,1414.6484355570467,168.6861841029421,,,,0.8986293018391063,0.04346611120720546,10.0
brca,goal1,screen,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,lspin_tf,0.00525,0.007,0.75,0.15,linear_gated,5,0.6674856674856675,0.03002886355166295,0.7579786716219017,39.6,5.941380311005179,1712.687451171875,325.33878489698543,1712.641796875,325.3238932212469,4289.6,801.7202130419316,2303.455820238194,495.91355846335074,0.026321459433924974,285.1720183887618,285.1589652594557,702.73875095657,434.6873996536444,,,,0.9382449563724737,0.02491295480491461,10.0
brca,goal1,screen,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,0.00275,0.0022,1.25,0.1,nosmooth,5,0.6088779688779689,0.04862815552394161,0.6725223105629778,9.0,1.7320508075688772,284.6784912109375,41.38204058536575,266.08167419433596,37.948819281865404,9035.2,662.5109055706179,2891.1381917676654,246.86736993671443,0.042624457657810415,36.27295787224093,33.263606715401465,580.7164129108115,216.3887904771919,284.4308685302734,18.349194335937455,goal1_nosmooth_lspin_lamx1p0,0.8716508195909979,0.0361241054880208,10.0
brca,goal1,screen,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,0.007,0.007,1.0,0.1,nosmooth,5,0.5955773955773955,0.024816400549774652,0.6835477808005929,12.6,6.841052550594828,284.4273742675781,60.269896834914434,284.4308685302734,60.243752835648564,4235.6,480.67379791288806,981.1592701868906,187.62300588349052,0.021752534165774433,52.82889383734909,52.80597761160071,421.32916055739594,164.4588157569445,284.4308685302734,0.0,goal1_nosmooth_lspin_lamx1p0,0.8596472181466659,0.045923086258320124,10.0
brca,goal1,screen,goal1_nosmooth_stg_lamx1p0,MLP+STG nosmooth x1,MLP+STG,global_stg,0.001,0.001,1.0,0.1,nosmooth,5,0.6151351351351352,0.048782530998250626,0.720023129398413,102.8,56.18896688852715,65.0308391571045,35.88207452508553,40.6,30.59901959213726,40.6,30.59901959213726,40.59999999999998,30.599019592137225,0.042759773727218994,31.45202506222745,26.821223238323785,26.821223238323785,26.821223238323753,,,,,,10.0
brca,goal1,screen,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,concrete,0.0022,0.0022,1.0,0.15,smooth,5,0.6377395577395577,0.02994511609246251,0.7278314936575686,9.0,1.224744871391589,483.26544189453125,47.78055744677627,430.34404296875,46.093746050710216,5597.8,1518.530440919773,760.9209424406329,103.03109269301225,0.026248051549332668,41.881505185899606,40.402949806744196,1331.0506183853413,90.31073460660166,448.96913452148436,18.625091552734375,goal1_smooth_lspin_lamx1p0,0.9186255247926842,0.01794810347555812,10.0
brca,goal1,screen,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,lspin_tf,0.007,0.007,1.0,0.15,smooth,5,0.6216216216216217,0.03676720811557269,0.723562924623274,9.0,1.5811388300841893,448.9921447753906,49.08267536311642,448.96913452148436,49.07446882586935,2815.2,649.7212479209835,848.3420675941755,168.0028622343005,0.03222787886220657,43.02286186275713,43.015668515700554,569.5057836967067,147.26100158520782,448.96913452148436,0.0,goal1_smooth_lspin_lamx1p0,0.9124478600509599,0.03722319524337414,10.0
