dataset,experiment,task_stage,variant_key,variant_label,model_family,gate_type,lambda_sparse,lambda_base,lambda_multiplier,gate_sigma,goal1_group,n_runs,mean_test_cindex,std_test_cindex,mean_best_val_cindex,mean_best_epoch,std_best_epoch,mean_Ksoft,std_Ksoft,mean_Khard,std_Khard,mean_gene_union_count,std_gene_union_count,mean_effective_gene_count,std_effective_gene_count,ci95_test_cindex,ci95_Ksoft,ci95_Khard,ci95_gene_union_count,ci95_effective_gene_count
brca,goal1,screen,goal1_floor_concrete,Concrete floor (λ=0),Concrete,concrete,0.0,0.0,0.0,0.1,floor,5,0.6001638001638001,0.02837645785692635,0.6971821235457796,1.0,0.7071067811865476,11957.068359375,52.23065353040193,11952.7904296875,55.70190224438387,23950.0,9.380831519647016,20919.594302995898,29.634896731700863,0.024873061981668162,45.78218638686149,48.82487003864024,8.222661369654125,25.976132290521633
brca,goal1,screen,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,concrete,0.0,0.0,0.0,0.15,floor,5,0.6308271908271907,0.010200687257039943,0.7406422584026146,1.4,1.3416407864998738,11889.794921875,66.82892409269,11884.2431640625,68.88445591964448,23945.2,8.584870412533997,20811.67581014865,83.84538429868265,0.008941296608591215,58.578134716695885,60.37988780352983,7.524970697617451,73.49371972544758
brca,goal1,screen,goal1_floor_llspin,L-LSPIN floor (λ=0),L-LSPIN,lspin_tf,0.0,0.0,0.0,0.15,floor,5,0.6382964782964783,0.009522553198903563,0.7629618543261545,4.8,5.215361924162119,11652.08125,165.27681770144508,11652.1587890625,165.56718365995124,23793.8,143.60954007307444,19932.912925157616,698.939728357838,0.008346885898665725,144.8715181982265,145.1260351826826,125.87931197778282,612.6476839550784
brca,goal1,screen,goal1_floor_lspin,LSPIN floor (λ=0),LSPIN,lspin_tf,0.0,0.0,0.0,0.1,floor,5,0.5983947583947584,0.04459448554476542,0.6594951997932863,1.8,1.3038404810405297,11800.7404296875,121.64051004726555,11800.8826171875,121.97992806257547,23886.2,47.840359530421715,20397.136986217527,283.5967481489777,0.03908879003109307,106.62260811910531,106.92012112707356,41.93392402339672,248.58350996712872
brca,goal1,screen,goal1_linear_cox,Linear Cox,LinearCox,,,,,,dense,5,0.6389189189189189,0.030784104425063616,0.7741265735549042,21.6,36.45956664580642,,,,,,,,,0.026983457247390576,,,,
brca,goal1,screen,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,0.007,0.007,1.0,0.1,alt_sigma,5,0.5955773955773955,0.024816400549774652,0.6835477808005929,12.6,6.841052550594828,284.4273742675781,60.269896834914434,284.4308685302734,60.243752835648564,4235.6,480.6737979128882,981.1592701868906,187.62300588349055,0.021752534165774433,52.82889383734909,52.80597761160071,421.32916055739605,164.45881575694452
brca,goal1,screen,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,concrete,0.0022,0.0022,1.0,0.1,nosmooth,5,0.6324324324324324,0.03121779309945275,0.7128305362554663,10.2,5.06951674225463,376.7162170410156,83.28584506428015,355.4572387695313,76.44992987064546,9911.8,1235.7623962558498,3280.8606115435455,571.6586681110069,0.027363602131336876,73.00326196188033,67.01131810581514,1083.1934990499158,501.08091559469545
brca,goal1,screen,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,0.00275,0.0022,1.25,0.1,nosmooth,5,0.6088779688779689,0.04862815552394161,0.6725223105629778,9.0,1.7320508075688772,284.6784912109375,41.38204058536575,266.08167419433596,37.948819281865404,9035.2,662.5109055706179,2891.1381917676654,246.86736993671443,0.042624457657810415,36.27295787224093,33.263606715401465,580.7164129108115,216.3887904771919
brca,goal1,screen,goal1_nosmooth_concrete_lamx1p5,Concrete nosmooth x1.5,Concrete,concrete,0.0033,0.0022,1.5,0.1,nosmooth,5,0.6168058968058968,0.044601584508318706,0.669745348785927,9.0,1.8708286933869709,234.9875457763672,46.715590024266135,218.53376159667968,42.856823703539284,8100.6,921.5678488315442,2491.028277061822,373.4117453322568,0.03909501254700244,40.94802008208188,37.565662271528545,807.7898354993084,327.3098260946283
brca,goal1,screen,goal1_nosmooth_concrete_lamx2p0,Concrete nosmooth x2,Concrete,concrete,0.0044,0.0022,2.0,0.1,nosmooth,5,0.6136936936936938,0.04517004471545098,0.6838468029808695,9.6,2.073644135332772,161.4752182006836,24.770711286101253,147.91446685791016,22.79515990262201,7069.4,317.6283992340735,2130.8626259886582,242.13098664010545,0.03959328988793778,21.712485760403506,19.980838623294197,278.4135673705576,212.2371674698567
