dataset,experiment,task_stage,variant_key,variant_label,model_family,goal1_group,split_seed,n_reps,split_mean_test_cindex,split_sd_test_cindex,split_mean_Ksoft,split_sd_Ksoft,split_mean_Khard,split_sd_Khard
brca,goal1,fixed_init_eval,goal1_linear_cox,Linear Cox,LinearCox,dense,123,3,0.6553098553098553,0.06414451502189021,,,,
brca,goal1,fixed_init_eval,goal1_linear_cox,Linear Cox,LinearCox,dense,124,3,0.6726726726726726,0.07264908129173246,,,,
brca,goal1,fixed_init_eval,goal1_linear_cox,Linear Cox,LinearCox,dense,125,3,0.6092820092820093,0.04901275714483238,,,,
brca,goal1,fixed_init_eval,goal1_linear_cox,Linear Cox,LinearCox,dense,126,3,0.6785148785148785,0.013239809612866131,,,,
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,alt_sigma,124,3,0.57002457002457,0.05378559897424609,250.8603769938151,14.052694016163489,250.84244283040366,13.975737761216118
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,alt_sigma,125,3,0.668086268086268,0.02690830067902036,287.9896291097005,52.139839594085636,287.9281819661458,52.07905522110665
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,alt_sigma,126,3,0.603003003003003,0.028013818957566623,322.11439005533856,5.999520244945738,322.0653788248698,6.0577209026785885
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,alt_sigma,127,3,0.6083538083538084,0.030628002707786258,323.7373301188151,64.6064114041961,323.7202504475911,64.62405541613444
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,nosmooth,124,3,0.6044226044226044,0.026808738010136664,277.24330647786456,13.688907722853793,260.0342966715495,11.510248000797716
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,nosmooth,125,3,0.671089271089271,0.008917711769904167,283.37424723307294,22.255116244006143,265.2743835449219,23.07360209737185
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,nosmooth,126,3,0.5797433797433797,0.008157730553105405,333.10718790690106,38.03807840556717,311.99786376953125,36.1341466730056
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,nosmooth,127,3,0.6305214305214305,0.016631431166581206,314.16351318359375,51.3227432108861,293.1232604980469,45.959194930322866
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,nosmooth,124,3,0.57002457002457,0.05378559897424609,250.8603769938151,14.052694016163489,250.84244283040366,13.975737761216118
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,nosmooth,125,3,0.668086268086268,0.02690830067902036,287.9896291097005,52.139839594085636,287.9281819661458,52.07905522110665
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,nosmooth,126,3,0.603003003003003,0.028013818957566623,322.11439005533856,5.999520244945738,322.0653788248698,6.0577209026785885
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,nosmooth,127,3,0.6083538083538084,0.030628002707786258,323.7373301188151,64.6064114041961,323.7202504475911,64.62405541613444
brca,goal1,fixed_init_eval,goal1_nosmooth_stg_lamx1p0,MLP+STG nosmooth x1,MLP+STG,nosmooth,123,3,0.6355992355992356,0.03536882638633225,97.3266092936198,25.20559073635329,54.0,32.60368077380221
brca,goal1,fixed_init_eval,goal1_nosmooth_stg_lamx1p0,MLP+STG nosmooth x1,MLP+STG,nosmooth,125,3,0.5317499317499318,0.01951377230404819,65.26168576876323,59.03692185549138,34.666666666666664,32.331615074619044
brca,goal1,fixed_init_eval,goal1_nosmooth_stg_lamx1p0,MLP+STG nosmooth x1,MLP+STG,nosmooth,126,3,0.5817089817089817,0.011170082319363343,76.28178405761719,11.126632700136517,42.666666666666664,6.110100926607786
