dataset,experiment,variant_key,variant_label,model_family,model_kind,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,selection,sigma_match,lambda_base,lambda_multiplier,goal0_target_reference,goal1_group,goal1_target_reference,predictor
kipan,goal1,mlp,MLP,MLP,mlp,,,,,reference,na,,,False,dense,False,
kipan,goal1,goal1_rsf,RSF,RSF,rsf,,,,,reference,na,,,False,dense,False,
kipan,goal1,goal1_nosmooth_stg_lamx0p5,MLP+STG nosmooth x0.5,MLP+STG,stg,global_stg,0.22,0.0005,0.0,goal1_nosmooth_sweep,na,0.001,0.5,False,nosmooth,False,
kipan,goal1,goal1_nosmooth_stg_lamx0p75,MLP+STG nosmooth x0.75,MLP+STG,stg,global_stg,0.22,0.00075,0.0,goal1_nosmooth_sweep,na,0.001,0.75,False,nosmooth,False,
kipan,goal1,goal1_nosmooth_stg_lamx1p0,MLP+STG nosmooth x1,MLP+STG,stg,global_stg,0.22,0.001,0.0,goal1_nosmooth_sweep,na,0.001,1.0,False,nosmooth,False,
kipan,goal1,goal1_nosmooth_stg_lamx1p25,MLP+STG nosmooth x1.2,MLP+STG,stg,global_stg,0.22,0.00125,0.0,goal1_nosmooth_sweep,na,0.001,1.25,False,nosmooth,False,
kipan,goal1,goal1_nosmooth_stg_lamx1p5,MLP+STG nosmooth x1.5,MLP+STG,stg,global_stg,0.22,0.0015,0.0,goal1_nosmooth_sweep,na,0.001,1.5,False,nosmooth,False,
kipan,goal1,goal1_nosmooth_stg_lamx2p0,MLP+STG nosmooth x2,MLP+STG,stg,global_stg,0.22,0.002,0.0,goal1_nosmooth_sweep,na,0.001,2.0,False,nosmooth,False,
kipan,goal1,goal1_nosmooth_stg_lamx3p0,MLP+STG nosmooth x3,MLP+STG,stg,global_stg,0.22,0.003,0.0,goal1_nosmooth_sweep,na,0.001,3.0,False,nosmooth,False,
kipan,goal1,goal1_linear_cox,Linear Cox,LinearCox,linear_cox,,,,,reference,na,,,False,dense,False,
kipan,goal1,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,gated,lspin_tf,0.22,0.007,0.0,goal1_nosmooth_sweep,exact,0.007,1.0,False,nosmooth,True,mlp
kipan,goal1,goal1_nosmooth_lspin_lamx1p25,LSPIN nosmooth x1.2,LSPIN,gated,lspin_tf,0.22,0.00875,0.0,goal1_nosmooth_sweep,exact,0.007,1.25,False,nosmooth,False,mlp
kipan,goal1,goal1_nosmooth_lspin_lamx1p5,LSPIN nosmooth x1.5,LSPIN,gated,lspin_tf,0.22,0.0105,0.0,goal1_nosmooth_sweep,exact,0.007,1.5,False,nosmooth,False,mlp
kipan,goal1,goal1_nosmooth_lspin_lamx2p0,LSPIN nosmooth x2,LSPIN,gated,lspin_tf,0.22,0.014,0.0,goal1_nosmooth_sweep,exact,0.007,2.0,False,nosmooth,False,mlp
kipan,goal1,goal1_nosmooth_lspin_lamx2p5,LSPIN nosmooth x2.5,LSPIN,gated,lspin_tf,0.22,0.0175,0.0,goal1_nosmooth_sweep,exact,0.007,2.5,False,nosmooth,False,mlp
kipan,goal1,goal1_nosmooth_lspin_lamx3p0,LSPIN nosmooth x3,LSPIN,gated,lspin_tf,0.22,0.021,0.0,goal1_nosmooth_sweep,exact,0.007,3.0,False,nosmooth,False,mlp
kipan,goal1,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,gated,concrete,0.15,0.002,0.0,goal1_nosmooth_sweep,exact,0.002,1.0,False,nosmooth,False,mlp
kipan,goal1,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,gated,concrete,0.15,0.0025,0.0,goal1_nosmooth_sweep,exact,0.002,1.25,False,nosmooth,False,mlp
kipan,goal1,goal1_nosmooth_concrete_lamx1p5,Concrete nosmooth x1.5,Concrete,gated,concrete,0.15,0.003,0.0,goal1_nosmooth_sweep,exact,0.002,1.5,False,nosmooth,False,mlp
kipan,goal1,goal1_nosmooth_concrete_lamx2p0,Concrete nosmooth x2,Concrete,gated,concrete,0.15,0.004,0.0,goal1_nosmooth_sweep,exact,0.002,2.0,False,nosmooth,False,mlp
kipan,goal1,goal1_nosmooth_concrete_lamx2p5,Concrete nosmooth x2.5,Concrete,gated,concrete,0.15,0.005,0.0,goal1_nosmooth_sweep,exact,0.002,2.5,False,nosmooth,False,mlp
kipan,goal1,goal1_nosmooth_concrete_lamx3p0,Concrete nosmooth x3,Concrete,gated,concrete,0.15,0.006,0.0,goal1_nosmooth_sweep,exact,0.002,3.0,False,nosmooth,False,mlp
kipan,goal1,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,gated,lspin_tf,0.22,0.007,0.1,goal1_smooth_sweep,exact,0.007,1.0,False,smooth,True,mlp
kipan,goal1,goal1_smooth_lspin_lamx1p25,LSPIN smooth x1.2,LSPIN,gated,lspin_tf,0.22,0.00875,0.1,goal1_smooth_sweep,exact,0.007,1.25,False,smooth,False,mlp
kipan,goal1,goal1_smooth_lspin_lamx1p5,LSPIN smooth x1.5,LSPIN,gated,lspin_tf,0.22,0.0105,0.1,goal1_smooth_sweep,exact,0.007,1.5,False,smooth,False,mlp
