dataset,experiment,task_stage,variant_key,variant_label,model_family,goal1_group,n_splits,mean_of_split_means_test_cindex,between_split_sd_test_cindex,mean_within_split_sd_test_cindex,mean_of_split_means_Ksoft,between_split_sd_Ksoft,mean_within_split_sd_Ksoft,mean_of_split_means_Khard,between_split_sd_Khard,mean_within_split_sd_Khard
brca,goal1,fixed_init_eval,goal1_linear_cox,Linear Cox,LinearCox,dense,4,0.6539448539448539,0.03136372758340168,0.04976154076783029,,,,,,
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,alt_sigma,4,0.6123669123669123,0.04083017005112649,0.03483393032965483,296.1754315694173,34.413899091699136,34.19961631484774,296.1390635172526,34.4097763211312,34.18414232528394
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,nosmooth,4,0.6214441714441714,0.039054331059307876,0.015128902874931861,301.9720637003581,26.30220276566835,31.326211395828302,282.6074511210124,24.388256298889495,29.169297925374508
brca,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,nosmooth,4,0.6123669123669123,0.04083017005112649,0.03483393032965483,296.1754315694173,34.413899091699136,34.19961631484774,296.1390635172526,34.4097763211312,34.18414232528394
brca,goal1,fixed_init_eval,goal1_nosmooth_stg_lamx1p0,MLP+STG nosmooth x1,MLP+STG,nosmooth,4,0.5965328965328965,0.05028682813667649,0.02192048838952106,84.34431014458339,16.312340201026913,25.79500564509597,46.916666666666664,10.115536272194081,18.707833918057307
brca,goal1,fixed_init_eval,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,smooth,4,0.6299617799617799,0.010672634837759353,0.018595238037516365,477.92771402994794,37.880965053914565,53.75557202608936,430.880495707194,33.92139038820167,45.45561007332179
brca,goal1,fixed_init_eval,goal1_smooth_lconcrete_lamx0p75,L-Concrete smooth x0.75,L-Concrete,linear_gated,4,0.6607152607152607,0.018520340666567024,0.012242512558715399,2080.2710164388022,140.91138491029503,161.39562628493448,2032.4397074381511,134.804285698417,154.50163673071407
brca,goal1,fixed_init_eval,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,linear_gated,4,0.6710346710346711,0.0245077420122344,0.0188078389144183,1733.5916646321614,371.3922229094559,86.09347368074403,1733.5913899739585,371.39605890573324,86.08011729988478
brca,goal1,fixed_init_eval,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,smooth,4,0.6153153153153152,0.023944411805453515,0.02570090226756365,414.95749918619794,46.88756210488738,38.695611984909696,414.93408203125,46.872842577598746,38.688946164244754
brca,goal1,fixed_init_eval,mlp,MLP,MLP,dense,4,0.6272317772317773,0.012020064888917006,0.041588085058352695,,,,,,
brca,goal1,screen,goal1_floor_concrete,Concrete floor (λ=0),Concrete,floor,5,0.6001638001638001,0.028376457856926343,,11957.068359375,52.23065353040192,,11952.7904296875,55.701902244383646,
brca,goal1,screen,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,floor,5,0.6308271908271907,0.010200687257039943,,11889.794921875,66.82892409268983,,11884.2431640625,68.88445591964442,
brca,goal1,screen,goal1_floor_llspin,L-LSPIN floor (λ=0),L-LSPIN,floor,5,0.6382964782964783,0.009522553198903546,,11652.08125,165.2768177014452,,11652.1587890625,165.5671836599513,
brca,goal1,screen,goal1_floor_lspin,LSPIN floor (λ=0),LSPIN,floor,5,0.5983947583947584,0.04459448554476543,,11800.7404296875,121.64051004726552,,11800.8826171875,121.97992806257521,
brca,goal1,screen,goal1_linear_cox,Linear Cox,LinearCox,dense,5,0.6389189189189189,0.0307841044250636,,,,,,,
brca,goal1,screen,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,alt_sigma,5,0.5955773955773955,0.024816400549774666,,284.4273742675781,60.26989683491443,,284.4308685302734,60.24375283564856,
brca,goal1,screen,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,nosmooth,5,0.6324324324324324,0.03121779309945273,,376.7162170410156,83.28584506428017,,355.4572387695313,76.44992987064545,
brca,goal1,screen,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,nosmooth,5,0.6088779688779689,0.04862815552394162,,284.6784912109375,41.38204058536574,,266.08167419433596,37.948819281865404,
brca,goal1,screen,goal1_nosmooth_concrete_lamx1p5,Concrete nosmooth x1.5,Concrete,nosmooth,5,0.6168058968058968,0.044601584508318706,,234.9875457763672,46.715590024266135,,218.53376159667968,42.85682370353928,
brca,goal1,screen,goal1_nosmooth_concrete_lamx2p0,Concrete nosmooth x2,Concrete,nosmooth,5,0.6136936936936938,0.04517004471545096,,161.4752182006836,24.770711286101253,,147.91446685791016,22.795159902622014,
brca,goal1,screen,goal1_nosmooth_concrete_lamx2p5,Concrete nosmooth x2.5,Concrete,nosmooth,5,0.624963144963145,0.05274271164735921,,122.65757751464844,19.580436765301524,,110.97491760253907,17.240579613001557,
